,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：400yd,Hdcp：4,PAR：4,Reg.：402yd,Hdcp：3,PAR：5,Reg.：478yd,Hdcp：2
1,長いミドルホール,長いミドルホール,長いミドルホール,左はＯＢ右は斜面　飛距離よりＦＷキープが攻略の鍵,左はＯＢ右は斜面　飛距離よりＦＷキープが攻略の鍵,左はＯＢ右は斜面　飛距離よりＦＷキープが攻略の鍵,第２打はＦＷ中央にある木のやや左目を狙いたい,第２打はＦＷ中央にある木のやや左目を狙いたい,第２打はＦＷ中央にある木のやや左目を狙いたい
2,難易度4位/9ホール中 平均スコア5.41 平均パット数2.03 パーオン率15.8% フェアウェイ率57.0% OB率17.0% バンカー率44.8%,難易度4位/9ホール中 平均スコア5.41 平均パット数2.03 パーオン率15.8% フェアウェイ率57.0% OB率17.0% バンカー率44.8%,難易度4位/9ホール中 平均スコア5.41 平均パット数2.03 パーオン率15.8% フェアウェイ率57.0% OB率17.0% バンカー率44.8%,難易度3位/9ホール中 平均スコア5.5 平均パット数2.04 パーオン率17.5% フェアウェイ率49.5% OB率32.3% バンカー率30.8%,難易度3位/9ホール中 平均スコア5.5 平均パット数2.04 パーオン率17.5% フェアウェイ率49.5% OB率32.3% バンカー率30.8%,難易度3位/9ホール中 平均スコア5.5 平均パット数2.04 パーオン率17.5% フェアウェイ率49.5% OB率32.3% バンカー率30.8%,難易度5位/9ホール中 平均スコア6.19 平均パット数1.97 パーオン率27.0% フェアウェイ率55.3% OB率8.7% バンカー率27.3%,難易度5位/9ホール中 平均スコア6.19 平均パット数1.97 パーオン率27.0% フェアウェイ率55.3% OB率8.7% バンカー率27.3%,難易度5位/9ホール中 平均スコア6.19 平均パット数1.97 パーオン率27.0% フェアウェイ率55.3% OB率8.7% バンカー率27.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：156yd,Hdcp：8,PAR：4,Reg.：378yd,Hdcp：5,PAR：4,Reg.：336yd,Hdcp：7
5,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
6,難易度9位/9ホール中 平均スコア3.92 平均パット数1.98 パーオン率31.0% フェアウェイ率- OB率6.0% バンカー率50.8%,難易度9位/9ホール中 平均スコア3.92 平均パット数1.98 パーオン率31.0% フェアウェイ率- OB率6.0% バンカー率50.8%,難易度9位/9ホール中 平均スコア3.92 平均パット数1.98 パーオン率31.0% フェアウェイ率- OB率6.0% バンカー率50.8%,難易度2位/9ホール中 平均スコア5.56 平均パット数2.01 パーオン率10.5% フェアウェイ率44.5% OB率36.8% バンカー率25.8%,難易度2位/9ホール中 平均スコア5.56 平均パット数2.01 パーオン率10.5% フェアウェイ率44.5% OB率36.8% バンカー率25.8%,難易度2位/9ホール中 平均スコア5.56 平均パット数2.01 パーオン率10.5% フェアウェイ率44.5% OB率36.8% バンカー率25.8%,難易度6位/9ホール中 平均スコア5.23 平均パット数2.02 パーオン率30.3% フェアウェイ率43.3% OB率37.3% バンカー率30.0%,難易度6位/9ホール中 平均スコア5.23 平均パット数2.02 パーオン率30.3% フェアウェイ率43.3% OB率37.3% バンカー率30.0%,難易度6位/9ホール中 平均スコア5.23 平均パット数2.02 パーオン率30.3% フェアウェイ率43.3% OB率37.3% バンカー率30.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：345yd,Hdcp：6,PAR：3,Reg.：162yd,Hdcp：9,PAR：5,Reg.：536yd,Hdcp：1
9,ティからグリーンまで１５ｍの打上げミドルホール,ティからグリーンまで１５ｍの打上げミドルホール,ティからグリーンまで１５ｍの打上げミドルホール,１０ｍの打ち下ろしのショートホール,１０ｍの打ち下ろしのショートホール,１０ｍの打ち下ろしのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度7位/9ホール中 平均スコア5.16 平均パット数1.95 パーオン率21.0% フェアウェイ率57.8% OB率14.3% バンカー率26.8%,難易度7位/9ホール中 平均スコア5.16 平均パット数1.95 パーオン率21.0% フェアウェイ率57.8% OB率14.3% バンカー率26.8%,難易度7位/9ホール中 平均スコア5.16 平均パット数1.95 パーオン率21.0% フェアウェイ率57.8% OB率14.3% バンカー率26.8%,難易度8位/9ホール中 平均スコア3.98 平均パット数1.97 パーオン率31.8% フェアウェイ率- OB率4.0% バンカー率23.8%,難易度8位/9ホール中 平均スコア3.98 平均パット数1.97 パーオン率31.8% フェアウェイ率- OB率4.0% バンカー率23.8%,難易度8位/9ホール中 平均スコア3.98 平均パット数1.97 パーオン率31.8% フェアウェイ率- OB率4.0% バンカー率23.8%,難易度1位/9ホール中 平均スコア6.53 平均パット数1.92 パーオン率16.5% フェアウェイ率61.0% OB率31.3% バンカー率30.8%,難易度1位/9ホール中 平均スコア6.53 平均パット数1.92 パーオン率16.5% フェアウェイ率61.0% OB率31.3% バンカー率30.8%,難易度1位/9ホール中 平均スコア6.53 平均パット数1.92 パーオン率16.5% フェアウェイ率61.0% OB率31.3% バンカー率30.8%
