,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：417yd,Hdcp：4,PAR：4,Reg.：318yd,Hdcp：16,PAR：3,Reg.：148yd,Hdcp：14
1,緩やかな長い左ドッグレッグのミドルホール,緩やかな長い左ドッグレッグのミドルホール,緩やかな長い左ドッグレッグのミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,比較的距離の短いやや打ち下ろしのショート,比較的距離の短いやや打ち下ろしのショート,比較的距離の短いやや打ち下ろしのショート
2,難易度8位/18ホール中 平均スコア5.29 平均パット数2.13 パーオン率28.3% フェアウェイ率52.5% OB率36.8% バンカー率2.8%,難易度8位/18ホール中 平均スコア5.29 平均パット数2.13 パーオン率28.3% フェアウェイ率52.5% OB率36.8% バンカー率2.8%,難易度8位/18ホール中 平均スコア5.29 平均パット数2.13 パーオン率28.3% フェアウェイ率52.5% OB率36.8% バンカー率2.8%,難易度13位/18ホール中 平均スコア5.04 平均パット数2.1 パーオン率40.0% フェアウェイ率62.3% OB率33.5% バンカー率11.3%,難易度13位/18ホール中 平均スコア5.04 平均パット数2.1 パーオン率40.0% フェアウェイ率62.3% OB率33.5% バンカー率11.3%,難易度13位/18ホール中 平均スコア5.04 平均パット数2.1 パーオン率40.0% フェアウェイ率62.3% OB率33.5% バンカー率11.3%,難易度17位/18ホール中 平均スコア3.95 平均パット数2.11 パーオン率38.0% フェアウェイ率- OB率26.0% バンカー率15.8%,難易度17位/18ホール中 平均スコア3.95 平均パット数2.11 パーオン率38.0% フェアウェイ率- OB率26.0% バンカー率15.8%,難易度17位/18ホール中 平均スコア3.95 平均パット数2.11 パーオン率38.0% フェアウェイ率- OB率26.0% バンカー率15.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：372yd,Hdcp：2,PAR：5,Reg.：479yd,Hdcp：12,PAR：3,Reg.：172yd,Hdcp：10
5,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,池越えのロングホール,池越えのロングホール,池越えのロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度3位/18ホール中 平均スコア5.43 平均パット数2.1 パーオン率20.5% フェアウェイ率46.0% OB率38.3% バンカー率11.0%,難易度3位/18ホール中 平均スコア5.43 平均パット数2.1 パーオン率20.5% フェアウェイ率46.0% OB率38.3% バンカー率11.0%,難易度3位/18ホール中 平均スコア5.43 平均パット数2.1 パーオン率20.5% フェアウェイ率46.0% OB率38.3% バンカー率11.0%,難易度7位/18ホール中 平均スコア6.29 平均パット数2 パーオン率30.3% フェアウェイ率52.0% OB率51.3% バンカー率2.0%,難易度7位/18ホール中 平均スコア6.29 平均パット数2 パーオン率30.3% フェアウェイ率52.0% OB率51.3% バンカー率2.0%,難易度7位/18ホール中 平均スコア6.29 平均パット数2 パーオン率30.3% フェアウェイ率52.0% OB率51.3% バンカー率2.0%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.14 パーオン率37.8% フェアウェイ率- OB率33.5% バンカー率5.0%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.14 パーオン率37.8% フェアウェイ率- OB率33.5% バンカー率5.0%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.14 パーオン率37.8% フェアウェイ率- OB率33.5% バンカー率5.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：345yd,Hdcp：8,PAR：4,Reg.：302yd,Hdcp：18,PAR：5,Reg.：460yd,Hdcp：6
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,大きな谷越えのミドルホール,大きな谷越えのミドルホール,大きな谷越えのミドルホール,緩やかな左ドッグレッグのロングホール,緩やかな左ドッグレッグのロングホール,緩やかな左ドッグレッグのロングホール
10,難易度2位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率19.3% フェアウェイ率44.5% OB率52.5% バンカー率1.0%,難易度2位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率19.3% フェアウェイ率44.5% OB率52.5% バンカー率1.0%,難易度2位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率19.3% フェアウェイ率44.5% OB率52.5% バンカー率1.0%,難易度18位/18ホール中 平均スコア4.87 平均パット数2.01 パーオン率46.5% フェアウェイ率52.8% OB率37.5% バンカー率1.0%,難易度18位/18ホール中 平均スコア4.87 平均パット数2.01 パーオン率46.5% フェアウェイ率52.8% OB率37.5% バンカー率1.0%,難易度18位/18ホール中 平均スコア4.87 平均パット数2.01 パーオン率46.5% フェアウェイ率52.8% OB率37.5% バンカー率1.0%,難易度6位/18ホール中 平均スコア6.28 平均パット数2.12 パーオン率35.8% フェアウェイ率54.3% OB率22.3% バンカー率7.5%,難易度6位/18ホール中 平均スコア6.28 平均パット数2.12 パーオン率35.8% フェアウェイ率54.3% OB率22.3% バンカー率7.5%,難易度6位/18ホール中 平均スコア6.28 平均パット数2.12 パーオン率35.8% フェアウェイ率54.3% OB率22.3% バンカー率7.5%
