,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：399yd,Hdcp：2,PAR：4,Reg.：383yd,Hdcp：7,PAR：4,Reg.：366yd,Hdcp：5
1,右ドッグレッグの打ち上げミドルホール,右ドッグレッグの打ち上げミドルホール,右ドッグレッグの打ち上げミドルホール,第１打は山裾へ　第２打は花道になります,第１打は山裾へ　第２打は花道になります,第１打は山裾へ　第２打は花道になります,クロスバンカーまで１５０Ｙ　やや右目が安全ルート,クロスバンカーまで１５０Ｙ　やや右目が安全ルート,クロスバンカーまで１５０Ｙ　やや右目が安全ルート
2,難易度2位/9ホール中 平均スコア5.73 平均パット数2.04 パーオン率7.0% フェアウェイ率55.5% OB率19.8% バンカー率24.8%,難易度2位/9ホール中 平均スコア5.73 平均パット数2.04 パーオン率7.0% フェアウェイ率55.5% OB率19.8% バンカー率24.8%,難易度2位/9ホール中 平均スコア5.73 平均パット数2.04 パーオン率7.0% フェアウェイ率55.5% OB率19.8% バンカー率24.8%,難易度7位/9ホール中 平均スコア5.26 平均パット数2.05 パーオン率25.3% フェアウェイ率53.5% OB率25.8% バンカー率19.0%,難易度7位/9ホール中 平均スコア5.26 平均パット数2.05 パーオン率25.3% フェアウェイ率53.5% OB率25.8% バンカー率19.0%,難易度7位/9ホール中 平均スコア5.26 平均パット数2.05 パーオン率25.3% フェアウェイ率53.5% OB率25.8% バンカー率19.0%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率22.5% フェアウェイ率62.3% OB率30.0% バンカー率18.5%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率22.5% フェアウェイ率62.3% OB率30.0% バンカー率18.5%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率22.5% フェアウェイ率62.3% OB率30.0% バンカー率18.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：170yd,Hdcp：9,PAR：5,Reg.：503yd,Hdcp：3,PAR：4,Reg.：425yd,Hdcp：1
5,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,第１打距離のでない人は右の法面狙い,第１打距離のでない人は右の法面狙い,第１打距離のでない人は右の法面狙い,第１打正面左の大きな一本松が目標,第１打正面左の大きな一本松が目標,第１打正面左の大きな一本松が目標
6,難易度8位/9ホール中 平均スコア4.04 平均パット数2.1 パーオン率32.0% フェアウェイ率- OB率28.0% バンカー率15.5%,難易度8位/9ホール中 平均スコア4.04 平均パット数2.1 パーオン率32.0% フェアウェイ率- OB率28.0% バンカー率15.5%,難易度8位/9ホール中 平均スコア4.04 平均パット数2.1 パーオン率32.0% フェアウェイ率- OB率28.0% バンカー率15.5%,難易度1位/9ホール中 平均スコア6.76 平均パット数2.09 パーオン率20.5% フェアウェイ率53.0% OB率44.8% バンカー率11.8%,難易度1位/9ホール中 平均スコア6.76 平均パット数2.09 パーオン率20.5% フェアウェイ率53.0% OB率44.8% バンカー率11.8%,難易度1位/9ホール中 平均スコア6.76 平均パット数2.09 パーオン率20.5% フェアウェイ率53.0% OB率44.8% バンカー率11.8%,難易度3位/9ホール中 平均スコア5.71 平均パット数2.06 パーオン率9.5% フェアウェイ率48.8% OB率36.8% バンカー率13.0%,難易度3位/9ホール中 平均スコア5.71 平均パット数2.06 パーオン率9.5% フェアウェイ率48.8% OB率36.8% バンカー率13.0%,難易度3位/9ホール中 平均スコア5.71 平均パット数2.06 パーオン率9.5% フェアウェイ率48.8% OB率36.8% バンカー率13.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：405yd,Hdcp：4,PAR：3,Reg.：164yd,Hdcp：8,PAR：5,Reg.：492yd,Hdcp：6
9,切り通しの打ち下ろしミドルホール,切り通しの打ち下ろしミドルホール,切り通しの打ち下ろしミドルホール,池に囲まれ４つのバンカーにガードされた名物ホール,池に囲まれ４つのバンカーにガードされた名物ホール,池に囲まれ４つのバンカーにガードされた名物ホール,右手の時計台が狙い目　フックボールは禁物,右手の時計台が狙い目　フックボールは禁物,右手の時計台が狙い目　フックボールは禁物
10,難易度6位/9ホール中 平均スコア5.27 平均パット数2.12 パーオン率29.3% フェアウェイ率54.5% OB率26.0% バンカー率19.8%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.12 パーオン率29.3% フェアウェイ率54.5% OB率26.0% バンカー率19.8%,難易度6位/9ホール中 平均スコア5.27 平均パット数2.12 パーオン率29.3% フェアウェイ率54.5% OB率26.0% バンカー率19.8%,難易度9位/9ホール中 平均スコア3.89 平均パット数2.01 パーオン率40.3% フェアウェイ率- OB率11.7% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.89 平均パット数2.01 パーオン率40.3% フェアウェイ率- OB率11.7% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.89 平均パット数2.01 パーオン率40.3% フェアウェイ率- OB率11.7% バンカー率14.5%,難易度4位/9ホール中 平均スコア6.33 平均パット数2.04 パーオン率28.8% フェアウェイ率55.8% OB率41.0% バンカー率16.5%,難易度4位/9ホール中 平均スコア6.33 平均パット数2.04 パーオン率28.8% フェアウェイ率55.8% OB率41.0% バンカー率16.5%,難易度4位/9ホール中 平均スコア6.33 平均パット数2.04 パーオン率28.8% フェアウェイ率55.8% OB率41.0% バンカー率16.5%
