,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：354yd,Hdcp：3,PAR：3,Reg.：189yd,Hdcp：9,PAR：4,Reg.：377yd,Hdcp：5
1,やや右ドックレッグのミドルホール,やや右ドックレッグのミドルホール,やや右ドックレッグのミドルホール,打ち下ろしで距離の長いショートホール,打ち下ろしで距離の長いショートホール,打ち下ろしで距離の長いショートホール,打ち下ろしで距離のあるミドルホール,打ち下ろしで距離のあるミドルホール,打ち下ろしで距離のあるミドルホール
2,難易度7位/18ホール中 平均スコア5.45 平均パット数1.95 パーオン率14.5% フェアウェイ率53.3% OB率7.8% バンカー率22.0%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.95 パーオン率14.5% フェアウェイ率53.3% OB率7.8% バンカー率22.0%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.95 パーオン率14.5% フェアウェイ率53.3% OB率7.8% バンカー率22.0%,難易度16位/18ホール中 平均スコア4.23 平均パット数1.99 パーオン率16.0% フェアウェイ率- OB率17.0% バンカー率5.0%,難易度16位/18ホール中 平均スコア4.23 平均パット数1.99 パーオン率16.0% フェアウェイ率- OB率17.0% バンカー率5.0%,難易度16位/18ホール中 平均スコア4.23 平均パット数1.99 パーオン率16.0% フェアウェイ率- OB率17.0% バンカー率5.0%,難易度5位/18ホール中 平均スコア5.46 平均パット数1.93 パーオン率15.8% フェアウェイ率59.8% OB率10.5% バンカー率3.0%,難易度5位/18ホール中 平均スコア5.46 平均パット数1.93 パーオン率15.8% フェアウェイ率59.8% OB率10.5% バンカー率3.0%,難易度5位/18ホール中 平均スコア5.46 平均パット数1.93 パーオン率15.8% フェアウェイ率59.8% OB率10.5% バンカー率3.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：319yd,Hdcp：13,PAR：4,Reg.：332yd,Hdcp：17,PAR：5,Reg.：433yd,Hdcp：11
5,やや上りで緩やかに右ドッグレッグしているミドル,やや上りで緩やかに右ドッグレッグしているミドル,やや上りで緩やかに右ドッグレッグしているミドル,小高い丘から打ち下ろしとなるミドルホール,小高い丘から打ち下ろしとなるミドルホール,小高い丘から打ち下ろしとなるミドルホール,丘越えの右ドッグレッグロングホール,丘越えの右ドッグレッグロングホール,丘越えの右ドッグレッグロングホール
6,難易度12位/18ホール中 平均スコア5.27 平均パット数1.91 パーオン率17.8% フェアウェイ率53.8% OB率2.0% バンカー率25.8%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.91 パーオン率17.8% フェアウェイ率53.8% OB率2.0% バンカー率25.8%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.91 パーオン率17.8% フェアウェイ率53.8% OB率2.0% バンカー率25.8%,難易度13位/18ホール中 平均スコア5.26 平均パット数1.94 パーオン率19.3% フェアウェイ率58.8% OB率20.0% バンカー率3.5%,難易度13位/18ホール中 平均スコア5.26 平均パット数1.94 パーオン率19.3% フェアウェイ率58.8% OB率20.0% バンカー率3.5%,難易度13位/18ホール中 平均スコア5.26 平均パット数1.94 パーオン率19.3% フェアウェイ率58.8% OB率20.0% バンカー率3.5%,難易度9位/18ホール中 平均スコア6.4 平均パット数1.86 パーオン率17.5% フェアウェイ率55.8% OB率30.5% バンカー率3.5%,難易度9位/18ホール中 平均スコア6.4 平均パット数1.86 パーオン率17.5% フェアウェイ率55.8% OB率30.5% バンカー率3.5%,難易度9位/18ホール中 平均スコア6.4 平均パット数1.86 パーオン率17.5% フェアウェイ率55.8% OB率30.5% バンカー率3.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：175yd,Hdcp：15,PAR：4,Reg.：392yd,Hdcp：1,PAR：5,Reg.：486yd,Hdcp：7
9,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,FWに「やまが」といわれる樹齢200年の名物樹木あり,FWに「やまが」といわれる樹齢200年の名物樹木あり,FWに「やまが」といわれる樹齢200年の名物樹木あり,最も距離のある左ドッグレッグのロングホール,最も距離のある左ドッグレッグのロングホール,最も距離のある左ドッグレッグのロングホール
10,難易度14位/18ホール中 平均スコア4.26 平均パット数1.95 パーオン率15.5% フェアウェイ率- OB率12.3% バンカー率21.0%,難易度14位/18ホール中 平均スコア4.26 平均パット数1.95 パーオン率15.5% フェアウェイ率- OB率12.3% バンカー率21.0%,難易度14位/18ホール中 平均スコア4.26 平均パット数1.95 パーオン率15.5% フェアウェイ率- OB率12.3% バンカー率21.0%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.95 パーオン率12.0% フェアウェイ率53.8% OB率33.0% バンカー率6.5%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.95 パーオン率12.0% フェアウェイ率53.8% OB率33.0% バンカー率6.5%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.95 パーオン率12.0% フェアウェイ率53.8% OB率33.0% バンカー率6.5%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.88 パーオン率17.0% フェアウェイ率54.5% OB率28.0% バンカー率15.8%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.88 パーオン率17.0% フェアウェイ率54.5% OB率28.0% バンカー率15.8%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.88 パーオン率17.0% フェアウェイ率54.5% OB率28.0% バンカー率15.8%
