,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：418yd,Hdcp：9,PAR：3,Reg.：183yd,Hdcp：15,PAR：4,Reg.：365yd,Hdcp：3
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度6位/18ホール中 平均スコア5.38 平均パット数2.08 パーオン率20.3% フェアウェイ率54.0% OB率23.3% バンカー率12.0%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.08 パーオン率20.3% フェアウェイ率54.0% OB率23.3% バンカー率12.0%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.08 パーオン率20.3% フェアウェイ率54.0% OB率23.3% バンカー率12.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.05 パーオン率37.5% フェアウェイ率- OB率9.3% バンカー率16.3%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.05 パーオン率37.5% フェアウェイ率- OB率9.3% バンカー率16.3%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.05 パーオン率37.5% フェアウェイ率- OB率9.3% バンカー率16.3%,難易度3位/18ホール中 平均スコア5.46 平均パット数1.94 パーオン率15.3% フェアウェイ率40.5% OB率30.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.46 平均パット数1.94 パーオン率15.3% フェアウェイ率40.5% OB率30.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.46 平均パット数1.94 パーオン率15.3% フェアウェイ率40.5% OB率30.5% バンカー率21.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：361yd,Hdcp：1,PAR：4,Reg.：391yd,Hdcp：13,PAR：5,Reg.：477yd,Hdcp：7
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
6,難易度10位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率23.3% フェアウェイ率53.5% OB率23.3% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率23.3% フェアウェイ率53.5% OB率23.3% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率23.3% フェアウェイ率53.5% OB率23.3% バンカー率17.3%,難易度2位/18ホール中 平均スコア5.61 平均パット数2.08 パーオン率17.0% フェアウェイ率45.8% OB率15.5% バンカー率9.5%,難易度2位/18ホール中 平均スコア5.61 平均パット数2.08 パーオン率17.0% フェアウェイ率45.8% OB率15.5% バンカー率9.5%,難易度2位/18ホール中 平均スコア5.61 平均パット数2.08 パーオン率17.0% フェアウェイ率45.8% OB率15.5% バンカー率9.5%,難易度5位/18ホール中 平均スコア6.41 平均パット数1.95 パーオン率24.0% フェアウェイ率51.3% OB率11.8% バンカー率16.0%,難易度5位/18ホール中 平均スコア6.41 平均パット数1.95 パーオン率24.0% フェアウェイ率51.3% OB率11.8% バンカー率16.0%,難易度5位/18ホール中 平均スコア6.41 平均パット数1.95 パーオン率24.0% フェアウェイ率51.3% OB率11.8% バンカー率16.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：181yd,Hdcp：17,PAR：4,Reg.：399yd,Hdcp：5,PAR：5,Reg.：451yd,Hdcp：11
9,受けグリーンになっているので、手前から攻めたい,受けグリーンになっているので、手前から攻めたい,受けグリーンになっているので、手前から攻めたい,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,打ち下ろしのロングホール,打ち下ろしのロングホール,打ち下ろしのロングホール
10,難易度15位/18ホール中 平均スコア4.13 平均パット数2.03 パーオン率25.8% フェアウェイ率- OB率12.3% バンカー率3.5%,難易度15位/18ホール中 平均スコア4.13 平均パット数2.03 パーオン率25.8% フェアウェイ率- OB率12.3% バンカー率3.5%,難易度15位/18ホール中 平均スコア4.13 平均パット数2.03 パーオン率25.8% フェアウェイ率- OB率12.3% バンカー率3.5%,難易度4位/18ホール中 平均スコア5.46 平均パット数1.94 パーオン率12.8% フェアウェイ率48.3% OB率28.0% バンカー率9.8%,難易度4位/18ホール中 平均スコア5.46 平均パット数1.94 パーオン率12.8% フェアウェイ率48.3% OB率28.0% バンカー率9.8%,難易度4位/18ホール中 平均スコア5.46 平均パット数1.94 パーオン率12.8% フェアウェイ率48.3% OB率28.0% バンカー率9.8%,難易度8位/18ホール中 平均スコア6.3 平均パット数1.94 パーオン率26.5% フェアウェイ率65.3% OB率11.8% バンカー率9.3%,難易度8位/18ホール中 平均スコア6.3 平均パット数1.94 パーオン率26.5% フェアウェイ率65.3% OB率11.8% バンカー率9.3%,難易度8位/18ホール中 平均スコア6.3 平均パット数1.94 パーオン率26.5% フェアウェイ率65.3% OB率11.8% バンカー率9.3%
