,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：386yd,Hdcp：5,PAR：5,Reg.：514yd,Hdcp：17,PAR：4,Reg.：413yd,Hdcp：1
1,緩やかな左ドッグレッグのミドルホール,緩やかな左ドッグレッグのミドルホール,緩やかな左ドッグレッグのミドルホール,グリーン左は崖、狙い目は花道か？,グリーン左は崖、狙い目は花道か？,グリーン左は崖、狙い目は花道か？,長いミドルホール,長いミドルホール,長いミドルホール
2,難易度5位/9ホール中 平均スコア5.36 平均パット数2 パーオン率20.8% フェアウェイ率48.5% OB率21.5% バンカー率35.5%,難易度5位/9ホール中 平均スコア5.36 平均パット数2 パーオン率20.8% フェアウェイ率48.5% OB率21.5% バンカー率35.5%,難易度5位/9ホール中 平均スコア5.36 平均パット数2 パーオン率20.8% フェアウェイ率48.5% OB率21.5% バンカー率35.5%,難易度6位/9ホール中 平均スコア6.22 平均パット数1.98 パーオン率30.5% フェアウェイ率39.3% OB率13.5% バンカー率22.0%,難易度6位/9ホール中 平均スコア6.22 平均パット数1.98 パーオン率30.5% フェアウェイ率39.3% OB率13.5% バンカー率22.0%,難易度6位/9ホール中 平均スコア6.22 平均パット数1.98 パーオン率30.5% フェアウェイ率39.3% OB率13.5% バンカー率22.0%,難易度2位/9ホール中 平均スコア5.53 平均パット数2.06 パーオン率12.3% フェアウェイ率44.0% OB率14.7% バンカー率1.7%,難易度2位/9ホール中 平均スコア5.53 平均パット数2.06 パーオン率12.3% フェアウェイ率44.0% OB率14.7% バンカー率1.7%,難易度2位/9ホール中 平均スコア5.53 平均パット数2.06 パーオン率12.3% フェアウェイ率44.0% OB率14.7% バンカー率1.7%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：167yd,Hdcp：13,PAR：4,Reg.：375yd,Hdcp：9,PAR：4,Reg.：394yd,Hdcp：7
5,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール 手前がL(左)グリーン,右ドッグレッグのミドルホール 手前がL(左)グリーン,右ドッグレッグのミドルホール 手前がL(左)グリーン,真っ直ぐなミドルホール 奥がＬ(左)グリーン,真っ直ぐなミドルホール 奥がＬ(左)グリーン,真っ直ぐなミドルホール 奥がＬ(左)グリーン
6,難易度8位/9ホール中 平均スコア4.07 平均パット数1.94 パーオン率20.8% フェアウェイ率- OB率15.3% バンカー率20.8%,難易度8位/9ホール中 平均スコア4.07 平均パット数1.94 パーオン率20.8% フェアウェイ率- OB率15.3% バンカー率20.8%,難易度8位/9ホール中 平均スコア4.07 平均パット数1.94 パーオン率20.8% フェアウェイ率- OB率15.3% バンカー率20.8%,難易度7位/9ホール中 平均スコア5.24 平均パット数1.96 パーオン率25.5% フェアウェイ率44.0% OB率22.8% バンカー率20.0%,難易度7位/9ホール中 平均スコア5.24 平均パット数1.96 パーオン率25.5% フェアウェイ率44.0% OB率22.8% バンカー率20.0%,難易度7位/9ホール中 平均スコア5.24 平均パット数1.96 パーオン率25.5% フェアウェイ率44.0% OB率22.8% バンカー率20.0%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.93 パーオン率18.8% フェアウェイ率31.5% OB率37.8% バンカー率16.3%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.93 パーオン率18.8% フェアウェイ率31.5% OB率37.8% バンカー率16.3%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.93 パーオン率18.8% フェアウェイ率31.5% OB率37.8% バンカー率16.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：168yd,Hdcp：15,PAR：5,Reg.：550yd,Hdcp：3,PAR：4,Reg.：406yd,Hdcp：11
9,最近よくホールインワンが出てます。狙い目ホール！,最近よくホールインワンが出てます。狙い目ホール！,最近よくホールインワンが出てます。狙い目ホール！,ロングヒッターは左側へのティーショット。,ロングヒッターは左側へのティーショット。,ロングヒッターは左側へのティーショット。,Ｓ字のミドルホール手前がＬ（左）グリーン,Ｓ字のミドルホール手前がＬ（左）グリーン,Ｓ字のミドルホール手前がＬ（左）グリーン
10,難易度9位/9ホール中 平均スコア3.95 平均パット数1.98 パーオン率28.5% フェアウェイ率- OB率5.7% バンカー率15.3%,難易度9位/9ホール中 平均スコア3.95 平均パット数1.98 パーオン率28.5% フェアウェイ率- OB率5.7% バンカー率15.3%,難易度9位/9ホール中 平均スコア3.95 平均パット数1.98 パーオン率28.5% フェアウェイ率- OB率5.7% バンカー率15.3%,難易度1位/9ホール中 平均スコア6.71 平均パット数1.94 パーオン率13.0% フェアウェイ率37.3% OB率30.8% バンカー率27.3%,難易度1位/9ホール中 平均スコア6.71 平均パット数1.94 パーオン率13.0% フェアウェイ率37.3% OB率30.8% バンカー率27.3%,難易度1位/9ホール中 平均スコア6.71 平均パット数1.94 パーオン率13.0% フェアウェイ率37.3% OB率30.8% バンカー率27.3%,難易度3位/9ホール中 平均スコア5.38 平均パット数1.95 パーオン率17.3% フェアウェイ率46.0% OB率25.3% バンカー率20.0%,難易度3位/9ホール中 平均スコア5.38 平均パット数1.95 パーオン率17.3% フェアウェイ率46.0% OB率25.3% バンカー率20.0%,難易度3位/9ホール中 平均スコア5.38 平均パット数1.95 パーオン率17.3% フェアウェイ率46.0% OB率25.3% バンカー率20.0%
