,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：458yd,Hdcp：16,PAR：4,Reg.：378yd,Hdcp：2,PAR：4,Reg.：336yd,Hdcp：8
1,右サイドＯＢ　ティーショットはＦＷ左狙い,右サイドＯＢ　ティーショットはＦＷ左狙い,右サイドＯＢ　ティーショットはＦＷ左狙い,左サイドはＯＢだがフェアウェイは広いので豪快に,左サイドはＯＢだがフェアウェイは広いので豪快に,左サイドはＯＢだがフェアウェイは広いので豪快に,Ｓ字のミドルホール　手前がＬ（左）グリーン,Ｓ字のミドルホール　手前がＬ（左）グリーン,Ｓ字のミドルホール　手前がＬ（左）グリーン
2,難易度12位/18ホール中 平均スコア6.33 平均パット数1.97 パーオン率29.0% フェアウェイ率43.8% OB率35.0% バンカー率24.5%,難易度12位/18ホール中 平均スコア6.33 平均パット数1.97 パーオン率29.0% フェアウェイ率43.8% OB率35.0% バンカー率24.5%,難易度12位/18ホール中 平均スコア6.33 平均パット数1.97 パーオン率29.0% フェアウェイ率43.8% OB率35.0% バンカー率24.5%,難易度10位/18ホール中 平均スコア5.38 平均パット数1.98 パーオン率13.3% フェアウェイ率45.0% OB率10.0% バンカー率18.3%,難易度10位/18ホール中 平均スコア5.38 平均パット数1.98 パーオン率13.3% フェアウェイ率45.0% OB率10.0% バンカー率18.3%,難易度10位/18ホール中 平均スコア5.38 平均パット数1.98 パーオン率13.3% フェアウェイ率45.0% OB率10.0% バンカー率18.3%,難易度11位/18ホール中 平均スコア5.39 平均パット数1.89 パーオン率16.0% フェアウェイ率50.0% OB率42.8% バンカー率8.0%,難易度11位/18ホール中 平均スコア5.39 平均パット数1.89 パーオン率16.0% フェアウェイ率50.0% OB率42.8% バンカー率8.0%,難易度11位/18ホール中 平均スコア5.39 平均パット数1.89 パーオン率16.0% フェアウェイ率50.0% OB率42.8% バンカー率8.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：380yd,Hdcp：10,PAR：3,Reg.：174yd,Hdcp：4,PAR：5,Reg.：501yd,Hdcp：18
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,特に左のＯＢに注意してティーショットは右目狙い,特に左のＯＢに注意してティーショットは右目狙い,特に左のＯＢに注意してティーショットは右目狙い
6,難易度7位/18ホール中 平均スコア5.45 平均パット数1.94 パーオン率14.5% フェアウェイ率53.0% OB率22.0% バンカー率16.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.94 パーオン率14.5% フェアウェイ率53.0% OB率22.0% バンカー率16.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.94 パーオン率14.5% フェアウェイ率53.0% OB率22.0% バンカー率16.8%,難易度17位/18ホール中 平均スコア3.92 平均パット数1.86 パーオン率24.3% フェアウェイ率- OB率25.0% バンカー率10.3%,難易度17位/18ホール中 平均スコア3.92 平均パット数1.86 パーオン率24.3% フェアウェイ率- OB率25.0% バンカー率10.3%,難易度17位/18ホール中 平均スコア3.92 平均パット数1.86 パーオン率24.3% フェアウェイ率- OB率25.0% バンカー率10.3%,難易度2位/18ホール中 平均スコア6.6 平均パット数1.91 パーオン率15.5% フェアウェイ率47.8% OB率41.0% バンカー率15.0%,難易度2位/18ホール中 平均スコア6.6 平均パット数1.91 パーオン率15.5% フェアウェイ率47.8% OB率41.0% バンカー率15.0%,難易度2位/18ホール中 平均スコア6.6 平均パット数1.91 パーオン率15.5% フェアウェイ率47.8% OB率41.0% バンカー率15.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：125yd,Hdcp：12,PAR：4,Reg.：396yd,Hdcp：6,PAR：4,Reg.：379yd,Hdcp：14
9,やや打ち上げのショートホール,やや打ち上げのショートホール,やや打ち上げのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ティーショットはＯＢがないので左山裾狙いで豪快に,ティーショットはＯＢがないので左山裾狙いで豪快に,ティーショットはＯＢがないので左山裾狙いで豪快に
10,難易度18位/18ホール中 平均スコア3.89 平均パット数1.88 パーオン率27.8% フェアウェイ率- OB率11.0% バンカー率20.3%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.88 パーオン率27.8% フェアウェイ率- OB率11.0% バンカー率20.3%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.88 パーオン率27.8% フェアウェイ率- OB率11.0% バンカー率20.3%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.93 パーオン率15.8% フェアウェイ率42.0% OB率29.5% バンカー率15.8%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.93 パーオン率15.8% フェアウェイ率42.0% OB率29.5% バンカー率15.8%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.93 パーオン率15.8% フェアウェイ率42.0% OB率29.5% バンカー率15.8%,難易度14位/18ホール中 平均スコア5.13 平均パット数1.92 パーオン率24.0% フェアウェイ率48.5% OB率5.8% バンカー率28.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数1.92 パーオン率24.0% フェアウェイ率48.5% OB率5.8% バンカー率28.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数1.92 パーオン率24.0% フェアウェイ率48.5% OB率5.8% バンカー率28.0%
