,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：524yd,Hdcp：3,PAR：4,Reg.：396yd,Hdcp：9,PAR：4,Reg.：366yd,Hdcp：15
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度1位/18ホール中 平均スコア6.66 平均パット数2.02 パーオン率16.0% フェアウェイ率44.8% OB率35.5% バンカー率28.8%,難易度1位/18ホール中 平均スコア6.66 平均パット数2.02 パーオン率16.0% フェアウェイ率44.8% OB率35.5% バンカー率28.8%,難易度1位/18ホール中 平均スコア6.66 平均パット数2.02 パーオン率16.0% フェアウェイ率44.8% OB率35.5% バンカー率28.8%,難易度13位/18ホール中 平均スコア5.27 平均パット数2.09 パーオン率27.8% フェアウェイ率47.3% OB率24.8% バンカー率14.5%,難易度13位/18ホール中 平均スコア5.27 平均パット数2.09 パーオン率27.8% フェアウェイ率47.3% OB率24.8% バンカー率14.5%,難易度13位/18ホール中 平均スコア5.27 平均パット数2.09 パーオン率27.8% フェアウェイ率47.3% OB率24.8% バンカー率14.5%,難易度11位/18ホール中 平均スコア5.31 平均パット数2.08 パーオン率24.3% フェアウェイ率40.3% OB率18.3% バンカー率30.0%,難易度11位/18ホール中 平均スコア5.31 平均パット数2.08 パーオン率24.3% フェアウェイ率40.3% OB率18.3% バンカー率30.0%,難易度11位/18ホール中 平均スコア5.31 平均パット数2.08 パーオン率24.3% フェアウェイ率40.3% OB率18.3% バンカー率30.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：149yd,Hdcp：13,PAR：4,Reg.：373yd,Hdcp：7,PAR：4,Reg.：384yd,Hdcp：1
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度16位/18ホール中 平均スコア4.03 平均パット数2.1 パーオン率36.3% フェアウェイ率- OB率8.0% バンカー率8.3%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.1 パーオン率36.3% フェアウェイ率- OB率8.0% バンカー率8.3%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.1 パーオン率36.3% フェアウェイ率- OB率8.0% バンカー率8.3%,難易度8位/18ホール中 平均スコア5.44 平均パット数2.1 パーオン率18.0% フェアウェイ率44.0% OB率33.8% バンカー率2.8%,難易度8位/18ホール中 平均スコア5.44 平均パット数2.1 パーオン率18.0% フェアウェイ率44.0% OB率33.8% バンカー率2.8%,難易度8位/18ホール中 平均スコア5.44 平均パット数2.1 パーオン率18.0% フェアウェイ率44.0% OB率33.8% バンカー率2.8%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.11 パーオン率19.8% フェアウェイ率40.3% OB率28.0% バンカー率32.8%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.11 パーオン率19.8% フェアウェイ率40.3% OB率28.0% バンカー率32.8%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.11 パーオン率19.8% フェアウェイ率40.3% OB率28.0% バンカー率32.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：474yd,Hdcp：5,PAR：3,Reg.：148yd,Hdcp：17,PAR：4,Reg.：399yd,Hdcp：11
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度12位/18ホール中 平均スコア6.27 平均パット数2.09 パーオン率29.0% フェアウェイ率50.0% OB率7.3% バンカー率24.5%,難易度12位/18ホール中 平均スコア6.27 平均パット数2.09 パーオン率29.0% フェアウェイ率50.0% OB率7.3% バンカー率24.5%,難易度12位/18ホール中 平均スコア6.27 平均パット数2.09 パーオン率29.0% フェアウェイ率50.0% OB率7.3% バンカー率24.5%,難易度18位/18ホール中 平均スコア3.94 平均パット数2.1 パーオン率37.8% フェアウェイ率- OB率5.7% バンカー率16.8%,難易度18位/18ホール中 平均スコア3.94 平均パット数2.1 パーオン率37.8% フェアウェイ率- OB率5.7% バンカー率16.8%,難易度18位/18ホール中 平均スコア3.94 平均パット数2.1 パーオン率37.8% フェアウェイ率- OB率5.7% バンカー率16.8%,難易度4位/18ホール中 平均スコア5.56 平均パット数2.11 パーオン率14.3% フェアウェイ率46.8% OB率13.5% バンカー率25.0%,難易度4位/18ホール中 平均スコア5.56 平均パット数2.11 パーオン率14.3% フェアウェイ率46.8% OB率13.5% バンカー率25.0%,難易度4位/18ホール中 平均スコア5.56 平均パット数2.11 パーオン率14.3% フェアウェイ率46.8% OB率13.5% バンカー率25.0%
