,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：521yd,Hdcp：4,PAR：4,Reg.：382yd,Hdcp：8,PAR：4,Reg.：366yd,Hdcp：14
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度2位/18ホール中 平均スコア6.65 平均パット数2.13 パーオン率18.8% フェアウェイ率42.8% OB率39.8% バンカー率21.0%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.13 パーオン率18.8% フェアウェイ率42.8% OB率39.8% バンカー率21.0%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.13 パーオン率18.8% フェアウェイ率42.8% OB率39.8% バンカー率21.0%,難易度5位/18ホール中 平均スコア5.46 平均パット数2.1 パーオン率17.3% フェアウェイ率51.0% OB率24.3% バンカー率29.8%,難易度5位/18ホール中 平均スコア5.46 平均パット数2.1 パーオン率17.3% フェアウェイ率51.0% OB率24.3% バンカー率29.8%,難易度5位/18ホール中 平均スコア5.46 平均パット数2.1 パーオン率17.3% フェアウェイ率51.0% OB率24.3% バンカー率29.8%,難易度13位/18ホール中 平均スコア5.25 平均パット数2.06 パーオン率27.3% フェアウェイ率43.3% OB率23.0% バンカー率45.5%,難易度13位/18ホール中 平均スコア5.25 平均パット数2.06 パーオン率27.3% フェアウェイ率43.3% OB率23.0% バンカー率45.5%,難易度13位/18ホール中 平均スコア5.25 平均パット数2.06 パーオン率27.3% フェアウェイ率43.3% OB率23.0% バンカー率45.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：387yd,Hdcp：2,PAR：3,Reg.：151yd,Hdcp：18,PAR：5,Reg.：521yd,Hdcp：6
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,,,,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度3位/18ホール中 平均スコア5.58 平均パット数2.08 パーオン率15.8% フェアウェイ率45.0% OB率25.3% バンカー率29.3%,難易度3位/18ホール中 平均スコア5.58 平均パット数2.08 パーオン率15.8% フェアウェイ率45.0% OB率25.3% バンカー率29.3%,難易度3位/18ホール中 平均スコア5.58 平均パット数2.08 パーオン率15.8% フェアウェイ率45.0% OB率25.3% バンカー率29.3%,難易度18位/18ホール中 平均スコア3.82 平均パット数1.99 パーオン率39.3% フェアウェイ率- OB率5.7% バンカー率38.5%,難易度18位/18ホール中 平均スコア3.82 平均パット数1.99 パーオン率39.3% フェアウェイ率- OB率5.7% バンカー率38.5%,難易度18位/18ホール中 平均スコア3.82 平均パット数1.99 パーオン率39.3% フェアウェイ率- OB率5.7% バンカー率38.5%,難易度11位/18ホール中 平均スコア6.27 平均パット数2.09 パーオン率34.3% フェアウェイ率58.3% OB率36.0% バンカー率24.5%,難易度11位/18ホール中 平均スコア6.27 平均パット数2.09 パーオン率34.3% フェアウェイ率58.3% OB率36.0% バンカー率24.5%,難易度11位/18ホール中 平均スコア6.27 平均パット数2.09 パーオン率34.3% フェアウェイ率58.3% OB率36.0% バンカー率24.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：170yd,Hdcp：16,PAR：4,Reg.：381yd,Hdcp：12,PAR：4,Reg.：388yd,Hdcp：10
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度17位/18ホール中 平均スコア3.9 平均パット数1.98 パーオン率33.0% フェアウェイ率- OB率5.7% バンカー率37.0%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.98 パーオン率33.0% フェアウェイ率- OB率5.7% バンカー率37.0%,難易度17位/18ホール中 平均スコア3.9 平均パット数1.98 パーオン率33.0% フェアウェイ率- OB率5.7% バンカー率37.0%,難易度14位/18ホール中 平均スコア5.23 平均パット数2.03 パーオン率23.0% フェアウェイ率50.5% OB率9.3% バンカー率40.3%,難易度14位/18ホール中 平均スコア5.23 平均パット数2.03 パーオン率23.0% フェアウェイ率50.5% OB率9.3% バンカー率40.3%,難易度14位/18ホール中 平均スコア5.23 平均パット数2.03 パーオン率23.0% フェアウェイ率50.5% OB率9.3% バンカー率40.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数2.02 パーオン率19.8% フェアウェイ率55.8% OB率27.5% バンカー率14.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数2.02 パーオン率19.8% フェアウェイ率55.8% OB率27.5% バンカー率14.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数2.02 パーオン率19.8% フェアウェイ率55.8% OB率27.5% バンカー率14.3%
