,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：575yd,Hdcp：3,PAR：4,Reg.：400yd,Hdcp：9,PAR：5,Reg.：485yd,Hdcp：15
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左右ＯＢ　狙いはやや左サイドのミドルホール,左右ＯＢ　狙いはやや左サイドのミドルホール,左右ＯＢ　狙いはやや左サイドのミドルホール,ゆるやかな打ち上げのロングホール,ゆるやかな打ち上げのロングホール,ゆるやかな打ち上げのロングホール
2,難易度1位/18ホール中 平均スコア6.8 平均パット数2.08 パーオン率14.0% フェアウェイ率44.8% OB率40.3% バンカー率26.3%,難易度1位/18ホール中 平均スコア6.8 平均パット数2.08 パーオン率14.0% フェアウェイ率44.8% OB率40.3% バンカー率26.3%,難易度1位/18ホール中 平均スコア6.8 平均パット数2.08 パーオン率14.0% フェアウェイ率44.8% OB率40.3% バンカー率26.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数1.95 パーオン率14.5% フェアウェイ率45.5% OB率55.5% バンカー率24.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数1.95 パーオン率14.5% フェアウェイ率45.5% OB率55.5% バンカー率24.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数1.95 パーオン率14.5% フェアウェイ率45.5% OB率55.5% バンカー率24.3%,難易度11位/18ホール中 平均スコア6.2 平均パット数2.06 パーオン率34.0% フェアウェイ率35.8% OB率26.0% バンカー率37.0%,難易度11位/18ホール中 平均スコア6.2 平均パット数2.06 パーオン率34.0% フェアウェイ率35.8% OB率26.0% バンカー率37.0%,難易度11位/18ホール中 平均スコア6.2 平均パット数2.06 パーオン率34.0% フェアウェイ率35.8% OB率26.0% バンカー率37.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：420yd,Hdcp：1,PAR：3,Reg.：170yd,Hdcp：13,PAR：4,Reg.：358yd,Hdcp：7
5,豪快な打ち下ろしのミドルホール,豪快な打ち下ろしのミドルホール,豪快な打ち下ろしのミドルホール,右の谷から吹き上げる風が複雑　クラブ選択が難しい,右の谷から吹き上げる風が複雑　クラブ選択が難しい,右の谷から吹き上げる風が複雑　クラブ選択が難しい,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール
6,難易度3位/18ホール中 平均スコア5.62 平均パット数2.01 パーオン率13.0% フェアウェイ率44.5% OB率58.3% バンカー率23.8%,難易度3位/18ホール中 平均スコア5.62 平均パット数2.01 パーオン率13.0% フェアウェイ率44.5% OB率58.3% バンカー率23.8%,難易度3位/18ホール中 平均スコア5.62 平均パット数2.01 パーオン率13.0% フェアウェイ率44.5% OB率58.3% バンカー率23.8%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.01 パーオン率25.8% フェアウェイ率- OB率32.5% バンカー率41.3%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.01 パーオン率25.8% フェアウェイ率- OB率32.5% バンカー率41.3%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.01 パーオン率25.8% フェアウェイ率- OB率32.5% バンカー率41.3%,難易度2位/18ホール中 平均スコア5.62 平均パット数2.06 パーオン率15.5% フェアウェイ率40.5% OB率66.0% バンカー率5.5%,難易度2位/18ホール中 平均スコア5.62 平均パット数2.06 パーオン率15.5% フェアウェイ率40.5% OB率66.0% バンカー率5.5%,難易度2位/18ホール中 平均スコア5.62 平均パット数2.06 パーオン率15.5% フェアウェイ率40.5% OB率66.0% バンカー率5.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：171yd,Hdcp：11,PAR：4,Reg.：345yd,Hdcp：17,PAR：4,Reg.：460yd,Hdcp：5
9,ゆるやかな打ち下ろしのショートホール,ゆるやかな打ち下ろしのショートホール,ゆるやかな打ち下ろしのショートホール,谷越えの打ち上げ、短いミドルホール,谷越えの打ち上げ、短いミドルホール,谷越えの打ち上げ、短いミドルホール,打ち下ろしの長いミドルホール,打ち下ろしの長いミドルホール,打ち下ろしの長いミドルホール
10,難易度16位/18ホール中 平均スコア4.08 平均パット数2.15 パーオン率33.5% フェアウェイ率- OB率30.0% バンカー率30.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.15 パーオン率33.5% フェアウェイ率- OB率30.0% バンカー率30.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.15 パーオン率33.5% フェアウェイ率- OB率30.0% バンカー率30.8%,難易度15位/18ホール中 平均スコア5.1 平均パット数2.01 パーオン率31.0% フェアウェイ率49.5% OB率44.5% バンカー率14.5%,難易度15位/18ホール中 平均スコア5.1 平均パット数2.01 パーオン率31.0% フェアウェイ率49.5% OB率44.5% バンカー率14.5%,難易度15位/18ホール中 平均スコア5.1 平均パット数2.01 パーオン率31.0% フェアウェイ率49.5% OB率44.5% バンカー率14.5%,難易度7位/18ホール中 平均スコア5.47 平均パット数1.98 パーオン率13.8% フェアウェイ率42.3% OB率44.3% バンカー率31.8%,難易度7位/18ホール中 平均スコア5.47 平均パット数1.98 パーオン率13.8% フェアウェイ率42.3% OB率44.3% バンカー率31.8%,難易度7位/18ホール中 平均スコア5.47 平均パット数1.98 パーオン率13.8% フェアウェイ率42.3% OB率44.3% バンカー率31.8%
