,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：369yd,Hdcp：6,PAR：4,Reg.：369yd,Hdcp：2,PAR：3,Reg.：187yd,Hdcp：10
1,打ち下ろし、打ち上げのミドルホール,打ち下ろし、打ち上げのミドルホール,打ち下ろし、打ち上げのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,比較的距離のあるショートホール,比較的距離のあるショートホール,比較的距離のあるショートホール
2,難易度6位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率18.0% フェアウェイ率38.5% OB率28.8% バンカー率29.8%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率18.0% フェアウェイ率38.5% OB率28.8% バンカー率29.8%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率18.0% フェアウェイ率38.5% OB率28.8% バンカー率29.8%,難易度1位/18ホール中 平均スコア5.91 平均パット数2.06 パーオン率5.0% フェアウェイ率43.0% OB率41.8% バンカー率26.0%,難易度1位/18ホール中 平均スコア5.91 平均パット数2.06 パーオン率5.0% フェアウェイ率43.0% OB率41.8% バンカー率26.0%,難易度1位/18ホール中 平均スコア5.91 平均パット数2.06 パーオン率5.0% フェアウェイ率43.0% OB率41.8% バンカー率26.0%,難易度16位/18ホール中 平均スコア3.99 平均パット数2.04 パーオン率30.5% フェアウェイ率- OB率20.3% バンカー率28.3%,難易度16位/18ホール中 平均スコア3.99 平均パット数2.04 パーオン率30.5% フェアウェイ率- OB率20.3% バンカー率28.3%,難易度16位/18ホール中 平均スコア3.99 平均パット数2.04 パーオン率30.5% フェアウェイ率- OB率20.3% バンカー率28.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：384yd,Hdcp：8,PAR：4,Reg.：394yd,Hdcp：4,PAR：5,Reg.：525yd,Hdcp：18
5,左右ＯＢのミドルホール,左右ＯＢのミドルホール,左右ＯＢのミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,距離のあるロングホール,距離のあるロングホール,距離のあるロングホール
6,難易度8位/18ホール中 平均スコア5.36 平均パット数2.13 パーオン率21.3% フェアウェイ率62.3% OB率23.5% バンカー率24.3%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.13 パーオン率21.3% フェアウェイ率62.3% OB率23.5% バンカー率24.3%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.13 パーオン率21.3% フェアウェイ率62.3% OB率23.5% バンカー率24.3%,難易度2位/18ホール中 平均スコア5.65 平均パット数2.08 パーオン率12.0% フェアウェイ率54.0% OB率45.3% バンカー率16.0%,難易度2位/18ホール中 平均スコア5.65 平均パット数2.08 パーオン率12.0% フェアウェイ率54.0% OB率45.3% バンカー率16.0%,難易度2位/18ホール中 平均スコア5.65 平均パット数2.08 パーオン率12.0% フェアウェイ率54.0% OB率45.3% バンカー率16.0%,難易度12位/18ホール中 平均スコア6.2 平均パット数1.93 パーオン率32.0% フェアウェイ率49.3% OB率24.8% バンカー率36.5%,難易度12位/18ホール中 平均スコア6.2 平均パット数1.93 パーオン率32.0% フェアウェイ率49.3% OB率24.8% バンカー率36.5%,難易度12位/18ホール中 平均スコア6.2 平均パット数1.93 パーオン率32.0% フェアウェイ率49.3% OB率24.8% バンカー率36.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：335yd,Hdcp：16,PAR：3,Reg.：161yd,Hdcp：14,PAR：5,Reg.：505yd,Hdcp：12
9,直線的で比較的距離の短いミドルホール,直線的で比較的距離の短いミドルホール,直線的で比較的距離の短いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,第１打は緩やかな打ち下しのロングホール,第１打は緩やかな打ち下しのロングホール,第１打は緩やかな打ち下しのロングホール
10,難易度15位/18ホール中 平均スコア4.99 平均パット数1.95 パーオン率34.3% フェアウェイ率52.8% OB率24.0% バンカー率30.0%,難易度15位/18ホール中 平均スコア4.99 平均パット数1.95 パーオン率34.3% フェアウェイ率52.8% OB率24.0% バンカー率30.0%,難易度15位/18ホール中 平均スコア4.99 平均パット数1.95 パーオン率34.3% フェアウェイ率52.8% OB率24.0% バンカー率30.0%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.98 パーオン率35.5% フェアウェイ率- OB率8.0% バンカー率12.8%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.98 パーオン率35.5% フェアウェイ率- OB率8.0% バンカー率12.8%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.98 パーオン率35.5% フェアウェイ率- OB率8.0% バンカー率12.8%,難易度13位/18ホール中 平均スコア6.19 平均パット数2.03 パーオン率32.8% フェアウェイ率51.0% OB率19.8% バンカー率20.0%,難易度13位/18ホール中 平均スコア6.19 平均パット数2.03 パーオン率32.8% フェアウェイ率51.0% OB率19.8% バンカー率20.0%,難易度13位/18ホール中 平均スコア6.19 平均パット数2.03 パーオン率32.8% フェアウェイ率51.0% OB率19.8% バンカー率20.0%
