,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：482yd,Hdcp：5,PAR：4,Reg.：358yd,Hdcp：3,PAR：3,Reg.：178yd,Hdcp：9
1,第１打は左バンカーの手前か右側狙い,第１打は左バンカーの手前か右側狙い,第１打は左バンカーの手前か右側狙い,第一打は谷越えとなり狙いはやや左目,第一打は谷越えとなり狙いはやや左目,第一打は谷越えとなり狙いはやや左目,右松林とグリーン奥は×、左Ｇオーバーすると難しい,右松林とグリーン奥は×、左Ｇオーバーすると難しい,右松林とグリーン奥は×、左Ｇオーバーすると難しい
2,難易度3位/9ホール中 平均スコア6.43 平均パット数2.02 パーオン率26.3% フェアウェイ率35.8% OB率23.8% バンカー率37.3%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.02 パーオン率26.3% フェアウェイ率35.8% OB率23.8% バンカー率37.3%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.02 パーオン率26.3% フェアウェイ率35.8% OB率23.8% バンカー率37.3%,難易度1位/9ホール中 平均スコア5.52 平均パット数1.88 パーオン率8.5% フェアウェイ率51.0% OB率31.3% バンカー率19.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数1.88 パーオン率8.5% フェアウェイ率51.0% OB率31.3% バンカー率19.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数1.88 パーオン率8.5% フェアウェイ率51.0% OB率31.3% バンカー率19.8%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.92 パーオン率22.0% フェアウェイ率- OB率11.8% バンカー率20.3%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.92 パーオン率22.0% フェアウェイ率- OB率11.8% バンカー率20.3%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.92 パーオン率22.0% フェアウェイ率- OB率11.8% バンカー率20.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：368yd,Hdcp：2,PAR：4,Reg.：379yd,Hdcp：1,PAR：4,Reg.：338yd,Hdcp：7
5,第１打はやや左目狙い　左右Ｇ手前にガードバンカー,第１打はやや左目狙い　左右Ｇ手前にガードバンカー,第１打はやや左目狙い　左右Ｇ手前にガードバンカー,やや左ドッグレッグ、距離のあるミドルホール,やや左ドッグレッグ、距離のあるミドルホール,やや左ドッグレッグ、距離のあるミドルホール,距離は短いがグリーンにはガードバンカー,距離は短いがグリーンにはガードバンカー,距離は短いがグリーンにはガードバンカー
6,難易度5位/9ホール中 平均スコア5.22 平均パット数1.85 パーオン率15.8% フェアウェイ率53.3% OB率15.8% バンカー率25.8%,難易度5位/9ホール中 平均スコア5.22 平均パット数1.85 パーオン率15.8% フェアウェイ率53.3% OB率15.8% バンカー率25.8%,難易度5位/9ホール中 平均スコア5.22 平均パット数1.85 パーオン率15.8% フェアウェイ率53.3% OB率15.8% バンカー率25.8%,難易度2位/9ホール中 平均スコア5.49 平均パット数1.89 パーオン率9.5% フェアウェイ率56.0% OB率26.0% バンカー率22.0%,難易度2位/9ホール中 平均スコア5.49 平均パット数1.89 パーオン率9.5% フェアウェイ率56.0% OB率26.0% バンカー率22.0%,難易度2位/9ホール中 平均スコア5.49 平均パット数1.89 パーオン率9.5% フェアウェイ率56.0% OB率26.0% バンカー率22.0%,難易度7位/9ホール中 平均スコア5.18 平均パット数1.87 パーオン率22.5% フェアウェイ率52.0% OB率22.8% バンカー率31.0%,難易度7位/9ホール中 平均スコア5.18 平均パット数1.87 パーオン率22.5% フェアウェイ率52.0% OB率22.8% バンカー率31.0%,難易度7位/9ホール中 平均スコア5.18 平均パット数1.87 パーオン率22.5% フェアウェイ率52.0% OB率22.8% バンカー率31.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：164yd,Hdcp：8,PAR：4,Reg.：355yd,Hdcp：4,PAR：5,Reg.：470yd,Hdcp：6
9,左右Ｇにバンカー４つ、中央にはグラスバンカー,左右Ｇにバンカー４つ、中央にはグラスバンカー,左右Ｇにバンカー４つ、中央にはグラスバンカー,第１打はやや右狙い　引っかけると左側はＯＢ,第１打はやや右狙い　引っかけると左側はＯＢ,第１打はやや右狙い　引っかけると左側はＯＢ,距離のあまりないロング　安全第一でパーオン可,距離のあまりないロング　安全第一でパーオン可,距離のあまりないロング　安全第一でパーオン可
