,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：361yd,Hdcp：15,PAR：5,Reg.：500yd,Hdcp：9,PAR：4,Reg.：437yd,Hdcp：1
1,左ドッグレッグのミドルホール　奥がＬ(左)グリーン,左ドッグレッグのミドルホール　奥がＬ(左)グリーン,左ドッグレッグのミドルホール　奥がＬ(左)グリーン,距離の短いロングホール,距離の短いロングホール,距離の短いロングホール,距離の長いミドルホール,距離の長いミドルホール,距離の長いミドルホール
2,難易度13位/18ホール中 平均スコア5.3 平均パット数1.97 パーオン率23.3% フェアウェイ率49.3% OB率8.3% バンカー率66.8%,難易度13位/18ホール中 平均スコア5.3 平均パット数1.97 パーオン率23.3% フェアウェイ率49.3% OB率8.3% バンカー率66.8%,難易度13位/18ホール中 平均スコア5.3 平均パット数1.97 パーオン率23.3% フェアウェイ率49.3% OB率8.3% バンカー率66.8%,難易度10位/18ホール中 平均スコア6.45 平均パット数1.94 パーオン率22.0% フェアウェイ率45.8% OB率14.0% バンカー率47.3%,難易度10位/18ホール中 平均スコア6.45 平均パット数1.94 パーオン率22.0% フェアウェイ率45.8% OB率14.0% バンカー率47.3%,難易度10位/18ホール中 平均スコア6.45 平均パット数1.94 パーオン率22.0% フェアウェイ率45.8% OB率14.0% バンカー率47.3%,難易度3位/18ホール中 平均スコア5.75 平均パット数1.97 パーオン率7.3% フェアウェイ率49.3% OB率17.0% バンカー率50.3%,難易度3位/18ホール中 平均スコア5.75 平均パット数1.97 パーオン率7.3% フェアウェイ率49.3% OB率17.0% バンカー率50.3%,難易度3位/18ホール中 平均スコア5.75 平均パット数1.97 パーオン率7.3% フェアウェイ率49.3% OB率17.0% バンカー率50.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：152yd,Hdcp：7,PAR：4,Reg.：406yd,Hdcp：3,PAR：4,Reg.：357yd,Hdcp：13
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度17位/18ホール中 平均スコア4.2 平均パット数2 パーオン率21.3% フェアウェイ率- OB率3.0% バンカー率56.0%,難易度17位/18ホール中 平均スコア4.2 平均パット数2 パーオン率21.3% フェアウェイ率- OB率3.0% バンカー率56.0%,難易度17位/18ホール中 平均スコア4.2 平均パット数2 パーオン率21.3% フェアウェイ率- OB率3.0% バンカー率56.0%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.03 パーオン率12.0% フェアウェイ率38.5% OB率3.7% バンカー率56.8%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.03 パーオン率12.0% フェアウェイ率38.5% OB率3.7% バンカー率56.8%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.03 パーオン率12.0% フェアウェイ率38.5% OB率3.7% バンカー率56.8%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.91 パーオン率14.3% フェアウェイ率39.3% OB率3.7% バンカー率48.3%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.91 パーオン率14.3% フェアウェイ率39.3% OB率3.7% バンカー率48.3%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.91 パーオン率14.3% フェアウェイ率39.3% OB率3.7% バンカー率48.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：161yd,Hdcp：11,PAR：4,Reg.：386yd,Hdcp：5,PAR：4,Reg.：363yd,Hdcp：17
9,風の影響が強いショートホール,風の影響が強いショートホール,風の影響が強いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度18位/18ホール中 平均スコア4.14 平均パット数1.93 パーオン率16.5% フェアウェイ率- OB率3.0% バンカー率57.0%,難易度18位/18ホール中 平均スコア4.14 平均パット数1.93 パーオン率16.5% フェアウェイ率- OB率3.0% バンカー率57.0%,難易度18位/18ホール中 平均スコア4.14 平均パット数1.93 パーオン率16.5% フェアウェイ率- OB率3.0% バンカー率57.0%,難易度6位/18ホール中 平均スコア5.57 平均パット数1.9 パーオン率9.0% フェアウェイ率46.0% OB率6.0% バンカー率51.5%,難易度6位/18ホール中 平均スコア5.57 平均パット数1.9 パーオン率9.0% フェアウェイ率46.0% OB率6.0% バンカー率51.5%,難易度6位/18ホール中 平均スコア5.57 平均パット数1.9 パーオン率9.0% フェアウェイ率46.0% OB率6.0% バンカー率51.5%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.92 パーオン率18.3% フェアウェイ率52.0% OB率2.7% バンカー率36.5%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.92 パーオン率18.3% フェアウェイ率52.0% OB率2.7% バンカー率36.5%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.92 パーオン率18.3% フェアウェイ率52.0% OB率2.7% バンカー率36.5%
