,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：401yd,Hdcp：6,PAR：3,Reg.：173yd,Hdcp：14,PAR：5,Reg.：526yd,Hdcp：8
1,フラットでまっすぐなミドルホール,フラットでまっすぐなミドルホール,フラットでまっすぐなミドルホール,右手前ガードバンカーが２ｍ位の深さ,右手前ガードバンカーが２ｍ位の深さ,右手前ガードバンカーが２ｍ位の深さ,一打目は右側のフェアウェイバンカーのやや左,一打目は右側のフェアウェイバンカーのやや左,一打目は右側のフェアウェイバンカーのやや左
2,難易度3位/18ホール中 平均スコア5.59 平均パット数2.1 パーオン率12.3% フェアウェイ率38.0% OB率8.7% バンカー率39.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.1 パーオン率12.3% フェアウェイ率38.0% OB率8.7% バンカー率39.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.1 パーオン率12.3% フェアウェイ率38.0% OB率8.7% バンカー率39.3%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.09 パーオン率38.3% フェアウェイ率- OB率4.0% バンカー率47.8%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.09 パーオン率38.3% フェアウェイ率- OB率4.0% バンカー率47.8%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.09 パーオン率38.3% フェアウェイ率- OB率4.0% バンカー率47.8%,難易度2位/18ホール中 平均スコア6.62 平均パット数2.19 パーオン率23.3% フェアウェイ率40.5% OB率25.3% バンカー率36.3%,難易度2位/18ホール中 平均スコア6.62 平均パット数2.19 パーオン率23.3% フェアウェイ率40.5% OB率25.3% バンカー率36.3%,難易度2位/18ホール中 平均スコア6.62 平均パット数2.19 パーオン率23.3% フェアウェイ率40.5% OB率25.3% バンカー率36.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：368yd,Hdcp：12,PAR：4,Reg.：366yd,Hdcp：18,PAR：4,Reg.：414yd,Hdcp：2
5,一打目は長さ１０２Ｙのレイクバンカーを避け左狙い,一打目は長さ１０２Ｙのレイクバンカーを避け左狙い,一打目は長さ１０２Ｙのレイクバンカーを避け左狙い,フェアウェイバンカーの中に佐渡ヶ島が浮いている,フェアウェイバンカーの中に佐渡ヶ島が浮いている,フェアウェイバンカーの中に佐渡ヶ島が浮いている,３つの天の川バンカーが横たわっている,３つの天の川バンカーが横たわっている,３つの天の川バンカーが横たわっている
6,難易度10位/18ホール中 平均スコア5.37 平均パット数2.06 パーオン率24.0% フェアウェイ率41.8% OB率16.8% バンカー率44.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.06 パーオン率24.0% フェアウェイ率41.8% OB率16.8% バンカー率44.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.06 パーオン率24.0% フェアウェイ率41.8% OB率16.8% バンカー率44.5%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率27.5% フェアウェイ率39.0% OB率24.8% バンカー率38.0%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率27.5% フェアウェイ率39.0% OB率24.8% バンカー率38.0%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率27.5% フェアウェイ率39.0% OB率24.8% バンカー率38.0%,難易度7位/18ホール中 平均スコア5.5 平均パット数2.07 パーオン率16.0% フェアウェイ率38.5% OB率11.3% バンカー率48.8%,難易度7位/18ホール中 平均スコア5.5 平均パット数2.07 パーオン率16.0% フェアウェイ率38.5% OB率11.3% バンカー率48.8%,難易度7位/18ホール中 平均スコア5.5 平均パット数2.07 パーオン率16.0% フェアウェイ率38.5% OB率11.3% バンカー率48.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：511yd,Hdcp：16,PAR：3,Reg.：145yd,Hdcp：10,PAR：4,Reg.：401yd,Hdcp：4
9,比較的距離の短いロングホール,比較的距離の短いロングホール,比較的距離の短いロングホール,ティーグランドからグリーン前迄池に満ちたショート,ティーグランドからグリーン前迄池に満ちたショート,ティーグランドからグリーン前迄池に満ちたショート,距離があり池も気になるフィニッシングホール,距離があり池も気になるフィニッシングホール,距離があり池も気になるフィニッシングホール
10,難易度4位/18ホール中 平均スコア6.54 平均パット数2.09 パーオン率27.8% フェアウェイ率36.5% OB率36.5% バンカー率41.8%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.09 パーオン率27.8% フェアウェイ率36.5% OB率36.5% バンカー率41.8%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.09 パーオン率27.8% フェアウェイ率36.5% OB率36.5% バンカー率41.8%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.05 パーオン率43.8% フェアウェイ率- OB率6.3% バンカー率16.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.05 パーオン率43.8% フェアウェイ率- OB率6.3% バンカー率16.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.05 パーオン率43.8% フェアウェイ率- OB率6.3% バンカー率16.0%,難易度5位/18ホール中 平均スコア5.55 平均パット数2 パーオン率16.3% フェアウェイ率50.8% OB率17.0% バンカー率27.0%,難易度5位/18ホール中 平均スコア5.55 平均パット数2 パーオン率16.3% フェアウェイ率50.8% OB率17.0% バンカー率27.0%,難易度5位/18ホール中 平均スコア5.55 平均パット数2 パーオン率16.3% フェアウェイ率50.8% OB率17.0% バンカー率27.0%
