,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：368yd,Hdcp：9,PAR：3,Reg.：163yd,Hdcp：15,PAR：4,Reg.：417yd,Hdcp：3
1,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグの長いミドルホール,左ドッグレッグの長いミドルホール,左ドッグレッグの長いミドルホール
2,難易度11位/18ホール中 平均スコア5.33 平均パット数1.86 パーオン率15.8% フェアウェイ率47.3% OB率22.5% バンカー率22.0%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.86 パーオン率15.8% フェアウェイ率47.3% OB率22.5% バンカー率22.0%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.86 パーオン率15.8% フェアウェイ率47.3% OB率22.5% バンカー率22.0%,難易度15位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率28.3% フェアウェイ率- OB率12.8% バンカー率23.5%,難易度15位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率28.3% フェアウェイ率- OB率12.8% バンカー率23.5%,難易度15位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率28.3% フェアウェイ率- OB率12.8% バンカー率23.5%,難易度4位/18ホール中 平均スコア5.4 平均パット数1.91 パーオン率16.5% フェアウェイ率57.0% OB率27.8% バンカー率19.5%,難易度4位/18ホール中 平均スコア5.4 平均パット数1.91 パーオン率16.5% フェアウェイ率57.0% OB率27.8% バンカー率19.5%,難易度4位/18ホール中 平均スコア5.4 平均パット数1.91 パーオン率16.5% フェアウェイ率57.0% OB率27.8% バンカー率19.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：380yd,Hdcp：7,PAR：4,Reg.：372yd,Hdcp：1,PAR：4,Reg.：348yd,Hdcp：13
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール
6,難易度1位/18ホール中 平均スコア5.52 平均パット数1.87 パーオン率14.0% フェアウェイ率60.8% OB率28.0% バンカー率20.8%,難易度1位/18ホール中 平均スコア5.52 平均パット数1.87 パーオン率14.0% フェアウェイ率60.8% OB率28.0% バンカー率20.8%,難易度1位/18ホール中 平均スコア5.52 平均パット数1.87 パーオン率14.0% フェアウェイ率60.8% OB率28.0% バンカー率20.8%,難易度8位/18ホール中 平均スコア5.45 平均パット数1.93 パーオン率18.3% フェアウェイ率63.8% OB率22.7% バンカー率22.3%,難易度8位/18ホール中 平均スコア5.45 平均パット数1.93 パーオン率18.3% フェアウェイ率63.8% OB率22.7% バンカー率22.3%,難易度8位/18ホール中 平均スコア5.45 平均パット数1.93 パーオン率18.3% フェアウェイ率63.8% OB率22.7% バンカー率22.3%,難易度14位/18ホール中 平均スコア5.25 平均パット数1.93 パーオン率20.8% フェアウェイ率54.8% OB率5.7% バンカー率21.8%,難易度14位/18ホール中 平均スコア5.25 平均パット数1.93 パーオン率20.8% フェアウェイ率54.8% OB率5.7% バンカー率21.8%,難易度14位/18ホール中 平均スコア5.25 平均パット数1.93 パーオン率20.8% フェアウェイ率54.8% OB率5.7% バンカー率21.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：501yd,Hdcp：5,PAR：3,Reg.：174yd,Hdcp：17,PAR：5,Reg.：495yd,Hdcp：11
9,緩やかな右ドッグレッグのロングホール,緩やかな右ドッグレッグのロングホール,緩やかな右ドッグレッグのロングホール,グリーン手前の木に注意が必要なショート,グリーン手前の木に注意が必要なショート,グリーン手前の木に注意が必要なショート,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度5位/18ホール中 平均スコア6.43 平均パット数2.06 パーオン率28.3% フェアウェイ率58.8% OB率25.5% バンカー率34.8%,難易度5位/18ホール中 平均スコア6.43 平均パット数2.06 パーオン率28.3% フェアウェイ率58.8% OB率25.5% バンカー率34.8%,難易度5位/18ホール中 平均スコア6.43 平均パット数2.06 パーオン率28.3% フェアウェイ率58.8% OB率25.5% バンカー率34.8%,難易度16位/18ホール中 平均スコア4.04 平均パット数1.81 パーオン率15.3% フェアウェイ率- OB率5.0% バンカー率27.8%,難易度16位/18ホール中 平均スコア4.04 平均パット数1.81 パーオン率15.3% フェアウェイ率- OB率5.0% バンカー率27.8%,難易度16位/18ホール中 平均スコア4.04 平均パット数1.81 パーオン率15.3% フェアウェイ率- OB率5.0% バンカー率27.8%,難易度2位/18ホール中 平均スコア6.5 平均パット数2.01 パーオン率17.0% フェアウェイ率59.0% OB率10.3% バンカー率35.3%,難易度2位/18ホール中 平均スコア6.5 平均パット数2.01 パーオン率17.0% フェアウェイ率59.0% OB率10.3% バンカー率35.3%,難易度2位/18ホール中 平均スコア6.5 平均パット数2.01 パーオン率17.0% フェアウェイ率59.0% OB率10.3% バンカー率35.3%
