,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：412yd,Hdcp：8,PAR：4,Reg.：380yd,Hdcp：5,PAR：5,Reg.：517yd,Hdcp：2
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,緩い左ドッグレッグのロングホール,緩い左ドッグレッグのロングホール,緩い左ドッグレッグのロングホール
2,難易度1位/9ホール中 平均スコア5.66 平均パット数1.98 パーオン率6.5% フェアウェイ率55.3% OB率2.5% バンカー率30.3%,難易度1位/9ホール中 平均スコア5.66 平均パット数1.98 パーオン率6.5% フェアウェイ率55.3% OB率2.5% バンカー率30.3%,難易度1位/9ホール中 平均スコア5.66 平均パット数1.98 パーオン率6.5% フェアウェイ率55.3% OB率2.5% バンカー率30.3%,難易度5位/9ホール中 平均スコア5.4 平均パット数1.99 パーオン率18.7% フェアウェイ率51.8% OB率12.0% バンカー率32.3%,難易度5位/9ホール中 平均スコア5.4 平均パット数1.99 パーオン率18.7% フェアウェイ率51.8% OB率12.0% バンカー率32.3%,難易度5位/9ホール中 平均スコア5.4 平均パット数1.99 パーオン率18.7% フェアウェイ率51.8% OB率12.0% バンカー率32.3%,難易度6位/9ホール中 平均スコア6.33 平均パット数1.92 パーオン率20.0% フェアウェイ率44.5% OB率17.8% バンカー率48.8%,難易度6位/9ホール中 平均スコア6.33 平均パット数1.92 パーオン率20.0% フェアウェイ率44.5% OB率17.8% バンカー率48.8%,難易度6位/9ホール中 平均スコア6.33 平均パット数1.92 パーオン率20.0% フェアウェイ率44.5% OB率17.8% バンカー率48.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：147yd,Hdcp：7,PAR：5,Reg.：534yd,Hdcp：1,PAR：4,Reg.：413yd,Hdcp：4
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度9位/9ホール中 平均スコア4.17 平均パット数1.9 パーオン率15.5% フェアウェイ率- OB率2.0% バンカー率53.0%,難易度9位/9ホール中 平均スコア4.17 平均パット数1.9 パーオン率15.5% フェアウェイ率- OB率2.0% バンカー率53.0%,難易度9位/9ホール中 平均スコア4.17 平均パット数1.9 パーオン率15.5% フェアウェイ率- OB率2.0% バンカー率53.0%,難易度4位/9ホール中 平均スコア6.44 平均パット数2.11 パーオン率24.5% フェアウェイ率56.5% OB率6.0% バンカー率28.0%,難易度4位/9ホール中 平均スコア6.44 平均パット数2.11 パーオン率24.5% フェアウェイ率56.5% OB率6.0% バンカー率28.0%,難易度4位/9ホール中 平均スコア6.44 平均パット数2.11 パーオン率24.5% フェアウェイ率56.5% OB率6.0% バンカー率28.0%,難易度2位/9ホール中 平均スコア5.52 平均パット数1.92 パーオン率9.5% フェアウェイ率64.5% OB率6.0% バンカー率32.3%,難易度2位/9ホール中 平均スコア5.52 平均パット数1.92 パーオン率9.5% フェアウェイ率64.5% OB率6.0% バンカー率32.3%,難易度2位/9ホール中 平均スコア5.52 平均パット数1.92 パーオン率9.5% フェアウェイ率64.5% OB率6.0% バンカー率32.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：347yd,Hdcp：6,PAR：3,Reg.：182yd,Hdcp：9,PAR：4,Reg.：403yd,Hdcp：3
9,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,緩い左ドッグレッグのミドルホール,緩い左ドッグレッグのミドルホール,緩い左ドッグレッグのミドルホール
10,難易度8位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率35.0% フェアウェイ率62.0% OB率5.5% バンカー率21.3%,難易度8位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率35.0% フェアウェイ率62.0% OB率5.5% バンカー率21.3%,難易度8位/9ホール中 平均スコア5.34 平均パット数2.03 パーオン率35.0% フェアウェイ率62.0% OB率5.5% バンカー率21.3%,難易度7位/9ホール中 平均スコア4.27 平均パット数1.97 パーオン率9.8% フェアウェイ率- OB率- バンカー率43.3%,難易度7位/9ホール中 平均スコア4.27 平均パット数1.97 パーオン率9.8% フェアウェイ率- OB率- バンカー率43.3%,難易度7位/9ホール中 平均スコア4.27 平均パット数1.97 パーオン率9.8% フェアウェイ率- OB率- バンカー率43.3%,難易度3位/9ホール中 平均スコア5.57 平均パット数1.94 パーオン率10.7% フェアウェイ率57.0% OB率6.0% バンカー率39.8%,難易度3位/9ホール中 平均スコア5.57 平均パット数1.94 パーオン率10.7% フェアウェイ率57.0% OB率6.0% バンカー率39.8%,難易度3位/9ホール中 平均スコア5.57 平均パット数1.94 パーオン率10.7% フェアウェイ率57.0% OB率6.0% バンカー率39.8%
