,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：396yd,Hdcp：,PAR：4,Reg.：342yd,Hdcp：,PAR：3,Reg.：154yd,Hdcp：
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,,,
2,難易度1位/9ホール中 平均スコア5.49 平均パット数2.07 パーオン率12.5% フェアウェイ率70.5% OB率2.0% バンカー率12.3%,難易度1位/9ホール中 平均スコア5.49 平均パット数2.07 パーオン率12.5% フェアウェイ率70.5% OB率2.0% バンカー率12.3%,難易度1位/9ホール中 平均スコア5.49 平均パット数2.07 パーオン率12.5% フェアウェイ率70.5% OB率2.0% バンカー率12.3%,難易度8位/9ホール中 平均スコア5.01 平均パット数1.84 パーオン率26.8% フェアウェイ率67.0% OB率6.0% バンカー率35.7%,難易度8位/9ホール中 平均スコア5.01 平均パット数1.84 パーオン率26.8% フェアウェイ率67.0% OB率6.0% バンカー率35.7%,難易度8位/9ホール中 平均スコア5.01 平均パット数1.84 パーオン率26.8% フェアウェイ率67.0% OB率6.0% バンカー率35.7%,難易度9位/9ホール中 平均スコア4.18 平均パット数1.88 パーオン率18.0% フェアウェイ率- OB率2.0% バンカー率27.8%,難易度9位/9ホール中 平均スコア4.18 平均パット数1.88 パーオン率18.0% フェアウェイ率- OB率2.0% バンカー率27.8%,難易度9位/9ホール中 平均スコア4.18 平均パット数1.88 パーオン率18.0% フェアウェイ率- OB率2.0% バンカー率27.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：508yd,Hdcp：,PAR：4,Reg.：386yd,Hdcp：,PAR：4,Reg.：359yd,Hdcp：
5,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度4位/9ホール中 平均スコア6.46 平均パット数1.96 パーオン率25.3% フェアウェイ率50.5% OB率23.3% バンカー率19.0%,難易度4位/9ホール中 平均スコア6.46 平均パット数1.96 パーオン率25.3% フェアウェイ率50.5% OB率23.3% バンカー率19.0%,難易度4位/9ホール中 平均スコア6.46 平均パット数1.96 パーオン率25.3% フェアウェイ率50.5% OB率23.3% バンカー率19.0%,難易度2位/9ホール中 平均スコア5.43 平均パット数1.85 パーオン率13.0% フェアウェイ率54.0% OB率2.0% バンカー率31.0%,難易度2位/9ホール中 平均スコア5.43 平均パット数1.85 パーオン率13.0% フェアウェイ率54.0% OB率2.0% バンカー率31.0%,難易度2位/9ホール中 平均スコア5.43 平均パット数1.85 パーオン率13.0% フェアウェイ率54.0% OB率2.0% バンカー率31.0%,難易度5位/9ホール中 平均スコア5.19 平均パット数1.96 パーオン率20.3% フェアウェイ率69.3% OB率- バンカー率19.0%,難易度5位/9ホール中 平均スコア5.19 平均パット数1.96 パーオン率20.3% フェアウェイ率69.3% OB率- バンカー率19.0%,難易度5位/9ホール中 平均スコア5.19 平均パット数1.96 パーオン率20.3% フェアウェイ率69.3% OB率- バンカー率19.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：178yd,Hdcp：,PAR：5,Reg.：519yd,Hdcp：,PAR：4,Reg.：405yd,Hdcp：
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度6位/9ホール中 平均スコア4.15 平均パット数1.89 パーオン率15.7% フェアウェイ率- OB率18.5% バンカー率21.3%,難易度6位/9ホール中 平均スコア4.15 平均パット数1.89 パーオン率15.7% フェアウェイ率- OB率18.5% バンカー率21.3%,難易度6位/9ホール中 平均スコア4.15 平均パット数1.89 パーオン率15.7% フェアウェイ率- OB率18.5% バンカー率21.3%,難易度7位/9ホール中 平均スコア6.28 平均パット数1.91 パーオン率23.3% フェアウェイ率72.3% OB率8.7% バンカー率9.5%,難易度7位/9ホール中 平均スコア6.28 平均パット数1.91 パーオン率23.3% フェアウェイ率72.3% OB率8.7% バンカー率9.5%,難易度7位/9ホール中 平均スコア6.28 平均パット数1.91 パーオン率23.3% フェアウェイ率72.3% OB率8.7% バンカー率9.5%,難易度3位/9ホール中 平均スコア5.34 平均パット数1.95 パーオン率13.5% フェアウェイ率54.8% OB率- バンカー率13.3%,難易度3位/9ホール中 平均スコア5.34 平均パット数1.95 パーオン率13.5% フェアウェイ率54.8% OB率- バンカー率13.3%,難易度3位/9ホール中 平均スコア5.34 平均パット数1.95 パーオン率13.5% フェアウェイ率54.8% OB率- バンカー率13.3%
