,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：388yd,Hdcp：7,PAR：4,Reg.：334yd,Hdcp：17,PAR：3,Reg.：152yd,Hdcp：15
1,広々としたフェアウェイのスターティングホール,広々としたフェアウェイのスターティングホール,広々としたフェアウェイのスターティングホール,左ドッグレッグの距離のあまりないミドルホール,左ドッグレッグの距離のあまりないミドルホール,左ドッグレッグの距離のあまりないミドルホール,グリーン後方の景観が美しい　やや打下ろしのホール,グリーン後方の景観が美しい　やや打下ろしのホール,グリーン後方の景観が美しい　やや打下ろしのホール
2,難易度3位/18ホール中 平均スコア5.59 平均パット数2.07 パーオン率10.3% フェアウェイ率54.8% OB率3.5% バンカー率24.5%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.07 パーオン率10.3% フェアウェイ率54.8% OB率3.5% バンカー率24.5%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.07 パーオン率10.3% フェアウェイ率54.8% OB率3.5% バンカー率24.5%,難易度18位/18ホール中 平均スコア4.95 平均パット数1.9 パーオン率29.3% フェアウェイ率55.0% OB率3.0% バンカー率54.7%,難易度18位/18ホール中 平均スコア4.95 平均パット数1.9 パーオン率29.3% フェアウェイ率55.0% OB率3.0% バンカー率54.7%,難易度18位/18ホール中 平均スコア4.95 平均パット数1.9 パーオン率29.3% フェアウェイ率55.0% OB率3.0% バンカー率54.7%,難易度15位/18ホール中 平均スコア4.13 平均パット数2 パーオン率23.0% フェアウェイ率- OB率- バンカー率36.0%,難易度15位/18ホール中 平均スコア4.13 平均パット数2 パーオン率23.0% フェアウェイ率- OB率- バンカー率36.0%,難易度15位/18ホール中 平均スコア4.13 平均パット数2 パーオン率23.0% フェアウェイ率- OB率- バンカー率36.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：552yd,Hdcp：3,PAR：4,Reg.：377yd,Hdcp：1,PAR：4,Reg.：336yd,Hdcp：13
5,コースで一番長いロングホール,コースで一番長いロングホール,コースで一番長いロングホール,目標はフェアウェイのセンター,目標はフェアウェイのセンター,目標はフェアウェイのセンター,３つの池とグリーン後方の海が美しいミドルホール,３つの池とグリーン後方の海が美しいミドルホール,３つの池とグリーン後方の海が美しいミドルホール
6,難易度7位/18ホール中 平均スコア6.34 平均パット数1.91 パーオン率22.0% フェアウェイ率57.0% OB率17.0% バンカー率34.0%,難易度7位/18ホール中 平均スコア6.34 平均パット数1.91 パーオン率22.0% フェアウェイ率57.0% OB率17.0% バンカー率34.0%,難易度7位/18ホール中 平均スコア6.34 平均パット数1.91 パーオン率22.0% フェアウェイ率57.0% OB率17.0% バンカー率34.0%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.9 パーオン率15.0% フェアウェイ率58.0% OB率13.0% バンカー率42.8%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.9 パーオン率15.0% フェアウェイ率58.0% OB率13.0% バンカー率42.8%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.9 パーオン率15.0% フェアウェイ率58.0% OB率13.0% バンカー率42.8%,難易度9位/18ホール中 平均スコア5.29 平均パット数1.87 パーオン率19.3% フェアウェイ率61.3% OB率25.7% バンカー率19.0%,難易度9位/18ホール中 平均スコア5.29 平均パット数1.87 パーオン率19.3% フェアウェイ率61.3% OB率25.7% バンカー率19.0%,難易度9位/18ホール中 平均スコア5.29 平均パット数1.87 パーオン率19.3% フェアウェイ率61.3% OB率25.7% バンカー率19.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：388yd,Hdcp：5,PAR：3,Reg.：180yd,Hdcp：11,PAR：5,Reg.：482yd,Hdcp：9
9,フェアウェイは２段、狙いをはっきり決めて,フェアウェイは２段、狙いをはっきり決めて,フェアウェイは２段、狙いをはっきり決めて,フラワーホールと名付けられた花畑が美しいショート,フラワーホールと名付けられた花畑が美しいショート,フラワーホールと名付けられた花畑が美しいショート,フェアウェイの左はＯＢ　ティーショットは慎重に,フェアウェイの左はＯＢ　ティーショットは慎重に,フェアウェイの左はＯＢ　ティーショットは慎重に
10,難易度2位/18ホール中 平均スコア5.6 平均パット数1.85 パーオン率11.3% フェアウェイ率59.3% OB率21.0% バンカー率44.8%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.85 パーオン率11.3% フェアウェイ率59.3% OB率21.0% バンカー率44.8%,難易度2位/18ホール中 平均スコア5.6 平均パット数1.85 パーオン率11.3% フェアウェイ率59.3% OB率21.0% バンカー率44.8%,難易度10位/18ホール中 平均スコア4.28 平均パット数1.87 パーオン率9.0% フェアウェイ率- OB率10.0% バンカー率54.0%,難易度10位/18ホール中 平均スコア4.28 平均パット数1.87 パーオン率9.0% フェアウェイ率- OB率10.0% バンカー率54.0%,難易度10位/18ホール中 平均スコア4.28 平均パット数1.87 パーオン率9.0% フェアウェイ率- OB率10.0% バンカー率54.0%,難易度12位/18ホール中 平均スコア6.22 平均パット数1.98 パーオン率28.5% フェアウェイ率52.5% OB率11.5% バンカー率47.7%,難易度12位/18ホール中 平均スコア6.22 平均パット数1.98 パーオン率28.5% フェアウェイ率52.5% OB率11.5% バンカー率47.7%,難易度12位/18ホール中 平均スコア6.22 平均パット数1.98 パーオン率28.5% フェアウェイ率52.5% OB率11.5% バンカー率47.7%
