,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：506yd,Hdcp：9,PAR：4,Reg.：370yd,Hdcp：1,PAR：4,Reg.：375yd,Hdcp：2
1,豪快に東シナ海に打ちおろすコース,豪快に東シナ海に打ちおろすコース,豪快に東シナ海に打ちおろすコース,左右がOBでティーショットを慎重に,左右がOBでティーショットを慎重に,左右がOBでティーショットを慎重に,ティーショットが谷越え夏風と冬風で難易度が変わる,ティーショットが谷越え夏風と冬風で難易度が変わる,ティーショットが谷越え夏風と冬風で難易度が変わる
2,難易度7位/9ホール中 平均スコア6.33 平均パット数2.15 パーオン率33.5% フェアウェイ率58.5% OB率31.8% バンカー率53.3%,難易度7位/9ホール中 平均スコア6.33 平均パット数2.15 パーオン率33.5% フェアウェイ率58.5% OB率31.8% バンカー率53.3%,難易度7位/9ホール中 平均スコア6.33 平均パット数2.15 パーオン率33.5% フェアウェイ率58.5% OB率31.8% バンカー率53.3%,難易度4位/9ホール中 平均スコア5.46 平均パット数1.99 パーオン率25.5% フェアウェイ率43.0% OB率28.3% バンカー率42.5%,難易度4位/9ホール中 平均スコア5.46 平均パット数1.99 パーオン率25.5% フェアウェイ率43.0% OB率28.3% バンカー率42.5%,難易度4位/9ホール中 平均スコア5.46 平均パット数1.99 パーオン率25.5% フェアウェイ率43.0% OB率28.3% バンカー率42.5%,難易度3位/9ホール中 平均スコア5.42 平均パット数2.09 パーオン率17.0% フェアウェイ率54.3% OB率37.0% バンカー率28.3%,難易度3位/9ホール中 平均スコア5.42 平均パット数2.09 パーオン率17.0% フェアウェイ率54.3% OB率37.0% バンカー率28.3%,難易度3位/9ホール中 平均スコア5.42 平均パット数2.09 パーオン率17.0% フェアウェイ率54.3% OB率37.0% バンカー率28.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：180yd,Hdcp：7,PAR：4,Reg.：376yd,Hdcp：6,PAR：4,Reg.：417yd,Hdcp：3
5,右側のバンカーに注意,右側のバンカーに注意,右側のバンカーに注意,グリーンのアンジュレーションがきついホールです,グリーンのアンジュレーションがきついホールです,グリーンのアンジュレーションがきついホールです,フェアウェイ中央の木を目印にティーショット,フェアウェイ中央の木を目印にティーショット,フェアウェイ中央の木を目印にティーショット
6,難易度8位/9ホール中 平均スコア4.07 平均パット数2.01 パーオン率28.0% フェアウェイ率- OB率5.0% バンカー率45.8%,難易度8位/9ホール中 平均スコア4.07 平均パット数2.01 パーオン率28.0% フェアウェイ率- OB率5.0% バンカー率45.8%,難易度8位/9ホール中 平均スコア4.07 平均パット数2.01 パーオン率28.0% フェアウェイ率- OB率5.0% バンカー率45.8%,難易度6位/9ホール中 平均スコア5.21 平均パット数2.08 パーオン率20.8% フェアウェイ率65.3% OB率7.0% バンカー率51.5%,難易度6位/9ホール中 平均スコア5.21 平均パット数2.08 パーオン率20.8% フェアウェイ率65.3% OB率7.0% バンカー率51.5%,難易度6位/9ホール中 平均スコア5.21 平均パット数2.08 パーオン率20.8% フェアウェイ率65.3% OB率7.0% バンカー率51.5%,難易度1位/9ホール中 平均スコア5.47 平均パット数2 パーオン率14.0% フェアウェイ率65.3% OB率16.7% バンカー率30.8%,難易度1位/9ホール中 平均スコア5.47 平均パット数2 パーオン率14.0% フェアウェイ率65.3% OB率16.7% バンカー率30.8%,難易度1位/9ホール中 平均スコア5.47 平均パット数2 パーオン率14.0% フェアウェイ率65.3% OB率16.7% バンカー率30.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：201yd,Hdcp：5,PAR：4,Reg.：354yd,Hdcp：4,PAR：5,Reg.：509yd,Hdcp：8
9,グリーン奥にボールが行くとアプローチが砲台になる,グリーン奥にボールが行くとアプローチが砲台になる,グリーン奥にボールが行くとアプローチが砲台になる,ティーショットを比較的楽に打てる,ティーショットを比較的楽に打てる,ティーショットを比較的楽に打てる,ティーショットを豪快に打って2オン狙い,ティーショットを豪快に打って2オン狙い,ティーショットを豪快に打って2オン狙い
10,難易度5位/9ホール中 平均スコア4.17 平均パット数2.09 パーオン率25.3% フェアウェイ率- OB率20.0% バンカー率42.8%,難易度5位/9ホール中 平均スコア4.17 平均パット数2.09 パーオン率25.3% フェアウェイ率- OB率20.0% バンカー率42.8%,難易度5位/9ホール中 平均スコア4.17 平均パット数2.09 パーオン率25.3% フェアウェイ率- OB率20.0% バンカー率42.8%,難易度2位/9ホール中 平均スコア5.43 平均パット数2.02 パーオン率21.0% フェアウェイ率54.8% OB率8.0% バンカー率33.0%,難易度2位/9ホール中 平均スコア5.43 平均パット数2.02 パーオン率21.0% フェアウェイ率54.8% OB率8.0% バンカー率33.0%,難易度2位/9ホール中 平均スコア5.43 平均パット数2.02 パーオン率21.0% フェアウェイ率54.8% OB率8.0% バンカー率33.0%,難易度9位/9ホール中 平均スコア6.16 平均パット数1.99 パーオン率28.8% フェアウェイ率46.8% OB率14.3% バンカー率21.0%,難易度9位/9ホール中 平均スコア6.16 平均パット数1.99 パーオン率28.8% フェアウェイ率46.8% OB率14.3% バンカー率21.0%,難易度9位/9ホール中 平均スコア6.16 平均パット数1.99 パーオン率28.8% フェアウェイ率46.8% OB率14.3% バンカー率21.0%
