,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：434yd,Hdcp：14,PAR：4,Reg.：327yd,Hdcp：18,PAR：5,Reg.：507yd,Hdcp：8
1,紺碧の海に向かって打ち下ろすスターティングホール,紺碧の海に向かって打ち下ろすスターティングホール,紺碧の海に向かって打ち下ろすスターティングホール,軽い上りの短いミドル　グリーンの奥行きは短い,軽い上りの短いミドル　グリーンの奥行きは短い,軽い上りの短いミドル　グリーンの奥行きは短い,左傾斜打ち下ろしのロング　グリーンは右から狙う,左傾斜打ち下ろしのロング　グリーンは右から狙う,左傾斜打ち下ろしのロング　グリーンは右から狙う
2,難易度2位/9ホール中 平均スコア5.48 平均パット数2.02 パーオン率14.5% フェアウェイ率48.5% OB率28.3% バンカー率29.8%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.02 パーオン率14.5% フェアウェイ率48.5% OB率28.3% バンカー率29.8%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.02 パーオン率14.5% フェアウェイ率48.5% OB率28.3% バンカー率29.8%,難易度5位/9ホール中 平均スコア5.18 平均パット数1.87 パーオン率22.5% フェアウェイ率50.3% OB率34.0% バンカー率28.8%,難易度5位/9ホール中 平均スコア5.18 平均パット数1.87 パーオン率22.5% フェアウェイ率50.3% OB率34.0% バンカー率28.8%,難易度5位/9ホール中 平均スコア5.18 平均パット数1.87 パーオン率22.5% フェアウェイ率50.3% OB率34.0% バンカー率28.8%,難易度6位/9ホール中 平均スコア6.27 平均パット数2.04 パーオン率29.8% フェアウェイ率47.8% OB率30.8% バンカー率33.5%,難易度6位/9ホール中 平均スコア6.27 平均パット数2.04 パーオン率29.8% フェアウェイ率47.8% OB率30.8% バンカー率33.5%,難易度6位/9ホール中 平均スコア6.27 平均パット数2.04 パーオン率29.8% フェアウェイ率47.8% OB率30.8% バンカー率33.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：444yd,Hdcp：2,PAR：3,Reg.：161yd,Hdcp：10,PAR：4,Reg.：428yd,Hdcp：6
5,距離のある軽い右ドッグのミドルホール,距離のある軽い右ドッグのミドルホール,距離のある軽い右ドッグのミドルホール,池はグリーン奥まで回っている　風にも注意,池はグリーン奥まで回っている　風にも注意,池はグリーン奥まで回っている　風にも注意,グリーンが狙いやすくなる右へ　２打からは打ち下し,グリーンが狙いやすくなる右へ　２打からは打ち下し,グリーンが狙いやすくなる右へ　２打からは打ち下し
6,難易度1位/9ホール中 平均スコア5.48 平均パット数1.93 パーオン率11.0% フェアウェイ率49.3% OB率50.3% バンカー率25.5%,難易度1位/9ホール中 平均スコア5.48 平均パット数1.93 パーオン率11.0% フェアウェイ率49.3% OB率50.3% バンカー率25.5%,難易度1位/9ホール中 平均スコア5.48 平均パット数1.93 パーオン率11.0% フェアウェイ率49.3% OB率50.3% バンカー率25.5%,難易度9位/9ホール中 平均スコア3.97 平均パット数1.93 パーオン率34.5% フェアウェイ率- OB率10.0% バンカー率15.3%,難易度9位/9ホール中 平均スコア3.97 平均パット数1.93 パーオン率34.5% フェアウェイ率- OB率10.0% バンカー率15.3%,難易度9位/9ホール中 平均スコア3.97 平均パット数1.93 パーオン率34.5% フェアウェイ率- OB率10.0% バンカー率15.3%,難易度3位/9ホール中 平均スコア5.45 平均パット数1.94 パーオン率13.3% フェアウェイ率50.0% OB率24.0% バンカー率42.5%,難易度3位/9ホール中 平均スコア5.45 平均パット数1.94 パーオン率13.3% フェアウェイ率50.0% OB率24.0% バンカー率42.5%,難易度3位/9ホール中 平均スコア5.45 平均パット数1.94 パーオン率13.3% フェアウェイ率50.0% OB率24.0% バンカー率42.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：388yd,Hdcp：12,PAR：3,Reg.：182yd,Hdcp：16,PAR：5,Reg.：517yd,Hdcp：4
9,開放感あるミドル　２打目は距離を正確に,開放感あるミドル　２打目は距離を正確に,開放感あるミドル　２打目は距離を正確に,亜熱帯植物に囲まれた打ち下しショートホール,亜熱帯植物に囲まれた打ち下しショートホール,亜熱帯植物に囲まれた打ち下しショートホール,軽い打ち上げのロング　奥行きのある２段グリーン,軽い打ち上げのロング　奥行きのある２段グリーン,軽い打ち上げのロング　奥行きのある２段グリーン
