,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：462yd,Hdcp：,PAR：3,Reg.：191yd,Hdcp：,PAR：4,Reg.：413yd,Hdcp：
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いショートホール,長いショートホール,長いショートホール,池越えの右ドッグレッグのミドルホール,池越えの右ドッグレッグのミドルホール,池越えの右ドッグレッグのミドルホール
2,難易度6位/9ホール中 平均スコア6.06 平均パット数1.94 パーオン率37.3% フェアウェイ率58.3% OB率28.8% バンカー率24.3%,難易度6位/9ホール中 平均スコア6.06 平均パット数1.94 パーオン率37.3% フェアウェイ率58.3% OB率28.8% バンカー率24.3%,難易度6位/9ホール中 平均スコア6.06 平均パット数1.94 パーオン率37.3% フェアウェイ率58.3% OB率28.8% バンカー率24.3%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.9 パーオン率21.8% フェアウェイ率- OB率25.8% バンカー率18.3%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.9 パーオン率21.8% フェアウェイ率- OB率25.8% バンカー率18.3%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.9 パーオン率21.8% フェアウェイ率- OB率25.8% バンカー率18.3%,難易度2位/9ホール中 平均スコア5.63 平均パット数2.04 パーオン率10.5% フェアウェイ率49.8% OB率25.8% バンカー率32.5%,難易度2位/9ホール中 平均スコア5.63 平均パット数2.04 パーオン率10.5% フェアウェイ率49.8% OB率25.8% バンカー率32.5%,難易度2位/9ホール中 平均スコア5.63 平均パット数2.04 パーオン率10.5% フェアウェイ率49.8% OB率25.8% バンカー率32.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：402yd,Hdcp：,PAR：5,Reg.：511yd,Hdcp：,PAR：3,Reg.：179yd,Hdcp：
5,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,短いショートホール,短いショートホール,短いショートホール
6,難易度1位/9ホール中 平均スコア5.67 平均パット数2.02 パーオン率10.3% フェアウェイ率60.8% OB率37.8% バンカー率14.0%,難易度1位/9ホール中 平均スコア5.67 平均パット数2.02 パーオン率10.3% フェアウェイ率60.8% OB率37.8% バンカー率14.0%,難易度1位/9ホール中 平均スコア5.67 平均パット数2.02 パーオン率10.3% フェアウェイ率60.8% OB率37.8% バンカー率14.0%,難易度5位/9ホール中 平均スコア6.22 平均パット数2.01 パーオン率27.0% フェアウェイ率64.5% OB率26.0% バンカー率26.5%,難易度5位/9ホール中 平均スコア6.22 平均パット数2.01 パーオン率27.0% フェアウェイ率64.5% OB率26.0% バンカー率26.5%,難易度5位/9ホール中 平均スコア6.22 平均パット数2.01 パーオン率27.0% フェアウェイ率64.5% OB率26.0% バンカー率26.5%,難易度9位/9ホール中 平均スコア3.86 平均パット数1.97 パーオン率33.3% フェアウェイ率- OB率16.8% バンカー率32.8%,難易度9位/9ホール中 平均スコア3.86 平均パット数1.97 パーオン率33.3% フェアウェイ率- OB率16.8% バンカー率32.8%,難易度9位/9ホール中 平均スコア3.86 平均パット数1.97 パーオン率33.3% フェアウェイ率- OB率16.8% バンカー率32.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：335yd,Hdcp：,PAR：4,Reg.：304yd,Hdcp：,PAR：4,Reg.：379yd,Hdcp：
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度3位/9ホール中 平均スコア5.4 平均パット数1.98 パーオン率17.8% フェアウェイ率54.0% OB率37.5% バンカー率20.0%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.98 パーオン率17.8% フェアウェイ率54.0% OB率37.5% バンカー率20.0%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.98 パーオン率17.8% フェアウェイ率54.0% OB率37.5% バンカー率20.0%,難易度7位/9ホール中 平均スコア5.12 平均パット数1.97 パーオン率26.0% フェアウェイ率69.3% OB率16.5% バンカー率12.8%,難易度7位/9ホール中 平均スコア5.12 平均パット数1.97 パーオン率26.0% フェアウェイ率69.3% OB率16.5% バンカー率12.8%,難易度7位/9ホール中 平均スコア5.12 平均パット数1.97 パーオン率26.0% フェアウェイ率69.3% OB率16.5% バンカー率12.8%,難易度4位/9ホール中 平均スコア5.28 平均パット数2 パーオン率20.5% フェアウェイ率65.5% OB率22.0% バンカー率30.3%,難易度4位/9ホール中 平均スコア5.28 平均パット数2 パーオン率20.5% フェアウェイ率65.5% OB率22.0% バンカー率30.3%,難易度4位/9ホール中 平均スコア5.28 平均パット数2 パーオン率20.5% フェアウェイ率65.5% OB率22.0% バンカー率30.3%
