,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：358yd,Hdcp：12,PAR：4,Reg.：335yd,Hdcp：4,PAR：3,Reg.：139yd,Hdcp：18
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度5位/18ホール中 平均スコア5.38 平均パット数1.88 パーオン率15.7% フェアウェイ率45.5% OB率9.7% バンカー率24.7%,難易度5位/18ホール中 平均スコア5.38 平均パット数1.88 パーオン率15.7% フェアウェイ率45.5% OB率9.7% バンカー率24.7%,難易度5位/18ホール中 平均スコア5.38 平均パット数1.88 パーオン率15.7% フェアウェイ率45.5% OB率9.7% バンカー率24.7%,難易度6位/18ホール中 平均スコア5.38 平均パット数1.8 パーオン率20.3% フェアウェイ率41.5% OB率47.3% バンカー率11.3%,難易度6位/18ホール中 平均スコア5.38 平均パット数1.8 パーオン率20.3% フェアウェイ率41.5% OB率47.3% バンカー率11.3%,難易度6位/18ホール中 平均スコア5.38 平均パット数1.8 パーオン率20.3% フェアウェイ率41.5% OB率47.3% バンカー率11.3%,難易度17位/18ホール中 平均スコア4.04 平均パット数1.66 パーオン率18.7% フェアウェイ率- OB率21.0% バンカー率13.0%,難易度17位/18ホール中 平均スコア4.04 平均パット数1.66 パーオン率18.7% フェアウェイ率- OB率21.0% バンカー率13.0%,難易度17位/18ホール中 平均スコア4.04 平均パット数1.66 パーオン率18.7% フェアウェイ率- OB率21.0% バンカー率13.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：359yd,Hdcp：8,PAR：4,Reg.：327yd,Hdcp：16,PAR：5,Reg.：499yd,Hdcp：2
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度1位/18ホール中 平均スコア5.7 平均パット数1.91 パーオン率9.7% フェアウェイ率47.5% OB率51.7% バンカー率14.0%,難易度1位/18ホール中 平均スコア5.7 平均パット数1.91 パーオン率9.7% フェアウェイ率47.5% OB率51.7% バンカー率14.0%,難易度1位/18ホール中 平均スコア5.7 平均パット数1.91 パーオン率9.7% フェアウェイ率47.5% OB率51.7% バンカー率14.0%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.85 パーオン率27.0% フェアウェイ率52.8% OB率43.8% バンカー率5.0%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.85 パーオン率27.0% フェアウェイ率52.8% OB率43.8% バンカー率5.0%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.85 パーオン率27.0% フェアウェイ率52.8% OB率43.8% バンカー率5.0%,難易度2位/18ホール中 平均スコア6.61 平均パット数1.86 パーオン率13.0% フェアウェイ率46.0% OB率27.5% バンカー率22.7%,難易度2位/18ホール中 平均スコア6.61 平均パット数1.86 パーオン率13.0% フェアウェイ率46.0% OB率27.5% バンカー率22.7%,難易度2位/18ホール中 平均スコア6.61 平均パット数1.86 パーオン率13.0% フェアウェイ率46.0% OB率27.5% バンカー率22.7%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：175yd,Hdcp：6,PAR：5,Reg.：518yd,Hdcp：14,PAR：4,Reg.：395yd,Hdcp：10
9,長いショートホール,長いショートホール,長いショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度11位/18ホール中 平均スコア4.23 平均パット数1.93 パーオン率18.7% フェアウェイ率- OB率46.0% バンカー率14.8%,難易度11位/18ホール中 平均スコア4.23 平均パット数1.93 パーオン率18.7% フェアウェイ率- OB率46.0% バンカー率14.8%,難易度11位/18ホール中 平均スコア4.23 平均パット数1.93 パーオン率18.7% フェアウェイ率- OB率46.0% バンカー率14.8%,難易度15位/18ホール中 平均スコア6.29 平均パット数1.8 パーオン率30.7% フェアウェイ率42.0% OB率45.0% バンカー率10.8%,難易度15位/18ホール中 平均スコア6.29 平均パット数1.8 パーオン率30.7% フェアウェイ率42.0% OB率45.0% バンカー率10.8%,難易度15位/18ホール中 平均スコア6.29 平均パット数1.8 パーオン率30.7% フェアウェイ率42.0% OB率45.0% バンカー率10.8%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.9 パーオン率19.0% フェアウェイ率53.0% OB率38.3% バンカー率2.0%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.9 パーオン率19.0% フェアウェイ率53.0% OB率38.3% バンカー率2.0%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.9 パーオン率19.0% フェアウェイ率53.0% OB率38.3% バンカー率2.0%
