,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：363yd,Hdcp：2,PAR：5,Reg.：499yd,Hdcp：8,PAR：3,Reg.：178yd,Hdcp：5
1,第一打は黄・赤の吹き流し狙い。前の組への打ち込み注意。第二打は打ち下ろし。距離感に注意。,第一打は黄・赤の吹き流し狙い。前の組への打ち込み注意。第二打は打ち下ろし。距離感に注意。,第一打は黄・赤の吹き流し狙い。前の組への打ち込み注意。第二打は打ち下ろし。距離感に注意。,前の組への打ち込み注意。右ドッグレッグのロングホール。第一打は黄・赤の吹き流しやや狙いが良い。グリーン手前バンカーに注意。,前の組への打ち込み注意。右ドッグレッグのロングホール。第一打は黄・赤の吹き流しやや狙いが良い。グリーン手前バンカーに注意。,前の組への打ち込み注意。右ドッグレッグのロングホール。第一打は黄・赤の吹き流しやや狙いが良い。グリーン手前バンカーに注意。,手前の池の為大きめのクラブ選択を。池はOB。グリーンは横に広い。,手前の池の為大きめのクラブ選択を。池はOB。グリーンは横に広い。,手前の池の為大きめのクラブ選択を。池はOB。グリーンは横に広い。
2,難易度1位/9ホール中 平均スコア5.63 平均パット数2.1 パーオン率14.3% フェアウェイ率53.0% OB率27.3% バンカー率15.0%,難易度1位/9ホール中 平均スコア5.63 平均パット数2.1 パーオン率14.3% フェアウェイ率53.0% OB率27.3% バンカー率15.0%,難易度1位/9ホール中 平均スコア5.63 平均パット数2.1 パーオン率14.3% フェアウェイ率53.0% OB率27.3% バンカー率15.0%,難易度3位/9ホール中 平均スコア6.26 平均パット数2.05 パーオン率33.3% フェアウェイ率59.3% OB率35.8% バンカー率18.5%,難易度3位/9ホール中 平均スコア6.26 平均パット数2.05 パーオン率33.3% フェアウェイ率59.3% OB率35.8% バンカー率18.5%,難易度3位/9ホール中 平均スコア6.26 平均パット数2.05 パーオン率33.3% フェアウェイ率59.3% OB率35.8% バンカー率18.5%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.97 パーオン率21.5% フェアウェイ率- OB率17.3% バンカー率8.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.97 パーオン率21.5% フェアウェイ率- OB率17.3% バンカー率8.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.97 パーオン率21.5% フェアウェイ率- OB率17.3% バンカー率8.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：502yd,Hdcp：7,PAR：4,Reg.：397yd,Hdcp：1,PAR：4,Reg.：343yd,Hdcp：4
5,左ドッグレッグのロングホール。第一打は黄・赤の吹き流し狙い。ロングヒッターは果敢に左山超えの2オン狙いも。前の組への打ち込み注意。グリーンは二段になっている。,左ドッグレッグのロングホール。第一打は黄・赤の吹き流し狙い。ロングヒッターは果敢に左山超えの2オン狙いも。前の組への打ち込み注意。グリーンは二段になっている。,左ドッグレッグのロングホール。第一打は黄・赤の吹き流し狙い。ロングヒッターは果敢に左山超えの2オン狙いも。前の組への打ち込み注意。グリーンは二段になっている。,ティーショットが鍵を握る、戦略性の高いホール。グリーンオーバーに注意。セカンド地点からは短いクラブの選択を。,ティーショットが鍵を握る、戦略性の高いホール。グリーンオーバーに注意。セカンド地点からは短いクラブの選択を。,ティーショットが鍵を握る、戦略性の高いホール。グリーンオーバーに注意。セカンド地点からは短いクラブの選択を。,打ち下ろしのミドルホール。第一打は赤色ボール狙い。距離・風に注意。二段グリーンなので、距離感に注意。,打ち下ろしのミドルホール。第一打は赤色ボール狙い。距離・風に注意。二段グリーンなので、距離感に注意。,打ち下ろしのミドルホール。第一打は赤色ボール狙い。距離・風に注意。二段グリーンなので、距離感に注意。
6,難易度8位/9ホール中 平均スコア6.07 平均パット数1.99 パーオン率33.3% フェアウェイ率56.0% OB率15.5% バンカー率16.8%,難易度8位/9ホール中 平均スコア6.07 平均パット数1.99 パーオン率33.3% フェアウェイ率56.0% OB率15.5% バンカー率16.8%,難易度8位/9ホール中 平均スコア6.07 平均パット数1.99 パーオン率33.3% フェアウェイ率56.0% OB率15.5% バンカー率16.8%,難易度2位/9ホール中 平均スコア5.58 平均パット数2.1 パーオン率16.5% フェアウェイ率54.3% OB率19.3% バンカー率22.8%,難易度2位/9ホール中 平均スコア5.58 平均パット数2.1 パーオン率16.5% フェアウェイ率54.3% OB率19.3% バンカー率22.8%,難易度2位/9ホール中 平均スコア5.58 平均パット数2.1 パーオン率16.5% フェアウェイ率54.3% OB率19.3% バンカー率22.8%,難易度4位/9ホール中 平均スコア5.31 平均パット数2.04 パーオン率23.0% フェアウェイ率46.8% OB率29.0% バンカー率2.7%,難易度4位/9ホール中 平均スコア5.31 平均パット数2.04 パーオン率23.0% フェアウェイ率46.8% OB率29.0% バンカー率2.7%,難易度4位/9ホール中 平均スコア5.31 平均パット数2.04 パーオン率23.0% フェアウェイ率46.8% OB率29.0% バンカー率2.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：171yd,Hdcp：6,PAR：4,Reg.：342yd,Hdcp：3,PAR：4,Reg.：346yd,Hdcp：9
9,美しいショートホール。大きめのクラブでしっかり打つ。グリーン廻りのバンカーに注意。,美しいショートホール。大きめのクラブでしっかり打つ。グリーン廻りのバンカーに注意。,美しいショートホール。大きめのクラブでしっかり打つ。グリーン廻りのバンカーに注意。,打ち下ろしのミドルホール。飛距離よりフェアウェイキープに専念。グリーン廻りのバンカーに注意。,打ち下ろしのミドルホール。飛距離よりフェアウェイキープに専念。グリーン廻りのバンカーに注意。,打ち下ろしのミドルホール。飛距離よりフェアウェイキープに専念。グリーン廻りのバンカーに注意。,ストレートのミドルホール。第一打やや左ねらい。グリーンの廻りにはバンカーが大きな口を開けて待っている。,ストレートのミドルホール。第一打やや左ねらい。グリーンの廻りにはバンカーが大きな口を開けて待っている。,ストレートのミドルホール。第一打やや左ねらい。グリーンの廻りにはバンカーが大きな口を開けて待っている。
