,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：546yd,Hdcp：5,PAR：4,Reg.：321yd,Hdcp：11,PAR：3,Reg.：162yd,Hdcp：17
1,ティーショットは安全に右サイド狙いで,ティーショットは安全に右サイド狙いで,ティーショットは安全に右サイド狙いで,軽い打ち上げのミドルホール　左ＯＢ,軽い打ち上げのミドルホール　左ＯＢ,軽い打ち上げのミドルホール　左ＯＢ,距離はないが、打ちおろしと風の計算がポイント,距離はないが、打ちおろしと風の計算がポイント,距離はないが、打ちおろしと風の計算がポイント
2,難易度2位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率18.5% フェアウェイ率58.5% OB率16.0% バンカー率31.3%,難易度2位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率18.5% フェアウェイ率58.5% OB率16.0% バンカー率31.3%,難易度2位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率18.5% フェアウェイ率58.5% OB率16.0% バンカー率31.3%,難易度12位/18ホール中 平均スコア5.13 平均パット数1.97 パーオン率27.0% フェアウェイ率55.5% OB率18.0% バンカー率41.5%,難易度12位/18ホール中 平均スコア5.13 平均パット数1.97 パーオン率27.0% フェアウェイ率55.5% OB率18.0% バンカー率41.5%,難易度12位/18ホール中 平均スコア5.13 平均パット数1.97 パーオン率27.0% フェアウェイ率55.5% OB率18.0% バンカー率41.5%,難易度18位/18ホール中 平均スコア4.02 平均パット数1.91 パーオン率21.3% フェアウェイ率- OB率13.3% バンカー率31.0%,難易度18位/18ホール中 平均スコア4.02 平均パット数1.91 パーオン率21.3% フェアウェイ率- OB率13.3% バンカー率31.0%,難易度18位/18ホール中 平均スコア4.02 平均パット数1.91 パーオン率21.3% フェアウェイ率- OB率13.3% バンカー率31.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：381yd,Hdcp：3,PAR：5,Reg.：497yd,Hdcp：9,PAR：3,Reg.：163yd,Hdcp：15
5,左はＯＢ。右隣ホールはセーフだが風に注意,左はＯＢ。右隣ホールはセーフだが風に注意,左はＯＢ。右隣ホールはセーフだが風に注意,右へ大きくドッグレッグしているロングホール,右へ大きくドッグレッグしているロングホール,右へ大きくドッグレッグしているロングホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール
6,難易度10位/18ホール中 平均スコア5.28 平均パット数1.89 パーオン率14.0% フェアウェイ率51.8% OB率20.0% バンカー率21.5%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.89 パーオン率14.0% フェアウェイ率51.8% OB率20.0% バンカー率21.5%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.89 パーオン率14.0% フェアウェイ率51.8% OB率20.0% バンカー率21.5%,難易度5位/18ホール中 平均スコア6.43 平均パット数1.92 パーオン率21.8% フェアウェイ率63.0% OB率53.5% バンカー率15.0%,難易度5位/18ホール中 平均スコア6.43 平均パット数1.92 パーオン率21.8% フェアウェイ率63.0% OB率53.5% バンカー率15.0%,難易度5位/18ホール中 平均スコア6.43 平均パット数1.92 パーオン率21.8% フェアウェイ率63.0% OB率53.5% バンカー率15.0%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.93 パーオン率22.5% フェアウェイ率- OB率14.5% バンカー率24.0%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.93 パーオン率22.5% フェアウェイ率- OB率14.5% バンカー率24.0%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.93 パーオン率22.5% フェアウェイ率- OB率14.5% バンカー率24.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：353yd,Hdcp：13,PAR：4,Reg.：374yd,Hdcp：1,PAR：4,Reg.：351yd,Hdcp：7
9,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度9位/18ホール中 平均スコア5.37 平均パット数1.96 パーオン率19.3% フェアウェイ率48.8% OB率38.5% バンカー率25.0%,難易度9位/18ホール中 平均スコア5.37 平均パット数1.96 パーオン率19.3% フェアウェイ率48.8% OB率38.5% バンカー率25.0%,難易度9位/18ホール中 平均スコア5.37 平均パット数1.96 パーオン率19.3% フェアウェイ率48.8% OB率38.5% バンカー率25.0%,難易度7位/18ホール中 平均スコア5.39 平均パット数2 パーオン率21.3% フェアウェイ率49.0% OB率46.5% バンカー率17.8%,難易度7位/18ホール中 平均スコア5.39 平均パット数2 パーオン率21.3% フェアウェイ率49.0% OB率46.5% バンカー率17.8%,難易度7位/18ホール中 平均スコア5.39 平均パット数2 パーオン率21.3% フェアウェイ率49.0% OB率46.5% バンカー率17.8%,難易度3位/18ホール中 平均スコア5.51 平均パット数1.95 パーオン率14.8% フェアウェイ率53.0% OB率33.5% バンカー率29.0%,難易度3位/18ホール中 平均スコア5.51 平均パット数1.95 パーオン率14.8% フェアウェイ率53.0% OB率33.5% バンカー率29.0%,難易度3位/18ホール中 平均スコア5.51 平均パット数1.95 パーオン率14.8% フェアウェイ率53.0% OB率33.5% バンカー率29.0%
