,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：334yd,Hdcp：6,PAR：3,Reg.：129yd,Hdcp：7,PAR：4,Reg.：341yd,Hdcp：2
1,思いっきりティーショットを打っていけるコース。狙いはフェアウェイ左バンカーの右側狙い。グリーンは手前から攻めるのがベスト。,思いっきりティーショットを打っていけるコース。狙いはフェアウェイ左バンカーの右側狙い。グリーンは手前から攻めるのがベスト。,思いっきりティーショットを打っていけるコース。狙いはフェアウェイ左バンカーの右側狙い。グリーンは手前から攻めるのがベスト。,グリーン周りはＯＢが出やすい。ピンポジにかかわらず、グリーンセンターを狙う。,グリーン周りはＯＢが出やすい。ピンポジにかかわらず、グリーンセンターを狙う。,グリーン周りはＯＢが出やすい。ピンポジにかかわらず、グリーンセンターを狙う。,左ドッグレッグのミドルホール。ティーショットは、正面クロスバンカー狙い。左サイドの池に注意。,左ドッグレッグのミドルホール。ティーショットは、正面クロスバンカー狙い。左サイドの池に注意。,左ドッグレッグのミドルホール。ティーショットは、正面クロスバンカー狙い。左サイドの池に注意。
2,難易度2位/9ホール中 平均スコア5.44 平均パット数2.04 パーオン率14.3% フェアウェイ率51.5% OB率4.3% バンカー率28.5%,難易度2位/9ホール中 平均スコア5.44 平均パット数2.04 パーオン率14.3% フェアウェイ率51.5% OB率4.3% バンカー率28.5%,難易度2位/9ホール中 平均スコア5.44 平均パット数2.04 パーオン率14.3% フェアウェイ率51.5% OB率4.3% バンカー率28.5%,難易度7位/9ホール中 平均スコア3.99 平均パット数1.98 パーオン率29.0% フェアウェイ率- OB率8.7% バンカー率28.5%,難易度7位/9ホール中 平均スコア3.99 平均パット数1.98 パーオン率29.0% フェアウェイ率- OB率8.7% バンカー率28.5%,難易度7位/9ホール中 平均スコア3.99 平均パット数1.98 パーオン率29.0% フェアウェイ率- OB率8.7% バンカー率28.5%,難易度1位/9ホール中 平均スコア5.55 平均パット数2.03 パーオン率13.8% フェアウェイ率56.8% OB率32.0% バンカー率20.0%,難易度1位/9ホール中 平均スコア5.55 平均パット数2.03 パーオン率13.8% フェアウェイ率56.8% OB率32.0% バンカー率20.0%,難易度1位/9ホール中 平均スコア5.55 平均パット数2.03 パーオン率13.8% フェアウェイ率56.8% OB率32.0% バンカー率20.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：303yd,Hdcp：1,PAR：5,Reg.：421yd,Hdcp：3,PAR：3,Reg.：114yd,Hdcp：4
5,軽く右にドッグレッグしたホール。ティーショットは、フェアウェイやや右狙い。安全に左サイドに刻んでいくのも一つの手段。,軽く右にドッグレッグしたホール。ティーショットは、フェアウェイやや右狙い。安全に左サイドに刻んでいくのも一つの手段。,軽く右にドッグレッグしたホール。ティーショットは、フェアウェイやや右狙い。安全に左サイドに刻んでいくのも一つの手段。,距離の短いロングホール。ティーショットはフェアウェイセンター狙い。グリーン手前の池に注意。,距離の短いロングホール。ティーショットはフェアウェイセンター狙い。グリーン手前の池に注意。,距離の短いロングホール。ティーショットはフェアウェイセンター狙い。グリーン手前の池に注意。,ピンポジにかかわらず、グリーンセンター狙い。左ガードバンカーに注意。,ピンポジにかかわらず、グリーンセンター狙い。左ガードバンカーに注意。,ピンポジにかかわらず、グリーンセンター狙い。左ガードバンカーに注意。
6,難易度4位/9ホール中 平均スコア5.19 平均パット数1.97 パーオン率25.0% フェアウェイ率51.3% OB率10.3% バンカー率22.0%,難易度4位/9ホール中 平均スコア5.19 平均パット数1.97 パーオン率25.0% フェアウェイ率51.3% OB率10.3% バンカー率22.0%,難易度4位/9ホール中 平均スコア5.19 平均パット数1.97 パーオン率25.0% フェアウェイ率51.3% OB率10.3% バンカー率22.0%,難易度3位/9ホール中 平均スコア6.39 平均パット数2 パーオン率24.8% フェアウェイ率48.0% OB率18.3% バンカー率7.5%,難易度3位/9ホール中 平均スコア6.39 平均パット数2 パーオン率24.8% フェアウェイ率48.0% OB率18.3% バンカー率7.5%,難易度3位/9ホール中 平均スコア6.39 平均パット数2 パーオン率24.8% フェアウェイ率48.0% OB率18.3% バンカー率7.5%,難易度9位/9ホール中 平均スコア3.86 平均パット数1.98 パーオン率32.5% フェアウェイ率- OB率6.3% バンカー率12.5%,難易度9位/9ホール中 平均スコア3.86 平均パット数1.98 パーオン率32.5% フェアウェイ率- OB率6.3% バンカー率12.5%,難易度9位/9ホール中 平均スコア3.86 平均パット数1.98 パーオン率32.5% フェアウェイ率- OB率6.3% バンカー率12.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：293yd,Hdcp：9,PAR：3,Reg.：167yd,Hdcp：8,PAR：4,Reg.：288yd,Hdcp：5
9,ティーショットはフェアウェイセンターのバンカーに注意。二打目は確実にグリーンセンターへ。グリーンを外すと、周りからのアプローチは寄せがむずかしい。,ティーショットはフェアウェイセンターのバンカーに注意。二打目は確実にグリーンセンターへ。グリーンを外すと、周りからのアプローチは寄せがむずかしい。,ティーショットはフェアウェイセンターのバンカーに注意。二打目は確実にグリーンセンターへ。グリーンを外すと、周りからのアプローチは寄せがむずかしい。,池が気になるショートホール。グリーン右側は比較的安全。,池が気になるショートホール。グリーン右側は比較的安全。,池が気になるショートホール。グリーン右側は比較的安全。,ティーショットはフェアウェイ正面の木を目標に。二打目は確実にグリーンセンターへ。バーディーの確率が高いホール。,ティーショットはフェアウェイ正面の木を目標に。二打目は確実にグリーンセンターへ。バーディーの確率が高いホール。,ティーショットはフェアウェイ正面の木を目標に。二打目は確実にグリーンセンターへ。バーディーの確率が高いホール。
