,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：410yd,Hdcp：,PAR：4,Reg.：368yd,Hdcp：,PAR：3,Reg.：167yd,Hdcp：
1,17メートル崖下への打ち下ろしのロングホール,17メートル崖下への打ち下ろしのロングホール,17メートル崖下への打ち下ろしのロングホール,グリーンサイドは樹齢数十年の杉林　風格あるミドル,グリーンサイドは樹齢数十年の杉林　風格あるミドル,グリーンサイドは樹齢数十年の杉林　風格あるミドル,杉の巨木に囲まれた美しいショートホール,杉の巨木に囲まれた美しいショートホール,杉の巨木に囲まれた美しいショートホール
2,難易度1位/9ホール中 平均スコア5.45 平均パット数1.93 パーオン率12.8% フェアウェイ率53.5% OB率18.3% バンカー率30.8%,難易度1位/9ホール中 平均スコア5.45 平均パット数1.93 パーオン率12.8% フェアウェイ率53.5% OB率18.3% バンカー率30.8%,難易度1位/9ホール中 平均スコア5.45 平均パット数1.93 パーオン率12.8% フェアウェイ率53.5% OB率18.3% バンカー率30.8%,難易度5位/9ホール中 平均スコア5.31 平均パット数1.93 パーオン率17.0% フェアウェイ率56.3% OB率17.0% バンカー率22.5%,難易度5位/9ホール中 平均スコア5.31 平均パット数1.93 パーオン率17.0% フェアウェイ率56.3% OB率17.0% バンカー率22.5%,難易度5位/9ホール中 平均スコア5.31 平均パット数1.93 パーオン率17.0% フェアウェイ率56.3% OB率17.0% バンカー率22.5%,難易度9位/9ホール中 平均スコア3.98 平均パット数1.93 パーオン率28.8% フェアウェイ率- OB率6.0% バンカー率44.3%,難易度9位/9ホール中 平均スコア3.98 平均パット数1.93 パーオン率28.8% フェアウェイ率- OB率6.0% バンカー率44.3%,難易度9位/9ホール中 平均スコア3.98 平均パット数1.93 パーオン率28.8% フェアウェイ率- OB率6.0% バンカー率44.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：489yd,Hdcp：,PAR：4,Reg.：372yd,Hdcp：,PAR：4,Reg.：399yd,Hdcp：
5,ベストルートはクロスバンカー左にある杉の木越え,ベストルートはクロスバンカー左にある杉の木越え,ベストルートはクロスバンカー左にある杉の木越え,距離のないミドルホール,距離のないミドルホール,距離のないミドルホール,ドライバショットが杉林にコダマする阿蘇独特ホール,ドライバショットが杉林にコダマする阿蘇独特ホール,ドライバショットが杉林にコダマする阿蘇独特ホール
6,難易度2位/9ホール中 平均スコア6.4 平均パット数1.94 パーオン率24.0% フェアウェイ率54.0% OB率20.3% バンカー率24.5%,難易度2位/9ホール中 平均スコア6.4 平均パット数1.94 パーオン率24.0% フェアウェイ率54.0% OB率20.3% バンカー率24.5%,難易度2位/9ホール中 平均スコア6.4 平均パット数1.94 パーオン率24.0% フェアウェイ率54.0% OB率20.3% バンカー率24.5%,難易度6位/9ホール中 平均スコア5.28 平均パット数2 パーオン率21.5% フェアウェイ率52.8% OB率24.0% バンカー率20.8%,難易度6位/9ホール中 平均スコア5.28 平均パット数2 パーオン率21.5% フェアウェイ率52.8% OB率24.0% バンカー率20.8%,難易度6位/9ホール中 平均スコア5.28 平均パット数2 パーオン率21.5% フェアウェイ率52.8% OB率24.0% バンカー率20.8%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.96 パーオン率12.0% フェアウェイ率57.3% OB率25.3% バンカー率15.5%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.96 パーオン率12.0% フェアウェイ率57.3% OB率25.3% バンカー率15.5%,難易度3位/9ホール中 平均スコア5.4 平均パット数1.96 パーオン率12.0% フェアウェイ率57.3% OB率25.3% バンカー率15.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：194yd,Hdcp：,PAR：4,Reg.：405yd,Hdcp：,PAR：5,Reg.：500yd,Hdcp：
9,長いショートホール,長いショートホール,長いショートホール,ティーショットは正面の一本松へ,ティーショットは正面の一本松へ,ティーショットは正面の一本松へ,右サイドが浅い、正面より右へ打つとOBになりやすい,右サイドが浅い、正面より右へ打つとOBになりやすい,右サイドが浅い、正面より右へ打つとOBになりやすい
10,難易度7位/9ホール中 平均スコア4.27 平均パット数2.07 パーオン率17.0% フェアウェイ率- OB率10.5% バンカー率37.3%,難易度7位/9ホール中 平均スコア4.27 平均パット数2.07 パーオン率17.0% フェアウェイ率- OB率10.5% バンカー率37.3%,難易度7位/9ホール中 平均スコア4.27 平均パット数2.07 パーオン率17.0% フェアウェイ率- OB率10.5% バンカー率37.3%,難易度4位/9ホール中 平均スコア5.41 平均パット数2.03 パーオン率17.8% フェアウェイ率64.3% OB率20.5% バンカー率29.3%,難易度4位/9ホール中 平均スコア5.41 平均パット数2.03 パーオン率17.8% フェアウェイ率64.3% OB率20.5% バンカー率29.3%,難易度4位/9ホール中 平均スコア5.41 平均パット数2.03 パーオン率17.8% フェアウェイ率64.3% OB率20.5% バンカー率29.3%,難易度8位/9ホール中 平均スコア6.18 平均パット数1.93 パーオン率31.5% フェアウェイ率61.5% OB率29.3% バンカー率16.7%,難易度8位/9ホール中 平均スコア6.18 平均パット数1.93 パーオン率31.5% フェアウェイ率61.5% OB率29.3% バンカー率16.7%,難易度8位/9ホール中 平均スコア6.18 平均パット数1.93 パーオン率31.5% フェアウェイ率61.5% OB率29.3% バンカー率16.7%
