,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：425yd,Hdcp：7,PAR：4,Reg.：412yd,Hdcp：1,PAR：4,Reg.：383yd,Hdcp：15
1,第１打はフェアウェイセンターへ,第１打はフェアウェイセンターへ,第１打はフェアウェイセンターへ,難しい距離のあるミドルホール,難しい距離のあるミドルホール,難しい距離のあるミドルホール,第１打は右バンカーの左端狙い,第１打は右バンカーの左端狙い,第１打は右バンカーの左端狙い
2,難易度5位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率14.5% フェアウェイ率49.8% OB率3.5% バンカー率25.3%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率14.5% フェアウェイ率49.8% OB率3.5% バンカー率25.3%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率14.5% フェアウェイ率49.8% OB率3.5% バンカー率25.3%,難易度1位/18ホール中 平均スコア5.63 平均パット数2.11 パーオン率10.8% フェアウェイ率42.3% OB率23.5% バンカー率23.5%,難易度1位/18ホール中 平均スコア5.63 平均パット数2.11 パーオン率10.8% フェアウェイ率42.3% OB率23.5% バンカー率23.5%,難易度1位/18ホール中 平均スコア5.63 平均パット数2.11 パーオン率10.8% フェアウェイ率42.3% OB率23.5% バンカー率23.5%,難易度9位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率19.0% フェアウェイ率50.3% OB率2.5% バンカー率33.0%,難易度9位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率19.0% フェアウェイ率50.3% OB率2.5% バンカー率33.0%,難易度9位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率19.0% フェアウェイ率50.3% OB率2.5% バンカー率33.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：149yd,Hdcp：9,PAR：4,Reg.：364yd,Hdcp：11,PAR：5,Reg.：499yd,Hdcp：13
5,左右から池が迫るショートホール,左右から池が迫るショートホール,左右から池が迫るショートホール,第１打はフェアウェイやや右狙いで,第１打はフェアウェイやや右狙いで,第１打はフェアウェイやや右狙いで,ドッグレッグ角の池はOB,ドッグレッグ角の池はOB,ドッグレッグ角の池はOB
6,難易度16位/18ホール中 平均スコア4.08 平均パット数2.15 パーオン率32.8% フェアウェイ率- OB率4.3% バンカー率4.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.15 パーオン率32.8% フェアウェイ率- OB率4.3% バンカー率4.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数2.15 パーオン率32.8% フェアウェイ率- OB率4.3% バンカー率4.8%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.08 パーオン率22.0% フェアウェイ率56.3% OB率4.0% バンカー率28.5%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.08 パーオン率22.0% フェアウェイ率56.3% OB率4.0% バンカー率28.5%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.08 パーオン率22.0% フェアウェイ率56.3% OB率4.0% バンカー率28.5%,難易度11位/18ホール中 平均スコア6.27 平均パット数2.07 パーオン率29.0% フェアウェイ率60.3% OB率13.3% バンカー率19.8%,難易度11位/18ホール中 平均スコア6.27 平均パット数2.07 パーオン率29.0% フェアウェイ率60.3% OB率13.3% バンカー率19.8%,難易度11位/18ホール中 平均スコア6.27 平均パット数2.07 パーオン率29.0% フェアウェイ率60.3% OB率13.3% バンカー率19.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：146yd,Hdcp：17,PAR：4,Reg.：394yd,Hdcp：3,PAR：5,Reg.：576yd,Hdcp：5
9,２段グリーンのショートホール,２段グリーンのショートホール,２段グリーンのショートホール,第１打はフェアウェイ左側が安全,第１打はフェアウェイ左側が安全,第１打はフェアウェイ左側が安全,最長の左ドッグレッグロングホール,最長の左ドッグレッグロングホール,最長の左ドッグレッグロングホール
10,難易度17位/18ホール中 平均スコア4.06 平均パット数2.2 パーオン率35.5% フェアウェイ率- OB率3.5% バンカー率22.3%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.2 パーオン率35.5% フェアウェイ率- OB率3.5% バンカー率22.3%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.2 パーオン率35.5% フェアウェイ率- OB率3.5% バンカー率22.3%,難易度12位/18ホール中 平均スコア5.28 平均パット数2.08 パーオン率22.8% フェアウェイ率64.8% OB率13.8% バンカー率24.5%,難易度12位/18ホール中 平均スコア5.28 平均パット数2.08 パーオン率22.8% フェアウェイ率64.8% OB率13.8% バンカー率24.5%,難易度12位/18ホール中 平均スコア5.28 平均パット数2.08 パーオン率22.8% フェアウェイ率64.8% OB率13.8% バンカー率24.5%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.09 パーオン率20.0% フェアウェイ率51.3% OB率34.0% バンカー率13.3%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.09 パーオン率20.0% フェアウェイ率51.3% OB率34.0% バンカー率13.3%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.09 パーオン率20.0% フェアウェイ率51.3% OB率34.0% バンカー率13.3%
