,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：369yd,Hdcp：16,PAR：5,Reg.：513yd,Hdcp：10,PAR：4,Reg.：380yd,Hdcp：4
1,打ち下ろしのミドル　フェアウェイ右側が狙い目,打ち下ろしのミドル　フェアウェイ右側が狙い目,打ち下ろしのミドル　フェアウェイ右側が狙い目,左ドッグのロング　左池とバンカーだけに注意,左ドッグのロング　左池とバンカーだけに注意,左ドッグのロング　左池とバンカーだけに注意,距離のあるミドル　左右OB　正確な第1打を,距離のあるミドル　左右OB　正確な第1打を,距離のあるミドル　左右OB　正確な第1打を
2,難易度11位/18ホール中 平均スコア5.29 平均パット数1.94 パーオン率18.0% フェアウェイ率41.0% OB率3.7% バンカー率30.3%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.94 パーオン率18.0% フェアウェイ率41.0% OB率3.7% バンカー率30.3%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.94 パーオン率18.0% フェアウェイ率41.0% OB率3.7% バンカー率30.3%,難易度3位/18ホール中 平均スコア6.46 平均パット数1.94 パーオン率19.0% フェアウェイ率53.0% OB率5.0% バンカー率30.3%,難易度3位/18ホール中 平均スコア6.46 平均パット数1.94 パーオン率19.0% フェアウェイ率53.0% OB率5.0% バンカー率30.3%,難易度3位/18ホール中 平均スコア6.46 平均パット数1.94 パーオン率19.0% フェアウェイ率53.0% OB率5.0% バンカー率30.3%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.93 パーオン率15.5% フェアウェイ率51.3% OB率28.3% バンカー率17.5%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.93 パーオン率15.5% フェアウェイ率51.3% OB率28.3% バンカー率17.5%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.93 パーオン率15.5% フェアウェイ率51.3% OB率28.3% バンカー率17.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：172yd,Hdcp：8,PAR：4,Reg.：379yd,Hdcp：2,PAR：5,Reg.：488yd,Hdcp：14
5,グリーンが浮き島の打ち下ろしのショートホール,グリーンが浮き島の打ち下ろしのショートホール,グリーンが浮き島の打ち下ろしのショートホール,左ドッグ打ち上げのミドルホール,左ドッグ打ち上げのミドルホール,左ドッグ打ち上げのミドルホール,真っ直ぐのロングホール　2オン狙いは第1打を右に,真っ直ぐのロングホール　2オン狙いは第1打を右に,真っ直ぐのロングホール　2オン狙いは第1打を右に
6,難易度16位/18ホール中 平均スコア4.05 平均パット数1.94 パーオン率24.3% フェアウェイ率- OB率7.3% バンカー率8.3%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.94 パーオン率24.3% フェアウェイ率- OB率7.3% バンカー率8.3%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.94 パーオン率24.3% フェアウェイ率- OB率7.3% バンカー率8.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.89 パーオン率10.8% フェアウェイ率47.3% OB率15.8% バンカー率15.5%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.89 パーオン率10.8% フェアウェイ率47.3% OB率15.8% バンカー率15.5%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.89 パーオン率10.8% フェアウェイ率47.3% OB率15.8% バンカー率15.5%,難易度7位/18ホール中 平均スコア6.35 平均パット数1.91 パーオン率25.0% フェアウェイ率43.8% OB率29.3% バンカー率20.5%,難易度7位/18ホール中 平均スコア6.35 平均パット数1.91 パーオン率25.0% フェアウェイ率43.8% OB率29.3% バンカー率20.5%,難易度7位/18ホール中 平均スコア6.35 平均パット数1.91 パーオン率25.0% フェアウェイ率43.8% OB率29.3% バンカー率20.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：361yd,Hdcp：6,PAR：3,Reg.：152yd,Hdcp：18,PAR：4,Reg.：377yd,Hdcp：12
9,真っ直ぐのミドル　第2打の距離感錯覚しやすい。,真っ直ぐのミドル　第2打の距離感錯覚しやすい。,真っ直ぐのミドル　第2打の距離感錯覚しやすい。,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,右OBの打ち上げのミドルホール,右OBの打ち上げのミドルホール,右OBの打ち上げのミドルホール
10,難易度9位/18ホール中 平均スコア5.33 平均パット数1.88 パーオン率14.5% フェアウェイ率51.0% OB率18.3% バンカー率24.0%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.88 パーオン率14.5% フェアウェイ率51.0% OB率18.3% バンカー率24.0%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.88 パーオン率14.5% フェアウェイ率51.0% OB率18.3% バンカー率24.0%,難易度17位/18ホール中 平均スコア4.07 平均パット数1.87 パーオン率19.5% フェアウェイ率- OB率3.0% バンカー率4.3%,難易度17位/18ホール中 平均スコア4.07 平均パット数1.87 パーオン率19.5% フェアウェイ率- OB率3.0% バンカー率4.3%,難易度17位/18ホール中 平均スコア4.07 平均パット数1.87 パーオン率19.5% フェアウェイ率- OB率3.0% バンカー率4.3%,難易度10位/18ホール中 平均スコア5.25 平均パット数1.86 パーオン率14.5% フェアウェイ率55.5% OB率18.0% バンカー率8.5%,難易度10位/18ホール中 平均スコア5.25 平均パット数1.86 パーオン率14.5% フェアウェイ率55.5% OB率18.0% バンカー率8.5%,難易度10位/18ホール中 平均スコア5.25 平均パット数1.86 パーオン率14.5% フェアウェイ率55.5% OB率18.0% バンカー率8.5%
