,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：504yd,Hdcp：2,PAR：4,Reg.：360yd,Hdcp：4,PAR：3,Reg.：166yd,Hdcp：8
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度6位/9ホール中 平均スコア6.25 平均パット数1.91 パーオン率27.0% フェアウェイ率36.3% OB率32.5% バンカー率18.5%,難易度6位/9ホール中 平均スコア6.25 平均パット数1.91 パーオン率27.0% フェアウェイ率36.3% OB率32.5% バンカー率18.5%,難易度6位/9ホール中 平均スコア6.25 平均パット数1.91 パーオン率27.0% フェアウェイ率36.3% OB率32.5% バンカー率18.5%,難易度2位/9ホール中 平均スコア5.37 平均パット数1.94 パーオン率19.0% フェアウェイ率47.5% OB率33.0% バンカー率7.3%,難易度2位/9ホール中 平均スコア5.37 平均パット数1.94 パーオン率19.0% フェアウェイ率47.5% OB率33.0% バンカー率7.3%,難易度2位/9ホール中 平均スコア5.37 平均パット数1.94 パーオン率19.0% フェアウェイ率47.5% OB率33.0% バンカー率7.3%,難易度8位/9ホール中 平均スコア3.96 平均パット数1.92 パーオン率27.8% フェアウェイ率- OB率21.8% バンカー率10.0%,難易度8位/9ホール中 平均スコア3.96 平均パット数1.92 パーオン率27.8% フェアウェイ率- OB率21.8% バンカー率10.0%,難易度8位/9ホール中 平均スコア3.96 平均パット数1.92 パーオン率27.8% フェアウェイ率- OB率21.8% バンカー率10.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：434yd,Hdcp：1,PAR：4,Reg.：345yd,Hdcp：6,PAR：3,Reg.：121yd,Hdcp：9
5,真っ直ぐで長いミドルホール,真っ直ぐで長いミドルホール,真っ直ぐで長いミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,ショートホール,ショートホール,ショートホール
6,難易度1位/9ホール中 平均スコア5.87 平均パット数1.95 パーオン率3.5% フェアウェイ率43.5% OB率39.0% バンカー率12.5%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.95 パーオン率3.5% フェアウェイ率43.5% OB率39.0% バンカー率12.5%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.95 パーオン率3.5% フェアウェイ率43.5% OB率39.0% バンカー率12.5%,難易度5位/9ホール中 平均スコア5.33 平均パット数1.91 パーオン率24.5% フェアウェイ率44.0% OB率45.0% バンカー率7.5%,難易度5位/9ホール中 平均スコア5.33 平均パット数1.91 パーオン率24.5% フェアウェイ率44.0% OB率45.0% バンカー率7.5%,難易度5位/9ホール中 平均スコア5.33 平均パット数1.91 パーオン率24.5% フェアウェイ率44.0% OB率45.0% バンカー率7.5%,難易度9位/9ホール中 平均スコア3.91 平均パット数1.97 パーオン率34.5% フェアウェイ率- OB率26.3% バンカー率12.3%,難易度9位/9ホール中 平均スコア3.91 平均パット数1.97 パーオン率34.5% フェアウェイ率- OB率26.3% バンカー率12.3%,難易度9位/9ホール中 平均スコア3.91 平均パット数1.97 パーオン率34.5% フェアウェイ率- OB率26.3% バンカー率12.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：341yd,Hdcp：7,PAR：4,Reg.：335yd,Hdcp：5,PAR：5,Reg.：513yd,Hdcp：3
9,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,やや右ドッグレッグのロングホール,やや右ドッグレッグのロングホール,やや右ドッグレッグのロングホール
10,難易度4位/9ホール中 平均スコア5.32 平均パット数1.96 パーオン率23.5% フェアウェイ率43.8% OB率36.5% バンカー率13.5%,難易度4位/9ホール中 平均スコア5.32 平均パット数1.96 パーオン率23.5% フェアウェイ率43.8% OB率36.5% バンカー率13.5%,難易度4位/9ホール中 平均スコア5.32 平均パット数1.96 パーオン率23.5% フェアウェイ率43.8% OB率36.5% バンカー率13.5%,難易度7位/9ホール中 平均スコア5.14 平均パット数1.96 パーオン率31.0% フェアウェイ率60.3% OB率12.3% バンカー率16.3%,難易度7位/9ホール中 平均スコア5.14 平均パット数1.96 パーオン率31.0% フェアウェイ率60.3% OB率12.3% バンカー率16.3%,難易度7位/9ホール中 平均スコア5.14 平均パット数1.96 パーオン率31.0% フェアウェイ率60.3% OB率12.3% バンカー率16.3%,難易度3位/9ホール中 平均スコア6.31 平均パット数2.01 パーオン率28.5% フェアウェイ率48.8% OB率35.0% バンカー率15.5%,難易度3位/9ホール中 平均スコア6.31 平均パット数2.01 パーオン率28.5% フェアウェイ率48.8% OB率35.0% バンカー率15.5%,難易度3位/9ホール中 平均スコア6.31 平均パット数2.01 パーオン率28.5% フェアウェイ率48.8% OB率35.0% バンカー率15.5%
