,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：297yd,Hdcp：10,PAR：4,Reg.：371yd,Hdcp：4,PAR：3,Reg.：181yd,Hdcp：16
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度4位/9ホール中 平均スコア5.25 平均パット数1.93 パーオン率25.0% フェアウェイ率59.3% OB率19.3% バンカー率7.0%,難易度4位/9ホール中 平均スコア5.25 平均パット数1.93 パーオン率25.0% フェアウェイ率59.3% OB率19.3% バンカー率7.0%,難易度4位/9ホール中 平均スコア5.25 平均パット数1.93 パーオン率25.0% フェアウェイ率59.3% OB率19.3% バンカー率7.0%,難易度1位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率16.8% フェアウェイ率52.5% OB率44.8% バンカー率8.5%,難易度1位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率16.8% フェアウェイ率52.5% OB率44.8% バンカー率8.5%,難易度1位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率16.8% フェアウェイ率52.5% OB率44.8% バンカー率8.5%,難易度8位/9ホール中 平均スコア4 平均パット数1.89 パーオン率23.3% フェアウェイ率- OB率16.0% バンカー率24.3%,難易度8位/9ホール中 平均スコア4 平均パット数1.89 パーオン率23.3% フェアウェイ率- OB率16.0% バンカー率24.3%,難易度8位/9ホール中 平均スコア4 平均パット数1.89 パーオン率23.3% フェアウェイ率- OB率16.0% バンカー率24.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：257yd,Hdcp：8,PAR：3,Reg.：123yd,Hdcp：14,PAR：4,Reg.：242yd,Hdcp：2
5,短いミドルホール,短いミドルホール,短いミドルホール,短いショートホール,短いショートホール,短いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度6位/9ホール中 平均スコア5.14 平均パット数1.97 パーオン率30.5% フェアウェイ率58.5% OB率28.5% バンカー率10.5%,難易度6位/9ホール中 平均スコア5.14 平均パット数1.97 パーオン率30.5% フェアウェイ率58.5% OB率28.5% バンカー率10.5%,難易度6位/9ホール中 平均スコア5.14 平均パット数1.97 パーオン率30.5% フェアウェイ率58.5% OB率28.5% バンカー率10.5%,難易度9位/9ホール中 平均スコア3.93 平均パット数1.87 パーオン率23.5% フェアウェイ率- OB率12.0% バンカー率1.7%,難易度9位/9ホール中 平均スコア3.93 平均パット数1.87 パーオン率23.5% フェアウェイ率- OB率12.0% バンカー率1.7%,難易度9位/9ホール中 平均スコア3.93 平均パット数1.87 パーオン率23.5% フェアウェイ率- OB率12.0% バンカー率1.7%,難易度7位/9ホール中 平均スコア5.12 平均パット数1.89 パーオン率21.0% フェアウェイ率61.8% OB率12.7% バンカー率8.8%,難易度7位/9ホール中 平均スコア5.12 平均パット数1.89 パーオン率21.0% フェアウェイ率61.8% OB率12.7% バンカー率8.8%,難易度7位/9ホール中 平均スコア5.12 平均パット数1.89 パーオン率21.0% フェアウェイ率61.8% OB率12.7% バンカー率8.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：279yd,Hdcp：18,PAR：4,Reg.：307yd,Hdcp：12,PAR：5,Reg.：394yd,Hdcp：6
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度5位/9ホール中 平均スコア5.19 平均パット数1.89 パーオン率22.0% フェアウェイ率61.3% OB率8.8% バンカー率11.0%,難易度5位/9ホール中 平均スコア5.19 平均パット数1.89 パーオン率22.0% フェアウェイ率61.3% OB率8.8% バンカー率11.0%,難易度5位/9ホール中 平均スコア5.19 平均パット数1.89 パーオン率22.0% フェアウェイ率61.3% OB率8.8% バンカー率11.0%,難易度3位/9ホール中 平均スコア5.29 平均パット数2.06 パーオン率30.3% フェアウェイ率63.5% OB率37.8% バンカー率11.8%,難易度3位/9ホール中 平均スコア5.29 平均パット数2.06 パーオン率30.3% フェアウェイ率63.5% OB率37.8% バンカー率11.8%,難易度3位/9ホール中 平均スコア5.29 平均パット数2.06 パーオン率30.3% フェアウェイ率63.5% OB率37.8% バンカー率11.8%,難易度2位/9ホール中 平均スコア6.37 平均パット数1.83 パーオン率24.0% フェアウェイ率50.3% OB率51.8% バンカー率6.5%,難易度2位/9ホール中 平均スコア6.37 平均パット数1.83 パーオン率24.0% フェアウェイ率50.3% OB率51.8% バンカー率6.5%,難易度2位/9ホール中 平均スコア6.37 平均パット数1.83 パーオン率24.0% フェアウェイ率50.3% OB率51.8% バンカー率6.5%
