,山吹,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,5D,3N,5,4,3,4,3N,35
1,A01_BackT.,363,398,566,185,410,342,155,423,171,3013
2,A02_Reg.,350,375,547,171,390,327,139,415,161,2875
3,A03_Gold,336,360,449,150,375,314,123,404,152,2663
4,A04_Ladies,249,291,449,150,365,311,123,262,120,2320
5,B01_BackT.,340,367,537,165,364,329,163,404,167,2836
6,B02_Reg.,327,344,518,151,344,314,147,396,157,2698
7,B03_Gold,313,329,420,130,329,301,131,385,148,2486
8,B04_Ladies,226,260,420,130,319,298,131,243,113,2140
9,Hdcp,8,5,2,7,1,4,9,3,6,­
