,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：561yd,Hdcp：,PAR：4,Reg.：327yd,Hdcp：,PAR：3,Reg.：155yd,Hdcp：
1,フェアウェイ右サイド狙い,フェアウェイ右サイド狙い,フェアウェイ右サイド狙い,右に池があるのでセンター左サイドが狙い,右に池があるのでセンター左サイドが狙い,右に池があるのでセンター左サイドが狙い,打ち上げで距離感が難しい　番手に注意,打ち上げで距離感が難しい　番手に注意,打ち上げで距離感が難しい　番手に注意
2,難易度1位/18ホール中 平均スコア6.79 平均パット数1.98 パーオン率12.3% フェアウェイ率55.3% OB率34.0% バンカー率24.3%,難易度1位/18ホール中 平均スコア6.79 平均パット数1.98 パーオン率12.3% フェアウェイ率55.3% OB率34.0% バンカー率24.3%,難易度1位/18ホール中 平均スコア6.79 平均パット数1.98 パーオン率12.3% フェアウェイ率55.3% OB率34.0% バンカー率24.3%,難易度8位/18ホール中 平均スコア5.26 平均パット数2.01 パーオン率26.8% フェアウェイ率50.0% OB率19.7% バンカー率13.8%,難易度8位/18ホール中 平均スコア5.26 平均パット数2.01 パーオン率26.8% フェアウェイ率50.0% OB率19.7% バンカー率13.8%,難易度8位/18ホール中 平均スコア5.26 平均パット数2.01 パーオン率26.8% フェアウェイ率50.0% OB率19.7% バンカー率13.8%,難易度14位/18ホール中 平均スコア4.01 平均パット数1.98 パーオン率27.0% フェアウェイ率- OB率5.0% バンカー率34.3%,難易度14位/18ホール中 平均スコア4.01 平均パット数1.98 パーオン率27.0% フェアウェイ率- OB率5.0% バンカー率34.3%,難易度14位/18ホール中 平均スコア4.01 平均パット数1.98 パーオン率27.0% フェアウェイ率- OB率5.0% バンカー率34.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：424yd,Hdcp：,PAR：4,Reg.：334yd,Hdcp：,PAR：4,Reg.：349yd,Hdcp：
5,ロングヒッターは山すその狙って見るのもおもしろい,ロングヒッターは山すその狙って見るのもおもしろい,ロングヒッターは山すその狙って見るのもおもしろい,右側は飛びすぎると谷底になっているので注意！,右側は飛びすぎると谷底になっているので注意！,右側は飛びすぎると谷底になっているので注意！,フェアウェイ左サイド狙い,フェアウェイ左サイド狙い,フェアウェイ左サイド狙い
6,難易度3位/18ホール中 平均スコア5.7 平均パット数2.01 パーオン率8.3% フェアウェイ率50.3% OB率27.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.7 平均パット数2.01 パーオン率8.3% フェアウェイ率50.3% OB率27.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.7 平均パット数2.01 パーオン率8.3% フェアウェイ率50.3% OB率27.5% バンカー率21.3%,難易度12位/18ホール中 平均スコア5.05 平均パット数2 パーオン率32.5% フェアウェイ率65.3% OB率13.3% バンカー率16.8%,難易度12位/18ホール中 平均スコア5.05 平均パット数2 パーオン率32.5% フェアウェイ率65.3% OB率13.3% バンカー率16.8%,難易度12位/18ホール中 平均スコア5.05 平均パット数2 パーオン率32.5% フェアウェイ率65.3% OB率13.3% バンカー率16.8%,難易度16位/18ホール中 平均スコア4.99 平均パット数1.97 パーオン率34.0% フェアウェイ率71.0% OB率18.5% バンカー率11.8%,難易度16位/18ホール中 平均スコア4.99 平均パット数1.97 パーオン率34.0% フェアウェイ率71.0% OB率18.5% バンカー率11.8%,難易度16位/18ホール中 平均スコア4.99 平均パット数1.97 パーオン率34.0% フェアウェイ率71.0% OB率18.5% バンカー率11.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：164yd,Hdcp：,PAR：4,Reg.：465yd,Hdcp：,PAR：5,Reg.：483yd,Hdcp：
9,グリーンセンターやや右サイド狙い,グリーンセンターやや右サイド狙い,グリーンセンターやや右サイド狙い,中心から右サイドが狙い,中心から右サイドが狙い,中心から右サイドが狙い,フェアウェイセンターから左サイド狙い,フェアウェイセンターから左サイド狙い,フェアウェイセンターから左サイド狙い
10,難易度15位/18ホール中 平均スコア3.97 平均パット数1.98 パーオン率28.5% フェアウェイ率- OB率5.3% バンカー率24.5%,難易度15位/18ホール中 平均スコア3.97 平均パット数1.98 パーオン率28.5% フェアウェイ率- OB率5.3% バンカー率24.5%,難易度15位/18ホール中 平均スコア3.97 平均パット数1.98 パーオン率28.5% フェアウェイ率- OB率5.3% バンカー率24.5%,難易度2位/18ホール中 平均スコア5.81 平均パット数2 パーオン率3.5% フェアウェイ率60.8% OB率26.8% バンカー率20.3%,難易度2位/18ホール中 平均スコア5.81 平均パット数2 パーオン率3.5% フェアウェイ率60.8% OB率26.8% バンカー率20.3%,難易度2位/18ホール中 平均スコア5.81 平均パット数2 パーオン率3.5% フェアウェイ率60.8% OB率26.8% バンカー率20.3%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.98 パーオン率25.0% フェアウェイ率58.8% OB率33.3% バンカー率14.3%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.98 パーオン率25.0% フェアウェイ率58.8% OB率33.3% バンカー率14.3%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.98 パーオン率25.0% フェアウェイ率58.8% OB率33.3% バンカー率14.3%
