,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：478yd,Hdcp：8,PAR：3,Reg.：153yd,Hdcp：9,PAR：4,Reg.：375yd,Hdcp：1
1,ストレートなロングホール,ストレートなロングホール,ストレートなロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,打ち上げのミドルホール,打ち上げのミドルホール,打ち上げのミドルホール
2,難易度3位/9ホール中 平均スコア6.43 平均パット数2.08 パーオン率28.3% フェアウェイ率37.3% OB率27.8% バンカー率29.3%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.08 パーオン率28.3% フェアウェイ率37.3% OB率27.8% バンカー率29.3%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.08 パーオン率28.3% フェアウェイ率37.3% OB率27.8% バンカー率29.3%,難易度9位/9ホール中 平均スコア4.03 平均パット数2.06 パーオン率34.0% フェアウェイ率- OB率16.7% バンカー率8.0%,難易度9位/9ホール中 平均スコア4.03 平均パット数2.06 パーオン率34.0% フェアウェイ率- OB率16.7% バンカー率8.0%,難易度9位/9ホール中 平均スコア4.03 平均パット数2.06 パーオン率34.0% フェアウェイ率- OB率16.7% バンカー率8.0%,難易度1位/9ホール中 平均スコア5.49 平均パット数2.06 パーオン率15.0% フェアウェイ率41.3% OB率6.5% バンカー率37.8%,難易度1位/9ホール中 平均スコア5.49 平均パット数2.06 パーオン率15.0% フェアウェイ率41.3% OB率6.5% バンカー率37.8%,難易度1位/9ホール中 平均スコア5.49 平均パット数2.06 パーオン率15.0% フェアウェイ率41.3% OB率6.5% バンカー率37.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：403yd,Hdcp：6,PAR：4,Reg.：346yd,Hdcp：7,PAR：4,Reg.：377yd,Hdcp：3
5,やや右ドッグレッグの緩やかな打ち下ろしのミドル,やや右ドッグレッグの緩やかな打ち下ろしのミドル,やや右ドッグレッグの緩やかな打ち下ろしのミドル,短いミドルホール,短いミドルホール,短いミドルホール,緩やかな上りのミドルホール,緩やかな上りのミドルホール,緩やかな上りのミドルホール
6,難易度4位/9ホール中 平均スコア5.36 平均パット数2.11 パーオン率20.5% フェアウェイ率48.3% OB率3.0% バンカー率23.8%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.11 パーオン率20.5% フェアウェイ率48.3% OB率3.0% バンカー率23.8%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.11 パーオン率20.5% フェアウェイ率48.3% OB率3.0% バンカー率23.8%,難易度8位/9ホール中 平均スコア5.1 平均パット数2.06 パーオン率31.5% フェアウェイ率52.3% OB率7.3% バンカー率33.5%,難易度8位/9ホール中 平均スコア5.1 平均パット数2.06 パーオン率31.5% フェアウェイ率52.3% OB率7.3% バンカー率33.5%,難易度8位/9ホール中 平均スコア5.1 平均パット数2.06 パーオン率31.5% フェアウェイ率52.3% OB率7.3% バンカー率33.5%,難易度5位/9ホール中 平均スコア5.41 平均パット数1.99 パーオン率13.8% フェアウェイ率45.5% OB率2.3% バンカー率50.5%,難易度5位/9ホール中 平均スコア5.41 平均パット数1.99 パーオン率13.8% フェアウェイ率45.5% OB率2.3% バンカー率50.5%,難易度5位/9ホール中 平均スコア5.41 平均パット数1.99 パーオン率13.8% フェアウェイ率45.5% OB率2.3% バンカー率50.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：183yd,Hdcp：5,PAR：5,Reg.：499yd,Hdcp：2,PAR：4,Reg.：372yd,Hdcp：4
9,距離のある縦長グリーンのショートホール,距離のある縦長グリーンのショートホール,距離のある縦長グリーンのショートホール,右ドッグレッグの距離のあるロングホール,右ドッグレッグの距離のあるロングホール,右ドッグレッグの距離のあるロングホール,比較的距離のある池越えのミドルホール,比較的距離のある池越えのミドルホール,比較的距離のある池越えのミドルホール
10,難易度7位/9ホール中 平均スコア4.23 平均パット数2.03 パーオン率14.5% フェアウェイ率- OB率2.0% バンカー率40.8%,難易度7位/9ホール中 平均スコア4.23 平均パット数2.03 パーオン率14.5% フェアウェイ率- OB率2.0% バンカー率40.8%,難易度7位/9ホール中 平均スコア4.23 平均パット数2.03 パーオン率14.5% フェアウェイ率- OB率2.0% バンカー率40.8%,難易度6位/9ホール中 平均スコア6.33 平均パット数2.04 パーオン率28.5% フェアウェイ率39.5% OB率29.5% バンカー率33.8%,難易度6位/9ホール中 平均スコア6.33 平均パット数2.04 パーオン率28.5% フェアウェイ率39.5% OB率29.5% バンカー率33.8%,難易度6位/9ホール中 平均スコア6.33 平均パット数2.04 パーオン率28.5% フェアウェイ率39.5% OB率29.5% バンカー率33.8%,難易度2位/9ホール中 平均スコア5.47 平均パット数1.99 パーオン率13.3% フェアウェイ率45.0% OB率27.5% バンカー率27.0%,難易度2位/9ホール中 平均スコア5.47 平均パット数1.99 パーオン率13.3% フェアウェイ率45.0% OB率27.5% バンカー率27.0%,難易度2位/9ホール中 平均スコア5.47 平均パット数1.99 パーオン率13.3% フェアウェイ率45.0% OB率27.5% バンカー率27.0%
