,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：384yd,Hdcp：4,PAR：4,Reg.：325yd,Hdcp：10,PAR：4,Reg.：375yd,Hdcp：14
1,30ヤードの豪快な打ち下ろしのミドルホール,30ヤードの豪快な打ち下ろしのミドルホール,30ヤードの豪快な打ち下ろしのミドルホール,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,少し打ち上げの真っ直ぐなミドルホール,少し打ち上げの真っ直ぐなミドルホール,少し打ち上げの真っ直ぐなミドルホール
2,難易度3位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率19.5% フェアウェイ率43.0% OB率65.0% バンカー率1.0%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率19.5% フェアウェイ率43.0% OB率65.0% バンカー率1.0%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率19.5% フェアウェイ率43.0% OB率65.0% バンカー率1.0%,難易度12位/18ホール中 平均スコア5.16 平均パット数2 パーオン率30.8% フェアウェイ率52.3% OB率39.0% バンカー率16.5%,難易度12位/18ホール中 平均スコア5.16 平均パット数2 パーオン率30.8% フェアウェイ率52.3% OB率39.0% バンカー率16.5%,難易度12位/18ホール中 平均スコア5.16 平均パット数2 パーオン率30.8% フェアウェイ率52.3% OB率39.0% バンカー率16.5%,難易度8位/18ホール中 平均スコア5.38 平均パット数1.95 パーオン率18.5% フェアウェイ率54.5% OB率41.8% バンカー率7.7%,難易度8位/18ホール中 平均スコア5.38 平均パット数1.95 パーオン率18.5% フェアウェイ率54.5% OB率41.8% バンカー率7.7%,難易度8位/18ホール中 平均スコア5.38 平均パット数1.95 パーオン率18.5% フェアウェイ率54.5% OB率41.8% バンカー率7.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：113yd,Hdcp：18,PAR：4,Reg.：363yd,Hdcp：12,PAR：5,Reg.：491yd,Hdcp：2
5,短いショートホール,短いショートホール,短いショートホール,打ち下ろしの左ドッグレッグホール,打ち下ろしの左ドッグレッグホール,打ち下ろしの左ドッグレッグホール,名物のスネークホール,名物のスネークホール,名物のスネークホール
6,難易度16位/18ホール中 平均スコア3.88 平均パット数1.87 パーオン率30.3% フェアウェイ率- OB率12.3% バンカー率23.5%,難易度16位/18ホール中 平均スコア3.88 平均パット数1.87 パーオン率30.3% フェアウェイ率- OB率12.3% バンカー率23.5%,難易度16位/18ホール中 平均スコア3.88 平均パット数1.87 パーオン率30.3% フェアウェイ率- OB率12.3% バンカー率23.5%,難易度7位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率31.5% フェアウェイ率54.0% OB率56.0% バンカー率10.3%,難易度7位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率31.5% フェアウェイ率54.0% OB率56.0% バンカー率10.3%,難易度7位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率31.5% フェアウェイ率54.0% OB率56.0% バンカー率10.3%,難易度2位/18ホール中 平均スコア6.52 平均パット数2.02 パーオン率24.5% フェアウェイ率50.3% OB率54.5% バンカー率3.0%,難易度2位/18ホール中 平均スコア6.52 平均パット数2.02 パーオン率24.5% フェアウェイ率50.3% OB率54.5% バンカー率3.0%,難易度2位/18ホール中 平均スコア6.52 平均パット数2.02 パーオン率24.5% フェアウェイ率50.3% OB率54.5% バンカー率3.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：381yd,Hdcp：8,PAR：3,Reg.：124yd,Hdcp：16,PAR：5,Reg.：512yd,Hdcp：6
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,打ち下ろしで池越えのショートホール,打ち下ろしで池越えのショートホール,打ち下ろしで池越えのショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度4位/18ホール中 平均スコア5.54 平均パット数1.93 パーオン率14.3% フェアウェイ率55.3% OB率59.0% バンカー率9.0%,難易度4位/18ホール中 平均スコア5.54 平均パット数1.93 パーオン率14.3% フェアウェイ率55.3% OB率59.0% バンカー率9.0%,難易度4位/18ホール中 平均スコア5.54 平均パット数1.93 パーオン率14.3% フェアウェイ率55.3% OB率59.0% バンカー率9.0%,難易度18位/18ホール中 平均スコア3.74 平均パット数1.93 パーオン率42.8% フェアウェイ率- OB率9.5% バンカー率1.5%,難易度18位/18ホール中 平均スコア3.74 平均パット数1.93 パーオン率42.8% フェアウェイ率- OB率9.5% バンカー率1.5%,難易度18位/18ホール中 平均スコア3.74 平均パット数1.93 パーオン率42.8% フェアウェイ率- OB率9.5% バンカー率1.5%,難易度6位/18ホール中 平均スコア6.44 平均パット数1.99 パーオン率26.3% フェアウェイ率59.0% OB率57.3% バンカー率4.3%,難易度6位/18ホール中 平均スコア6.44 平均パット数1.99 パーオン率26.3% フェアウェイ率59.0% OB率57.3% バンカー率4.3%,難易度6位/18ホール中 平均スコア6.44 平均パット数1.99 パーオン率26.3% フェアウェイ率59.0% OB率57.3% バンカー率4.3%
