,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：359yd,Hdcp：5,PAR：4,Reg.：347yd,Hdcp：13,PAR：5,Reg.：500yd,Hdcp：9
1,打ち上げのミドルホール,打ち上げのミドルホール,打ち上げのミドルホール,左ドッグレッグのトリッキーなミドルホール,左ドッグレッグのトリッキーなミドルホール,左ドッグレッグのトリッキーなミドルホール,ティーショットで右はOB　左手前もOB,ティーショットで右はOB　左手前もOB,ティーショットで右はOB　左手前もOB
2,難易度6位/18ホール中 平均スコア5.45 平均パット数1.98 パーオン率17.5% フェアウェイ率52.8% OB率33.5% バンカー率15.8%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.98 パーオン率17.5% フェアウェイ率52.8% OB率33.5% バンカー率15.8%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.98 パーオン率17.5% フェアウェイ率52.8% OB率33.5% バンカー率15.8%,難易度1位/18ホール中 平均スコア5.74 平均パット数2.12 パーオン率14.8% フェアウェイ率50.8% OB率53.5% バンカー率9.0%,難易度1位/18ホール中 平均スコア5.74 平均パット数2.12 パーオン率14.8% フェアウェイ率50.8% OB率53.5% バンカー率9.0%,難易度1位/18ホール中 平均スコア5.74 平均パット数2.12 パーオン率14.8% フェアウェイ率50.8% OB率53.5% バンカー率9.0%,難易度3位/18ホール中 平均スコア6.52 平均パット数2 パーオン率25.3% フェアウェイ率59.8% OB率40.0% バンカー率22.8%,難易度3位/18ホール中 平均スコア6.52 平均パット数2 パーオン率25.3% フェアウェイ率59.8% OB率40.0% バンカー率22.8%,難易度3位/18ホール中 平均スコア6.52 平均パット数2 パーオン率25.3% フェアウェイ率59.8% OB率40.0% バンカー率22.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：443yd,Hdcp：3,PAR：3,Reg.：178yd,Hdcp：17,PAR：4,Reg.：365yd,Hdcp：15
5,アウトで最も長い左ドッグレッグのミドルホール,アウトで最も長い左ドッグレッグのミドルホール,アウトで最も長い左ドッグレッグのミドルホール,メイングリーン面はティーより約5m上がっている,メイングリーン面はティーより約5m上がっている,メイングリーン面はティーより約5m上がっている,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール
6,難易度11位/18ホール中 平均スコア5.31 平均パット数1.99 パーオン率17.8% フェアウェイ率65.5% OB率14.5% バンカー率15.0%,難易度11位/18ホール中 平均スコア5.31 平均パット数1.99 パーオン率17.8% フェアウェイ率65.5% OB率14.5% バンカー率15.0%,難易度11位/18ホール中 平均スコア5.31 平均パット数1.99 パーオン率17.8% フェアウェイ率65.5% OB率14.5% バンカー率15.0%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.94 パーオン率18.3% フェアウェイ率- OB率3.7% バンカー率53.0%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.94 パーオン率18.3% フェアウェイ率- OB率3.7% バンカー率53.0%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.94 パーオン率18.3% フェアウェイ率- OB率3.7% バンカー率53.0%,難易度13位/18ホール中 平均スコア5.14 平均パット数1.99 パーオン率29.0% フェアウェイ率67.3% OB率7.0% バンカー率34.5%,難易度13位/18ホール中 平均スコア5.14 平均パット数1.99 パーオン率29.0% フェアウェイ率67.3% OB率7.0% バンカー率34.5%,難易度13位/18ホール中 平均スコア5.14 平均パット数1.99 パーオン率29.0% フェアウェイ率67.3% OB率7.0% バンカー率34.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：549yd,Hdcp：1,PAR：3,Reg.：167yd,Hdcp：11,PAR：4,Reg.：395yd,Hdcp：7
9,ハンディキャップ1のロングホール,ハンディキャップ1のロングホール,ハンディキャップ1のロングホール,グリーン面はティーより約4m下がっている,グリーン面はティーより約4m下がっている,グリーン面はティーより約4m下がっている,ティーショットの狙いはバンカー右サイド方向,ティーショットの狙いはバンカー右サイド方向,ティーショットの狙いはバンカー右サイド方向
10,難易度2位/18ホール中 平均スコア6.55 平均パット数1.93 パーオン率20.8% フェアウェイ率55.0% OB率48.8% バンカー率18.3%,難易度2位/18ホール中 平均スコア6.55 平均パット数1.93 パーオン率20.8% フェアウェイ率55.0% OB率48.8% バンカー率18.3%,難易度2位/18ホール中 平均スコア6.55 平均パット数1.93 パーオン率20.8% フェアウェイ率55.0% OB率48.8% バンカー率18.3%,難易度17位/18ホール中 平均スコア4.09 平均パット数1.97 パーオン率23.5% フェアウェイ率- OB率27.8% バンカー率28.5%,難易度17位/18ホール中 平均スコア4.09 平均パット数1.97 パーオン率23.5% フェアウェイ率- OB率27.8% バンカー率28.5%,難易度17位/18ホール中 平均スコア4.09 平均パット数1.97 パーオン率23.5% フェアウェイ率- OB率27.8% バンカー率28.5%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.98 パーオン率18.0% フェアウェイ率50.5% OB率11.8% バンカー率34.3%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.98 パーオン率18.0% フェアウェイ率50.5% OB率11.8% バンカー率34.3%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.98 パーオン率18.0% フェアウェイ率50.5% OB率11.8% バンカー率34.3%
