,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：467yd,Hdcp：5,PAR：3,Reg.：161yd,Hdcp：8,PAR：4,Reg.：361yd,Hdcp：2
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度4位/9ホール中 平均スコア6.22 平均パット数1.99 パーオン率28.8% フェアウェイ率58.5% OB率13.0% バンカー率6.3%,難易度4位/9ホール中 平均スコア6.22 平均パット数1.99 パーオン率28.8% フェアウェイ率58.5% OB率13.0% バンカー率6.3%,難易度4位/9ホール中 平均スコア6.22 平均パット数1.99 パーオン率28.8% フェアウェイ率58.5% OB率13.0% バンカー率6.3%,難易度7位/9ホール中 平均スコア3.93 平均パット数1.92 パーオン率26.0% フェアウェイ率- OB率15.8% バンカー率3.0%,難易度7位/9ホール中 平均スコア3.93 平均パット数1.92 パーオン率26.0% フェアウェイ率- OB率15.8% バンカー率3.0%,難易度7位/9ホール中 平均スコア3.93 平均パット数1.92 パーオン率26.0% フェアウェイ率- OB率15.8% バンカー率3.0%,難易度3位/9ホール中 平均スコア5.34 平均パット数2.15 パーオン率25.0% フェアウェイ率69.5% OB率23.8% バンカー率7.5%,難易度3位/9ホール中 平均スコア5.34 平均パット数2.15 パーオン率25.0% フェアウェイ率69.5% OB率23.8% バンカー率7.5%,難易度3位/9ホール中 平均スコア5.34 平均パット数2.15 パーオン率25.0% フェアウェイ率69.5% OB率23.8% バンカー率7.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：403yd,Hdcp：1,PAR：4,Reg.：356yd,Hdcp：4,PAR：4,Reg.：271yd,Hdcp：7
5,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度1位/9ホール中 平均スコア5.87 平均パット数1.98 パーオン率7.5% フェアウェイ率45.0% OB率49.3% バンカー率4.8%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.98 パーオン率7.5% フェアウェイ率45.0% OB率49.3% バンカー率4.8%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.98 パーオン率7.5% フェアウェイ率45.0% OB率49.3% バンカー率4.8%,難易度5位/9ホール中 平均スコア5.25 平均パット数1.97 パーオン率20.0% フェアウェイ率50.5% OB率17.0% バンカー率8.0%,難易度5位/9ホール中 平均スコア5.25 平均パット数1.97 パーオン率20.0% フェアウェイ率50.5% OB率17.0% バンカー率8.0%,難易度5位/9ホール中 平均スコア5.25 平均パット数1.97 パーオン率20.0% フェアウェイ率50.5% OB率17.0% バンカー率8.0%,難易度9位/9ホール中 平均スコア4.86 平均パット数2.03 パーオン率43.8% フェアウェイ率54.5% OB率7.7% バンカー率31.5%,難易度9位/9ホール中 平均スコア4.86 平均パット数2.03 パーオン率43.8% フェアウェイ率54.5% OB率7.7% バンカー率31.5%,難易度9位/9ホール中 平均スコア4.86 平均パット数2.03 パーオン率43.8% フェアウェイ率54.5% OB率7.7% バンカー率31.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：366yd,Hdcp：3,PAR：3,Reg.：166yd,Hdcp：6,PAR：5,Reg.：469yd,Hdcp：9
9,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度2位/9ホール中 平均スコア5.48 平均パット数2.01 パーオン率14.5% フェアウェイ率45.8% OB率9.3% バンカー率18.5%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.01 パーオン率14.5% フェアウェイ率45.8% OB率9.3% バンカー率18.5%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.01 パーオン率14.5% フェアウェイ率45.8% OB率9.3% バンカー率18.5%,難易度6位/9ホール中 平均スコア3.96 平均パット数1.96 パーオン率25.8% フェアウェイ率- OB率13.8% バンカー率17.5%,難易度6位/9ホール中 平均スコア3.96 平均パット数1.96 パーオン率25.8% フェアウェイ率- OB率13.8% バンカー率17.5%,難易度6位/9ホール中 平均スコア3.96 平均パット数1.96 パーオン率25.8% フェアウェイ率- OB率13.8% バンカー率17.5%,難易度8位/9ホール中 平均スコア5.81 平均パット数2.06 パーオン率47.8% フェアウェイ率62.3% OB率22.3% バンカー率11.0%,難易度8位/9ホール中 平均スコア5.81 平均パット数2.06 パーオン率47.8% フェアウェイ率62.3% OB率22.3% バンカー率11.0%,難易度8位/9ホール中 平均スコア5.81 平均パット数2.06 パーオン率47.8% フェアウェイ率62.3% OB率22.3% バンカー率11.0%
