,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：486yd,Hdcp：2,PAR：4,Reg.：323yd,Hdcp：4,PAR：3,Reg.：154yd,Hdcp：8
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
2,難易度3位/9ホール中 平均スコア6.43 平均パット数2.13 パーオン率26.3% フェアウェイ率46.8% OB率5.3% バンカー率12.8%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.13 パーオン率26.3% フェアウェイ率46.8% OB率5.3% バンカー率12.8%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.13 パーオン率26.3% フェアウェイ率46.8% OB率5.3% バンカー率12.8%,難易度5位/9ホール中 平均スコア5.23 平均パット数2.1 パーオン率27.0% フェアウェイ率50.5% OB率4.8% バンカー率22.5%,難易度5位/9ホール中 平均スコア5.23 平均パット数2.1 パーオン率27.0% フェアウェイ率50.5% OB率4.8% バンカー率22.5%,難易度5位/9ホール中 平均スコア5.23 平均パット数2.1 パーオン率27.0% フェアウェイ率50.5% OB率4.8% バンカー率22.5%,難易度9位/9ホール中 平均スコア3.91 平均パット数2 パーオン率29.0% フェアウェイ率- OB率2.0% バンカー率15.8%,難易度9位/9ホール中 平均スコア3.91 平均パット数2 パーオン率29.0% フェアウェイ率- OB率2.0% バンカー率15.8%,難易度9位/9ホール中 平均スコア3.91 平均パット数2 パーオン率29.0% フェアウェイ率- OB率2.0% バンカー率15.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：334yd,Hdcp：6,PAR：4,Reg.：396yd,Hdcp：1,PAR：3,Reg.：163yd,Hdcp：7
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,ショートホール,ショートホール,ショートホール
6,難易度4位/9ホール中 平均スコア5.24 平均パット数2.03 パーオン率22.3% フェアウェイ率45.3% OB率4.0% バンカー率27.5%,難易度4位/9ホール中 平均スコア5.24 平均パット数2.03 パーオン率22.3% フェアウェイ率45.3% OB率4.0% バンカー率27.5%,難易度4位/9ホール中 平均スコア5.24 平均パット数2.03 パーオン率22.3% フェアウェイ率45.3% OB率4.0% バンカー率27.5%,難易度1位/9ホール中 平均スコア5.68 平均パット数2.05 パーオン率7.3% フェアウェイ率53.5% OB率26.3% バンカー率14.3%,難易度1位/9ホール中 平均スコア5.68 平均パット数2.05 パーオン率7.3% フェアウェイ率53.5% OB率26.3% バンカー率14.3%,難易度1位/9ホール中 平均スコア5.68 平均パット数2.05 パーオン率7.3% フェアウェイ率53.5% OB率26.3% バンカー率14.3%,難易度8位/9ホール中 平均スコア4.01 平均パット数2.09 パーオン率27.0% フェアウェイ率- OB率8.0% バンカー率1.7%,難易度8位/9ホール中 平均スコア4.01 平均パット数2.09 パーオン率27.0% フェアウェイ率- OB率8.0% バンカー率1.7%,難易度8位/9ホール中 平均スコア4.01 平均パット数2.09 パーオン率27.0% フェアウェイ率- OB率8.0% バンカー率1.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：288yd,Hdcp：9,PAR：4,Reg.：370yd,Hdcp：5,PAR：5,Reg.：470yd,Hdcp：3
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐな長いミドルホール,真っ直ぐな長いミドルホール,真っ直ぐな長いミドルホール
10,難易度6位/9ホール中 平均スコア5.17 平均パット数2.02 パーオン率29.0% フェアウェイ率62.5% OB率12.5% バンカー率8.3%,難易度6位/9ホール中 平均スコア5.17 平均パット数2.02 パーオン率29.0% フェアウェイ率62.5% OB率12.5% バンカー率8.3%,難易度6位/9ホール中 平均スコア5.17 平均パット数2.02 パーオン率29.0% フェアウェイ率62.5% OB率12.5% バンカー率8.3%,難易度2位/9ホール中 平均スコア5.56 平均パット数2.05 パーオン率11.3% フェアウェイ率63.5% OB率27.8% バンカー率5.5%,難易度2位/9ホール中 平均スコア5.56 平均パット数2.05 パーオン率11.3% フェアウェイ率63.5% OB率27.8% バンカー率5.5%,難易度2位/9ホール中 平均スコア5.56 平均パット数2.05 パーオン率11.3% フェアウェイ率63.5% OB率27.8% バンカー率5.5%,難易度7位/9ホール中 平均スコア6.11 平均パット数2.03 パーオン率34.8% フェアウェイ率60.3% OB率27.3% バンカー率3.8%,難易度7位/9ホール中 平均スコア6.11 平均パット数2.03 パーオン率34.8% フェアウェイ率60.3% OB率27.3% バンカー率3.8%,難易度7位/9ホール中 平均スコア6.11 平均パット数2.03 パーオン率34.8% フェアウェイ率60.3% OB率27.3% バンカー率3.8%
