,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：366yd,Hdcp：9,PAR：3,Reg.：180yd,Hdcp：13,PAR：5,Reg.：544yd,Hdcp：3
1,豪快な打ち下ろしのミドルホール,豪快な打ち下ろしのミドルホール,豪快な打ち下ろしのミドルホール,広々としたフラットなショートホール,広々としたフラットなショートホール,広々としたフラットなショートホール,幅の広いストレートなロングホール,幅の広いストレートなロングホール,幅の広いストレートなロングホール
2,難易度3位/18ホール中 平均スコア5.59 平均パット数1.96 パーオン率10.8% フェアウェイ率45.3% OB率13.5% バンカー率28.8%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.96 パーオン率10.8% フェアウェイ率45.3% OB率13.5% バンカー率28.8%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.96 パーオン率10.8% フェアウェイ率45.3% OB率13.5% バンカー率28.8%,難易度15位/18ホール中 平均スコア4.18 平均パット数2.04 パーオン率21.3% フェアウェイ率- OB率2.3% バンカー率30.0%,難易度15位/18ホール中 平均スコア4.18 平均パット数2.04 パーオン率21.3% フェアウェイ率- OB率2.3% バンカー率30.0%,難易度15位/18ホール中 平均スコア4.18 平均パット数2.04 パーオン率21.3% フェアウェイ率- OB率2.3% バンカー率30.0%,難易度4位/18ホール中 平均スコア6.44 平均パット数1.97 パーオン率19.0% フェアウェイ率55.5% OB率12.5% バンカー率21.8%,難易度4位/18ホール中 平均スコア6.44 平均パット数1.97 パーオン率19.0% フェアウェイ率55.5% OB率12.5% バンカー率21.8%,難易度4位/18ホール中 平均スコア6.44 平均パット数1.97 パーオン率19.0% フェアウェイ率55.5% OB率12.5% バンカー率21.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：389yd,Hdcp：1,PAR：4,Reg.：364yd,Hdcp：17,PAR：5,Reg.：455yd,Hdcp：7
5,ティーショット落下地点の左右にある松がスタイミー,ティーショット落下地点の左右にある松がスタイミー,ティーショット落下地点の左右にある松がスタイミー,センターから右が広く狙い目,センターから右が広く狙い目,センターから右が広く狙い目,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度5位/18ホール中 平均スコア5.52 平均パット数1.94 パーオン率10.8% フェアウェイ率57.0% OB率8.0% バンカー率29.8%,難易度5位/18ホール中 平均スコア5.52 平均パット数1.94 パーオン率10.8% フェアウェイ率57.0% OB率8.0% バンカー率29.8%,難易度5位/18ホール中 平均スコア5.52 平均パット数1.94 パーオン率10.8% フェアウェイ率57.0% OB率8.0% バンカー率29.8%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.95 パーオン率17.5% フェアウェイ率61.8% OB率2.7% バンカー率36.0%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.95 パーオン率17.5% フェアウェイ率61.8% OB率2.7% バンカー率36.0%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.95 パーオン率17.5% フェアウェイ率61.8% OB率2.7% バンカー率36.0%,難易度10位/18ホール中 平均スコア6.37 平均パット数2.03 パーオン率23.3% フェアウェイ率53.0% OB率5.5% バンカー率43.0%,難易度10位/18ホール中 平均スコア6.37 平均パット数2.03 パーオン率23.3% フェアウェイ率53.0% OB率5.5% バンカー率43.0%,難易度10位/18ホール中 平均スコア6.37 平均パット数2.03 パーオン率23.3% フェアウェイ率53.0% OB率5.5% バンカー率43.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：119yd,Hdcp：15,PAR：4,Reg.：382yd,Hdcp：5,PAR：4,Reg.：352yd,Hdcp：11
9,やや打ち上げ池越えのショートホール,やや打ち上げ池越えのショートホール,やや打ち上げ池越えのショートホール,ホール右側に松林が迫りティーショットが入り易い,ホール右側に松林が迫りティーショットが入り易い,ホール右側に松林が迫りティーショットが入り易い,ティーショットは左からセンター狙い,ティーショットは左からセンター狙い,ティーショットは左からセンター狙い
10,難易度18位/18ホール中 平均スコア4.03 平均パット数2.26 パーオン率41.3% フェアウェイ率- OB率4.5% バンカー率10.0%,難易度18位/18ホール中 平均スコア4.03 平均パット数2.26 パーオン率41.3% フェアウェイ率- OB率4.5% バンカー率10.0%,難易度18位/18ホール中 平均スコア4.03 平均パット数2.26 パーオン率41.3% フェアウェイ率- OB率4.5% バンカー率10.0%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.03 パーオン率15.3% フェアウェイ率56.0% OB率5.0% バンカー率27.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.03 パーオン率15.3% フェアウェイ率56.0% OB率5.0% バンカー率27.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.03 パーオン率15.3% フェアウェイ率56.0% OB率5.0% バンカー率27.8%,難易度8位/18ホール中 平均スコア5.43 平均パット数2.04 パーオン率18.3% フェアウェイ率61.3% OB率4.5% バンカー率33.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数2.04 パーオン率18.3% フェアウェイ率61.3% OB率4.5% バンカー率33.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数2.04 パーオン率18.3% フェアウェイ率61.3% OB率4.5% バンカー率33.0%
