,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：450yd,Hdcp：4,PAR：4,Reg.：366yd,Hdcp：6,PAR：4,Reg.：406yd,Hdcp：10
1,ゆるやかなダウンヒルのロングホール,ゆるやかなダウンヒルのロングホール,ゆるやかなダウンヒルのロングホール,真っすぐなホールだがフェアウェイがやや狭い,真っすぐなホールだがフェアウェイがやや狭い,真っすぐなホールだがフェアウェイがやや狭い,手打ちは禁物　思い切りの良いスイングで中央狙い,手打ちは禁物　思い切りの良いスイングで中央狙い,手打ちは禁物　思い切りの良いスイングで中央狙い
2,難易度2位/18ホール中 平均スコア6.65 平均パット数2.05 パーオン率22.5% フェアウェイ率46.0% OB率44.5% バンカー率9.8%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.05 パーオン率22.5% フェアウェイ率46.0% OB率44.5% バンカー率9.8%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.05 パーオン率22.5% フェアウェイ率46.0% OB率44.5% バンカー率9.8%,難易度5位/18ホール中 平均スコア5.48 平均パット数2.14 パーオン率21.3% フェアウェイ率54.5% OB率33.3% バンカー率15.0%,難易度5位/18ホール中 平均スコア5.48 平均パット数2.14 パーオン率21.3% フェアウェイ率54.5% OB率33.3% バンカー率15.0%,難易度5位/18ホール中 平均スコア5.48 平均パット数2.14 パーオン率21.3% フェアウェイ率54.5% OB率33.3% バンカー率15.0%,難易度6位/18ホール中 平均スコア5.39 平均パット数2.02 パーオン率23.3% フェアウェイ率50.8% OB率32.3% バンカー率10.3%,難易度6位/18ホール中 平均スコア5.39 平均パット数2.02 パーオン率23.3% フェアウェイ率50.8% OB率32.3% バンカー率10.3%,難易度6位/18ホール中 平均スコア5.39 平均パット数2.02 パーオン率23.3% フェアウェイ率50.8% OB率32.3% バンカー率10.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：164yd,Hdcp：8,PAR：5,Reg.：502yd,Hdcp：2,PAR：3,Reg.：167yd,Hdcp：18
5,ティーからグリーンまでゆるいアップヒル,ティーからグリーンまでゆるいアップヒル,ティーからグリーンまでゆるいアップヒル,右ドッグレッグのタフなロングホール,右ドッグレッグのタフなロングホール,右ドッグレッグのタフなロングホール,浅い谷底にあるグリーンへの打ち下ろしのショート,浅い谷底にあるグリーンへの打ち下ろしのショート,浅い谷底にあるグリーンへの打ち下ろしのショート
6,難易度13位/18ホール中 平均スコア4.16 平均パット数2.18 パーオン率29.3% フェアウェイ率- OB率3.0% バンカー率44.7%,難易度13位/18ホール中 平均スコア4.16 平均パット数2.18 パーオン率29.3% フェアウェイ率- OB率3.0% バンカー率44.7%,難易度13位/18ホール中 平均スコア4.16 平均パット数2.18 パーオン率29.3% フェアウェイ率- OB率3.0% バンカー率44.7%,難易度1位/18ホール中 平均スコア6.62 平均パット数2.16 パーオン率17.8% フェアウェイ率42.5% OB率14.3% バンカー率29.5%,難易度1位/18ホール中 平均スコア6.62 平均パット数2.16 パーオン率17.8% フェアウェイ率42.5% OB率14.3% バンカー率29.5%,難易度1位/18ホール中 平均スコア6.62 平均パット数2.16 パーオン率17.8% フェアウェイ率42.5% OB率14.3% バンカー率29.5%,難易度14位/18ホール中 平均スコア4.16 平均パット数2.07 パーオン率19.5% フェアウェイ率- OB率23.3% バンカー率24.0%,難易度14位/18ホール中 平均スコア4.16 平均パット数2.07 パーオン率19.5% フェアウェイ率- OB率23.3% バンカー率24.0%,難易度14位/18ホール中 平均スコア4.16 平均パット数2.07 パーオン率19.5% フェアウェイ率- OB率23.3% バンカー率24.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：304yd,Hdcp：16,PAR：4,Reg.：365yd,Hdcp：12,PAR：4,Reg.：288yd,Hdcp：14
9,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール,軽度のアップヒルでティショットの落とし所が難しい,軽度のアップヒルでティショットの落とし所が難しい,軽度のアップヒルでティショットの落とし所が難しい,グリーンの左右のバンカーが花道を狭めている,グリーンの左右のバンカーが花道を狭めている,グリーンの左右のバンカーが花道を狭めている
