,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：452yd,Hdcp：,PAR：4,Reg.：363yd,Hdcp：,PAR：4,Reg.：312yd,Hdcp：
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度7位/9ホール中 平均スコア6.12 平均パット数2.03 パーオン率33.5% フェアウェイ率59.0% OB率9.0% バンカー率10.3%,難易度7位/9ホール中 平均スコア6.12 平均パット数2.03 パーオン率33.5% フェアウェイ率59.0% OB率9.0% バンカー率10.3%,難易度7位/9ホール中 平均スコア6.12 平均パット数2.03 パーオン率33.5% フェアウェイ率59.0% OB率9.0% バンカー率10.3%,難易度2位/9ホール中 平均スコア5.4 平均パット数2.04 パーオン率19.3% フェアウェイ率49.3% OB率30.5% バンカー率12.8%,難易度2位/9ホール中 平均スコア5.4 平均パット数2.04 パーオン率19.3% フェアウェイ率49.3% OB率30.5% バンカー率12.8%,難易度2位/9ホール中 平均スコア5.4 平均パット数2.04 パーオン率19.3% フェアウェイ率49.3% OB率30.5% バンカー率12.8%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率24.8% フェアウェイ率50.8% OB率30.8% バンカー率9.8%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率24.8% フェアウェイ率50.8% OB率30.8% バンカー率9.8%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率24.8% フェアウェイ率50.8% OB率30.8% バンカー率9.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：151yd,Hdcp：,PAR：5,Reg.：531yd,Hdcp：,PAR：4,Reg.：327yd,Hdcp：
5,,,,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
6,難易度9位/9ホール中 平均スコア3.95 平均パット数1.99 パーオン率30.5% フェアウェイ率- OB率12.3% バンカー率19.5%,難易度9位/9ホール中 平均スコア3.95 平均パット数1.99 パーオン率30.5% フェアウェイ率- OB率12.3% バンカー率19.5%,難易度9位/9ホール中 平均スコア3.95 平均パット数1.99 パーオン率30.5% フェアウェイ率- OB率12.3% バンカー率19.5%,難易度1位/9ホール中 平均スコア6.65 平均パット数2.03 パーオン率21.0% フェアウェイ率51.5% OB率41.0% バンカー率23.0%,難易度1位/9ホール中 平均スコア6.65 平均パット数2.03 パーオン率21.0% フェアウェイ率51.5% OB率41.0% バンカー率23.0%,難易度1位/9ホール中 平均スコア6.65 平均パット数2.03 パーオン率21.0% フェアウェイ率51.5% OB率41.0% バンカー率23.0%,難易度4位/9ホール中 平均スコア5.38 平均パット数2.12 パーオン率30.0% フェアウェイ率54.5% OB率17.3% バンカー率16.3%,難易度4位/9ホール中 平均スコア5.38 平均パット数2.12 パーオン率30.0% フェアウェイ率54.5% OB率17.3% バンカー率16.3%,難易度4位/9ホール中 平均スコア5.38 平均パット数2.12 パーオン率30.0% フェアウェイ率54.5% OB率17.3% バンカー率16.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：169yd,Hdcp：,PAR：4,Reg.：398yd,Hdcp：,PAR：4,Reg.：382yd,Hdcp：
9,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度8位/9ホール中 平均スコア4.01 平均パット数2.07 パーオン率29.3% フェアウェイ率- OB率8.3% バンカー率21.5%,難易度8位/9ホール中 平均スコア4.01 平均パット数2.07 パーオン率29.3% フェアウェイ率- OB率8.3% バンカー率21.5%,難易度8位/9ホール中 平均スコア4.01 平均パット数2.07 パーオン率29.3% フェアウェイ率- OB率8.3% バンカー率21.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.04 パーオン率15.8% フェアウェイ率51.5% OB率11.5% バンカー率9.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.04 パーオン率15.8% フェアウェイ率51.5% OB率11.5% バンカー率9.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.04 パーオン率15.8% フェアウェイ率51.5% OB率11.5% バンカー率9.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.04 パーオン率22.0% フェアウェイ率59.0% OB率10.0% バンカー率8.0%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.04 パーオン率22.0% フェアウェイ率59.0% OB率10.0% バンカー率8.0%,難易度6位/9ホール中 平均スコア5.29 平均パット数2.04 パーオン率22.0% フェアウェイ率59.0% OB率10.0% バンカー率8.0%
