,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：304yd,Hdcp：,PAR：3,Reg.：147yd,Hdcp：,PAR：5,Reg.：486yd,Hdcp：
1,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール,グリーン奥の谷に向かって打ち下ろし,グリーン奥の谷に向かって打ち下ろし,グリーン奥の谷に向かって打ち下ろし,谷越えのＳ字のロングホール,谷越えのＳ字のロングホール,谷越えのＳ字のロングホール
2,難易度5位/9ホール中 平均スコア4.99 平均パット数1.95 パーオン率31.5% フェアウェイ率56.8% OB率3.3% バンカー率5.0%,難易度5位/9ホール中 平均スコア4.99 平均パット数1.95 パーオン率31.5% フェアウェイ率56.8% OB率3.3% バンカー率5.0%,難易度5位/9ホール中 平均スコア4.99 平均パット数1.95 パーオン率31.5% フェアウェイ率56.8% OB率3.3% バンカー率5.0%,難易度8位/9ホール中 平均スコア3.93 平均パット数1.88 パーオン率21.3% フェアウェイ率- OB率2.3% バンカー率18.8%,難易度8位/9ホール中 平均スコア3.93 平均パット数1.88 パーオン率21.3% フェアウェイ率- OB率2.3% バンカー率18.8%,難易度8位/9ホール中 平均スコア3.93 平均パット数1.88 パーオン率21.3% フェアウェイ率- OB率2.3% バンカー率18.8%,難易度7位/9ホール中 平均スコア5.91 平均パット数2.02 パーオン率45.5% フェアウェイ率61.5% OB率33.3% バンカー率14.0%,難易度7位/9ホール中 平均スコア5.91 平均パット数2.02 パーオン率45.5% フェアウェイ率61.5% OB率33.3% バンカー率14.0%,難易度7位/9ホール中 平均スコア5.91 平均パット数2.02 パーオン率45.5% フェアウェイ率61.5% OB率33.3% バンカー率14.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：383yd,Hdcp：,PAR：5,Reg.：493yd,Hdcp：,PAR：4,Reg.：387yd,Hdcp：
5,谷越え右ドッグレッグのミドルホール,谷越え右ドッグレッグのミドルホール,谷越え右ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,谷越え池越えのミドルホール,谷越え池越えのミドルホール,谷越え池越えのミドルホール
6,難易度2位/9ホール中 平均スコア5.55 平均パット数1.93 パーオン率10.5% フェアウェイ率67.0% OB率36.0% バンカー率1.5%,難易度2位/9ホール中 平均スコア5.55 平均パット数1.93 パーオン率10.5% フェアウェイ率67.0% OB率36.0% バンカー率1.5%,難易度2位/9ホール中 平均スコア5.55 平均パット数1.93 パーオン率10.5% フェアウェイ率67.0% OB率36.0% バンカー率1.5%,難易度4位/9ホール中 平均スコア6.12 平均パット数2.01 パーオン率33.3% フェアウェイ率58.8% OB率4.0% バンカー率10.8%,難易度4位/9ホール中 平均スコア6.12 平均パット数2.01 パーオン率33.3% フェアウェイ率58.8% OB率4.0% バンカー率10.8%,難易度4位/9ホール中 平均スコア6.12 平均パット数2.01 パーオン率33.3% フェアウェイ率58.8% OB率4.0% バンカー率10.8%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.95 パーオン率7.8% フェアウェイ率61.8% OB率40.0% バンカー率1.7%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.95 パーオン率7.8% フェアウェイ率61.8% OB率40.0% バンカー率1.7%,難易度1位/9ホール中 平均スコア5.87 平均パット数1.95 パーオン率7.8% フェアウェイ率61.8% OB率40.0% バンカー率1.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：283yd,Hdcp：,PAR：3,Reg.：138yd,Hdcp：,PAR：4,Reg.：347yd,Hdcp：
9,短いミドルホール,短いミドルホール,短いミドルホール,距離が短く見えるが惑わされずにしっかり打つ,距離が短く見えるが惑わされずにしっかり打つ,距離が短く見えるが惑わされずにしっかり打つ,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
10,難易度6位/9ホール中 平均スコア5 平均パット数1.97 パーオン率35.0% フェアウェイ率56.3% OB率3.5% バンカー率22.3%,難易度6位/9ホール中 平均スコア5 平均パット数1.97 パーオン率35.0% フェアウェイ率56.3% OB率3.5% バンカー率22.3%,難易度6位/9ホール中 平均スコア5 平均パット数1.97 パーオン率35.0% フェアウェイ率56.3% OB率3.5% バンカー率22.3%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.9 パーオン率30.8% フェアウェイ率- OB率3.0% バンカー率9.8%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.9 パーオン率30.8% フェアウェイ率- OB率3.0% バンカー率9.8%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.9 パーオン率30.8% フェアウェイ率- OB率3.0% バンカー率9.8%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.09 パーオン率24.0% フェアウェイ率63.0% OB率4.0% バンカー率29.0%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.09 パーオン率24.0% フェアウェイ率63.0% OB率4.0% バンカー率29.0%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.09 パーオン率24.0% フェアウェイ率63.0% OB率4.0% バンカー率29.0%
