,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：493yd,Hdcp：7,PAR：4,Reg.：342yd,Hdcp：13,PAR：3,Reg.：136yd,Hdcp：17
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いショートホール,短いショートホール,短いショートホール
2,難易度9位/18ホール中 平均スコア6.33 平均パット数1.85 パーオン率25.0% フェアウェイ率56.8% OB率25.0% バンカー率32.5%,難易度9位/18ホール中 平均スコア6.33 平均パット数1.85 パーオン率25.0% フェアウェイ率56.8% OB率25.0% バンカー率32.5%,難易度9位/18ホール中 平均スコア6.33 平均パット数1.85 パーオン率25.0% フェアウェイ率56.8% OB率25.0% バンカー率32.5%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.84 パーオン率16.3% フェアウェイ率54.0% OB率19.3% バンカー率30.3%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.84 パーオン率16.3% フェアウェイ率54.0% OB率19.3% バンカー率30.3%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.84 パーオン率16.3% フェアウェイ率54.0% OB率19.3% バンカー率30.3%,難易度18位/18ホール中 平均スコア3.86 平均パット数1.81 パーオン率25.8% フェアウェイ率- OB率1.8% バンカー率33.8%,難易度18位/18ホール中 平均スコア3.86 平均パット数1.81 パーオン率25.8% フェアウェイ率- OB率1.8% バンカー率33.8%,難易度18位/18ホール中 平均スコア3.86 平均パット数1.81 パーオン率25.8% フェアウェイ率- OB率1.8% バンカー率33.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：301yd,Hdcp：15,PAR：4,Reg.：417yd,Hdcp：1,PAR：3,Reg.：176yd,Hdcp：11
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール
6,難易度16位/18ホール中 平均スコア4.98 平均パット数1.81 パーオン率26.3% フェアウェイ率52.5% OB率3.0% バンカー率30.0%,難易度16位/18ホール中 平均スコア4.98 平均パット数1.81 パーオン率26.3% フェアウェイ率52.5% OB率3.0% バンカー率30.0%,難易度16位/18ホール中 平均スコア4.98 平均パット数1.81 パーオン率26.3% フェアウェイ率52.5% OB率3.0% バンカー率30.0%,難易度5位/18ホール中 平均スコア5.61 平均パット数1.82 パーオン率6.7% フェアウェイ率48.0% OB率9.0% バンカー率36.8%,難易度5位/18ホール中 平均スコア5.61 平均パット数1.82 パーオン率6.7% フェアウェイ率48.0% OB率9.0% バンカー率36.8%,難易度5位/18ホール中 平均スコア5.61 平均パット数1.82 パーオン率6.7% フェアウェイ率48.0% OB率9.0% バンカー率36.8%,難易度13位/18ホール中 平均スコア4.14 平均パット数1.77 パーオン率12.3% フェアウェイ率- OB率21.0% バンカー率24.5%,難易度13位/18ホール中 平均スコア4.14 平均パット数1.77 パーオン率12.3% フェアウェイ率- OB率21.0% バンカー率24.5%,難易度13位/18ホール中 平均スコア4.14 平均パット数1.77 パーオン率12.3% フェアウェイ率- OB率21.0% バンカー率24.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：574yd,Hdcp：3,PAR：4,Reg.：374yd,Hdcp：9,PAR：4,Reg.：425yd,Hdcp：5
9,Ｓ字のロングホール　奥がＬ（左）グリーン,Ｓ字のロングホール　奥がＬ（左）グリーン,Ｓ字のロングホール　奥がＬ（左）グリーン,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度1位/18ホール中 平均スコア6.88 平均パット数1.88 パーオン率6.8% フェアウェイ率48.5% OB率12.0% バンカー率34.3%,難易度1位/18ホール中 平均スコア6.88 平均パット数1.88 パーオン率6.8% フェアウェイ率48.5% OB率12.0% バンカー率34.3%,難易度1位/18ホール中 平均スコア6.88 平均パット数1.88 パーオン率6.8% フェアウェイ率48.5% OB率12.0% バンカー率34.3%,難易度7位/18ホール中 平均スコア5.38 平均パット数1.88 パーオン率15.3% フェアウェイ率55.8% OB率2.7% バンカー率30.3%,難易度7位/18ホール中 平均スコア5.38 平均パット数1.88 パーオン率15.3% フェアウェイ率55.8% OB率2.7% バンカー率30.3%,難易度7位/18ホール中 平均スコア5.38 平均パット数1.88 パーオン率15.3% フェアウェイ率55.8% OB率2.7% バンカー率30.3%,難易度4位/18ホール中 平均スコア5.61 平均パット数1.86 パーオン率7.0% フェアウェイ率52.8% OB率11.8% バンカー率23.8%,難易度4位/18ホール中 平均スコア5.61 平均パット数1.86 パーオン率7.0% フェアウェイ率52.8% OB率11.8% バンカー率23.8%,難易度4位/18ホール中 平均スコア5.61 平均パット数1.86 パーオン率7.0% フェアウェイ率52.8% OB率11.8% バンカー率23.8%
