,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：377yd,Hdcp：8,PAR：3,Reg.：170yd,Hdcp：18,PAR：5,Reg.：528yd,Hdcp：4
1,打ち下ろしの真っ直ぐなミドルホール,打ち下ろしの真っ直ぐなミドルホール,打ち下ろしの真っ直ぐなミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,左右と手前がＯＢで見た目よりも狭く感じる,左右と手前がＯＢで見た目よりも狭く感じる,左右と手前がＯＢで見た目よりも狭く感じる
2,難易度10位/18ホール中 平均スコア5.3 平均パット数1.92 パーオン率14.5% フェアウェイ率40.5% OB率7.3% バンカー率31.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.92 パーオン率14.5% フェアウェイ率40.5% OB率7.3% バンカー率31.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.92 パーオン率14.5% フェアウェイ率40.5% OB率7.3% バンカー率31.0%,難易度16位/18ホール中 平均スコア4.15 平均パット数1.91 パーオン率18.5% フェアウェイ率- OB率21.8% バンカー率26.3%,難易度16位/18ホール中 平均スコア4.15 平均パット数1.91 パーオン率18.5% フェアウェイ率- OB率21.8% バンカー率26.3%,難易度16位/18ホール中 平均スコア4.15 平均パット数1.91 パーオン率18.5% フェアウェイ率- OB率21.8% バンカー率26.3%,難易度3位/18ホール中 平均スコア6.52 平均パット数1.85 パーオン率19.7% フェアウェイ率45.8% OB率25.5% バンカー率21.8%,難易度3位/18ホール中 平均スコア6.52 平均パット数1.85 パーオン率19.7% フェアウェイ率45.8% OB率25.5% バンカー率21.8%,難易度3位/18ホール中 平均スコア6.52 平均パット数1.85 パーオン率19.7% フェアウェイ率45.8% OB率25.5% バンカー率21.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：338yd,Hdcp：16,PAR：5,Reg.：526yd,Hdcp：12,PAR：4,Reg.：427yd,Hdcp：2
5,距離の短いチャンスホール,距離の短いチャンスホール,距離の短いチャンスホール,平らで真っ直ぐなロングホール,平らで真っ直ぐなロングホール,平らで真っ直ぐなロングホール,打ち下ろしの真っ直ぐな距離のあるミドルホール,打ち下ろしの真っ直ぐな距離のあるミドルホール,打ち下ろしの真っ直ぐな距離のあるミドルホール
6,難易度6位/18ホール中 平均スコア5.39 平均パット数1.93 パーオン率16.5% フェアウェイ率33.8% OB率18.3% バンカー率31.8%,難易度6位/18ホール中 平均スコア5.39 平均パット数1.93 パーオン率16.5% フェアウェイ率33.8% OB率18.3% バンカー率31.8%,難易度6位/18ホール中 平均スコア5.39 平均パット数1.93 パーオン率16.5% フェアウェイ率33.8% OB率18.3% バンカー率31.8%,難易度7位/18ホール中 平均スコア6.39 平均パット数1.92 パーオン率22.3% フェアウェイ率44.5% OB率10.5% バンカー率38.0%,難易度7位/18ホール中 平均スコア6.39 平均パット数1.92 パーオン率22.3% フェアウェイ率44.5% OB率10.5% バンカー率38.0%,難易度7位/18ホール中 平均スコア6.39 平均パット数1.92 パーオン率22.3% フェアウェイ率44.5% OB率10.5% バンカー率38.0%,難易度1位/18ホール中 平均スコア5.57 平均パット数1.89 パーオン率9.0% フェアウェイ率39.5% OB率23.8% バンカー率12.5%,難易度1位/18ホール中 平均スコア5.57 平均パット数1.89 パーオン率9.0% フェアウェイ率39.5% OB率23.8% バンカー率12.5%,難易度1位/18ホール中 平均スコア5.57 平均パット数1.89 パーオン率9.0% フェアウェイ率39.5% OB率23.8% バンカー率12.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：164yd,Hdcp：14,PAR：4,Reg.：375yd,Hdcp：6,PAR：4,Reg.：352yd,Hdcp：10
9,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,ＦＷ左側とグリーン手前に池を配したミドルホー,ＦＷ左側とグリーン手前に池を配したミドルホー,ＦＷ左側とグリーン手前に池を配したミドルホー,ティーショットが打ち上げのミドルホール,ティーショットが打ち上げのミドルホール,ティーショットが打ち上げのミドルホール
10,難易度18位/18ホール中 平均スコア4 平均パット数1.97 パーオン率25.3% フェアウェイ率- OB率12.0% バンカー率42.0%,難易度18位/18ホール中 平均スコア4 平均パット数1.97 パーオン率25.3% フェアウェイ率- OB率12.0% バンカー率42.0%,難易度18位/18ホール中 平均スコア4 平均パット数1.97 パーオン率25.3% フェアウェイ率- OB率12.0% バンカー率42.0%,難易度9位/18ホール中 平均スコア5.3 平均パット数1.94 パーオン率20.8% フェアウェイ率46.3% OB率4.0% バンカー率28.3%,難易度9位/18ホール中 平均スコア5.3 平均パット数1.94 パーオン率20.8% フェアウェイ率46.3% OB率4.0% バンカー率28.3%,難易度9位/18ホール中 平均スコア5.3 平均パット数1.94 パーオン率20.8% フェアウェイ率46.3% OB率4.0% バンカー率28.3%,難易度12位/18ホール中 平均スコア5.24 平均パット数1.89 パーオン率21.0% フェアウェイ率52.8% OB率1.0% バンカー率48.0%,難易度12位/18ホール中 平均スコア5.24 平均パット数1.89 パーオン率21.0% フェアウェイ率52.8% OB率1.0% バンカー率48.0%,難易度12位/18ホール中 平均スコア5.24 平均パット数1.89 パーオン率21.0% フェアウェイ率52.8% OB率1.0% バンカー率48.0%
