,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：411yd,Hdcp：4,PAR：4,Reg.：362yd,Hdcp：10,PAR：3,Reg.：175yd,Hdcp：16
1,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,,,
2,難易度4位/18ホール中 平均スコア5.64 平均パット数2.14 パーオン率9.0% フェアウェイ率47.3% OB率3.0% バンカー率31.3%,難易度4位/18ホール中 平均スコア5.64 平均パット数2.14 パーオン率9.0% フェアウェイ率47.3% OB率3.0% バンカー率31.3%,難易度4位/18ホール中 平均スコア5.64 平均パット数2.14 パーオン率9.0% フェアウェイ率47.3% OB率3.0% バンカー率31.3%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.04 パーオン率17.5% フェアウェイ率49.5% OB率2.0% バンカー率34.5%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.04 パーオン率17.5% フェアウェイ率49.5% OB率2.0% バンカー率34.5%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.04 パーオン率17.5% フェアウェイ率49.5% OB率2.0% バンカー率34.5%,難易度15位/18ホール中 平均スコア4.04 平均パット数2.13 パーオン率30.3% フェアウェイ率- OB率2.0% バンカー率35.0%,難易度15位/18ホール中 平均スコア4.04 平均パット数2.13 パーオン率30.3% フェアウェイ率- OB率2.0% バンカー率35.0%,難易度15位/18ホール中 平均スコア4.04 平均パット数2.13 パーオン率30.3% フェアウェイ率- OB率2.0% バンカー率35.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：499yd,Hdcp：12,PAR：4,Reg.：383yd,Hdcp：8,PAR：5,Reg.：545yd,Hdcp：2
5,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
6,難易度9位/18ホール中 平均スコア6.27 平均パット数2.06 パーオン率29.5% フェアウェイ率50.3% OB率1.3% バンカー率17.8%,難易度9位/18ホール中 平均スコア6.27 平均パット数2.06 パーオン率29.5% フェアウェイ率50.3% OB率1.3% バンカー率17.8%,難易度9位/18ホール中 平均スコア6.27 平均パット数2.06 パーオン率29.5% フェアウェイ率50.3% OB率1.3% バンカー率17.8%,難易度6位/18ホール中 平均スコア5.56 平均パット数2.15 パーオン率13.3% フェアウェイ率57.5% OB率2.0% バンカー率26.0%,難易度6位/18ホール中 平均スコア5.56 平均パット数2.15 パーオン率13.3% フェアウェイ率57.5% OB率2.0% バンカー率26.0%,難易度6位/18ホール中 平均スコア5.56 平均パット数2.15 パーオン率13.3% フェアウェイ率57.5% OB率2.0% バンカー率26.0%,難易度1位/18ホール中 平均スコア6.66 平均パット数2.16 パーオン率23.3% フェアウェイ率53.0% OB率2.7% バンカー率15.3%,難易度1位/18ホール中 平均スコア6.66 平均パット数2.16 パーオン率23.3% フェアウェイ率53.0% OB率2.7% バンカー率15.3%,難易度1位/18ホール中 平均スコア6.66 平均パット数2.16 パーオン率23.3% フェアウェイ率53.0% OB率2.7% バンカー率15.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：334yd,Hdcp：12,PAR：3,Reg.：136yd,Hdcp：18,PAR：6,Reg.：715yd,Hdcp：6
9,短いミドルホール,短いミドルホール,短いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,パー６の超ロングホール,パー６の超ロングホール,パー６の超ロングホール
10,難易度11位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率26.5% フェアウェイ率49.3% OB率14.3% バンカー率15.3%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率26.5% フェアウェイ率49.3% OB率14.3% バンカー率15.3%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.03 パーオン率26.5% フェアウェイ率49.3% OB率14.3% バンカー率15.3%,難易度17位/18ホール中 平均スコア3.9 平均パット数2.1 パーオン率48.3% フェアウェイ率- OB率5.0% バンカー率11.5%,難易度17位/18ホール中 平均スコア3.9 平均パット数2.1 パーオン率48.3% フェアウェイ率- OB率5.0% バンカー率11.5%,難易度17位/18ホール中 平均スコア3.9 平均パット数2.1 パーオン率48.3% フェアウェイ率- OB率5.0% バンカー率11.5%,難易度5位/18ホール中 平均スコア7.56 平均パット数2.04 パーオン率23.8% フェアウェイ率56.3% OB率1.5% バンカー率24.5%,難易度5位/18ホール中 平均スコア7.56 平均パット数2.04 パーオン率23.8% フェアウェイ率56.3% OB率1.5% バンカー率24.5%,難易度5位/18ホール中 平均スコア7.56 平均パット数2.04 パーオン率23.8% フェアウェイ率56.3% OB率1.5% バンカー率24.5%
