,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：460yd,Hdcp：5,PAR：4,Reg.：437yd,Hdcp：1,PAR：3,Reg.：145yd,Hdcp：11
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール
2,難易度2位/18ホール中 平均スコア6.49 平均パット数2.03 パーオン率25.3% フェアウェイ率53.5% OB率36.8% バンカー率9.8%,難易度2位/18ホール中 平均スコア6.49 平均パット数2.03 パーオン率25.3% フェアウェイ率53.5% OB率36.8% バンカー率9.8%,難易度2位/18ホール中 平均スコア6.49 平均パット数2.03 パーオン率25.3% フェアウェイ率53.5% OB率36.8% バンカー率9.8%,難易度3位/18ホール中 平均スコア5.53 平均パット数1.97 パーオン率10.0% フェアウェイ率54.0% OB率18.5% バンカー率20.5%,難易度3位/18ホール中 平均スコア5.53 平均パット数1.97 パーオン率10.0% フェアウェイ率54.0% OB率18.5% バンカー率20.5%,難易度3位/18ホール中 平均スコア5.53 平均パット数1.97 パーオン率10.0% フェアウェイ率54.0% OB率18.5% バンカー率20.5%,難易度17位/18ホール中 平均スコア3.83 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率4.3% バンカー率25.5%,難易度17位/18ホール中 平均スコア3.83 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率4.3% バンカー率25.5%,難易度17位/18ホール中 平均スコア3.83 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率4.3% バンカー率25.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：256yd,Hdcp：13,PAR：4,Reg.：276yd,Hdcp：15,PAR：3,Reg.：105yd,Hdcp：17
5,打ち上げの短いミドルホール,打ち上げの短いミドルホール,打ち上げの短いミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度14位/18ホール中 平均スコア4.97 平均パット数2.01 パーオン率37.8% フェアウェイ率58.0% OB率6.3% バンカー率24.3%,難易度14位/18ホール中 平均スコア4.97 平均パット数2.01 パーオン率37.8% フェアウェイ率58.0% OB率6.3% バンカー率24.3%,難易度14位/18ホール中 平均スコア4.97 平均パット数2.01 パーオン率37.8% フェアウェイ率58.0% OB率6.3% バンカー率24.3%,難易度15位/18ホール中 平均スコア5 平均パット数2.11 パーオン率44.8% フェアウェイ率68.8% OB率3.3% バンカー率2.0%,難易度15位/18ホール中 平均スコア5 平均パット数2.11 パーオン率44.8% フェアウェイ率68.8% OB率3.3% バンカー率2.0%,難易度15位/18ホール中 平均スコア5 平均パット数2.11 パーオン率44.8% フェアウェイ率68.8% OB率3.3% バンカー率2.0%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.07 パーオン率47.3% フェアウェイ率- OB率1.0% バンカー率9.5%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.07 パーオン率47.3% フェアウェイ率- OB率1.0% バンカー率9.5%,難易度18位/18ホール中 平均スコア3.79 平均パット数2.07 パーオン率47.3% フェアウェイ率- OB率1.0% バンカー率9.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：331yd,Hdcp：3,PAR：5,Reg.：470yd,Hdcp：7,PAR：4,Reg.：259yd,Hdcp：9
9,左右松林に囲まれフェアウェイの狭いミドルホール,左右松林に囲まれフェアウェイの狭いミドルホール,左右松林に囲まれフェアウェイの狭いミドルホール,善光寺平を一望できる打ち下ろしのロングホール,善光寺平を一望できる打ち下ろしのロングホール,善光寺平を一望できる打ち下ろしのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度8位/18ホール中 平均スコア5.41 平均パット数1.84 パーオン率14.0% フェアウェイ率56.8% OB率5.7% バンカー率2.3%,難易度8位/18ホール中 平均スコア5.41 平均パット数1.84 パーオン率14.0% フェアウェイ率56.8% OB率5.7% バンカー率2.3%,難易度8位/18ホール中 平均スコア5.41 平均パット数1.84 パーオン率14.0% フェアウェイ率56.8% OB率5.7% バンカー率2.3%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.01 パーオン率33.0% フェアウェイ率48.3% OB率31.5% バンカー率13.3%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.01 パーオン率33.0% フェアウェイ率48.3% OB率31.5% バンカー率13.3%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.01 パーオン率33.0% フェアウェイ率48.3% OB率31.5% バンカー率13.3%,難易度11位/18ホール中 平均スコア5.14 平均パット数2.1 パーオン率33.3% フェアウェイ率56.5% OB率9.0% バンカー率25.3%,難易度11位/18ホール中 平均スコア5.14 平均パット数2.1 パーオン率33.3% フェアウェイ率56.5% OB率9.0% バンカー率25.3%,難易度11位/18ホール中 平均スコア5.14 平均パット数2.1 パーオン率33.3% フェアウェイ率56.5% OB率9.0% バンカー率25.3%
