,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：396yd,Hdcp：10,PAR：4,Reg.：349yd,Hdcp：4,PAR：3,Reg.：136yd,Hdcp：16
1,緩やかな打ち下しの距離のあるミドルホール,緩やかな打ち下しの距離のあるミドルホール,緩やかな打ち下しの距離のあるミドルホール,ストレートのミドルホール,ストレートのミドルホール,ストレートのミドルホール,フラットな池越えのショートホール,フラットな池越えのショートホール,フラットな池越えのショートホール
2,難易度3位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率16.0% フェアウェイ率46.8% OB率7.7% バンカー率21.8%,難易度3位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率16.0% フェアウェイ率46.8% OB率7.7% バンカー率21.8%,難易度3位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率16.0% フェアウェイ率46.8% OB率7.7% バンカー率21.8%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.06 パーオン率28.3% フェアウェイ率54.5% OB率3.3% バンカー率40.3%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.06 パーオン率28.3% フェアウェイ率54.5% OB率3.3% バンカー率40.3%,難易度11位/18ホール中 平均スコア5.25 平均パット数2.06 パーオン率28.3% フェアウェイ率54.5% OB率3.3% バンカー率40.3%,難易度18位/18ホール中 平均スコア4.01 平均パット数2.02 パーオン率33.3% フェアウェイ率- OB率5.8% バンカー率17.8%,難易度18位/18ホール中 平均スコア4.01 平均パット数2.02 パーオン率33.3% フェアウェイ率- OB率5.8% バンカー率17.8%,難易度18位/18ホール中 平均スコア4.01 平均パット数2.02 パーオン率33.3% フェアウェイ率- OB率5.8% バンカー率17.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：471yd,Hdcp：2,PAR：4,Reg.：336yd,Hdcp：14,PAR：4,Reg.：378yd,Hdcp：8
5,フラットなロングホール,フラットなロングホール,フラットなロングホール,やや打ち上げのミドルホール,やや打ち上げのミドルホール,やや打ち上げのミドルホール,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール
6,難易度14位/18ホール中 平均スコア6.08 平均パット数2 パーオン率34.0% フェアウェイ率50.8% OB率15.0% バンカー率30.8%,難易度14位/18ホール中 平均スコア6.08 平均パット数2 パーオン率34.0% フェアウェイ率50.8% OB率15.0% バンカー率30.8%,難易度14位/18ホール中 平均スコア6.08 平均パット数2 パーオン率34.0% フェアウェイ率50.8% OB率15.0% バンカー率30.8%,難易度9位/18ホール中 平均スコア5.34 平均パット数1.99 パーオン率19.5% フェアウェイ率59.8% OB率23.0% バンカー率21.3%,難易度9位/18ホール中 平均スコア5.34 平均パット数1.99 パーオン率19.5% フェアウェイ率59.8% OB率23.0% バンカー率21.3%,難易度9位/18ホール中 平均スコア5.34 平均パット数1.99 パーオン率19.5% フェアウェイ率59.8% OB率23.0% バンカー率21.3%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率17.3% フェアウェイ率61.8% OB率8.0% バンカー率4.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率17.3% フェアウェイ率61.8% OB率8.0% バンカー率4.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率17.3% フェアウェイ率61.8% OB率8.0% バンカー率4.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：356yd,Hdcp：6,PAR：3,Reg.：173yd,Hdcp：18,PAR：5,Reg.：515yd,Hdcp：12
9,やや打ち上げのミドルホール,やや打ち上げのミドルホール,やや打ち上げのミドルホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,やや打ち下ろしのショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
10,難易度6位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率18.8% フェアウェイ率51.0% OB率7.3% バンカー率39.3%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率18.8% フェアウェイ率51.0% OB率7.3% バンカー率39.3%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率18.8% フェアウェイ率51.0% OB率7.3% バンカー率39.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.07 パーオン率28.5% フェアウェイ率- OB率4.8% バンカー率17.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.07 パーオン率28.5% フェアウェイ率- OB率4.8% バンカー率17.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.07 パーオン率28.5% フェアウェイ率- OB率4.8% バンカー率17.8%,難易度1位/18ホール中 平均スコア6.52 平均パット数2.05 パーオン率24.8% フェアウェイ率52.0% OB率24.5% バンカー率30.3%,難易度1位/18ホール中 平均スコア6.52 平均パット数2.05 パーオン率24.8% フェアウェイ率52.0% OB率24.5% バンカー率30.3%,難易度1位/18ホール中 平均スコア6.52 平均パット数2.05 パーオン率24.8% フェアウェイ率52.0% OB率24.5% バンカー率30.3%
