,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：420yd,Hdcp：4,PAR：4,Reg.：363yd,Hdcp：10,PAR：3,Reg.：133yd,Hdcp：16
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度4位/18ホール中 平均スコア5.47 平均パット数2.04 パーオン率17.8% フェアウェイ率56.0% OB率16.0% バンカー率20.8%,難易度4位/18ホール中 平均スコア5.47 平均パット数2.04 パーオン率17.8% フェアウェイ率56.0% OB率16.0% バンカー率20.8%,難易度4位/18ホール中 平均スコア5.47 平均パット数2.04 パーオン率17.8% フェアウェイ率56.0% OB率16.0% バンカー率20.8%,難易度10位/18ホール中 平均スコア5.25 平均パット数2.01 パーオン率25.5% フェアウェイ率66.0% OB率8.3% バンカー率35.8%,難易度10位/18ホール中 平均スコア5.25 平均パット数2.01 パーオン率25.5% フェアウェイ率66.0% OB率8.3% バンカー率35.8%,難易度10位/18ホール中 平均スコア5.25 平均パット数2.01 パーオン率25.5% フェアウェイ率66.0% OB率8.3% バンカー率35.8%,難易度18位/18ホール中 平均スコア3.93 平均パット数1.95 パーオン率29.3% フェアウェイ率- OB率13.7% バンカー率2.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数1.95 パーオン率29.3% フェアウェイ率- OB率13.7% バンカー率2.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数1.95 パーオン率29.3% フェアウェイ率- OB率13.7% バンカー率2.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：499yd,Hdcp：14,PAR：4,Reg.：446yd,Hdcp：2,PAR：4,Reg.：396yd,Hdcp：8
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度2位/18ホール中 平均スコア6.44 平均パット数1.98 パーオン率20.5% フェアウェイ率52.5% OB率24.8% バンカー率12.0%,難易度2位/18ホール中 平均スコア6.44 平均パット数1.98 パーオン率20.5% フェアウェイ率52.5% OB率24.8% バンカー率12.0%,難易度2位/18ホール中 平均スコア6.44 平均パット数1.98 パーオン率20.5% フェアウェイ率52.5% OB率24.8% バンカー率12.0%,難易度1位/18ホール中 平均スコア5.58 平均パット数1.94 パーオン率8.5% フェアウェイ率56.0% OB率2.8% バンカー率12.8%,難易度1位/18ホール中 平均スコア5.58 平均パット数1.94 パーオン率8.5% フェアウェイ率56.0% OB率2.8% バンカー率12.8%,難易度1位/18ホール中 平均スコア5.58 平均パット数1.94 パーオン率8.5% フェアウェイ率56.0% OB率2.8% バンカー率12.8%,難易度6位/18ホール中 平均スコア5.47 平均パット数2 パーオン率12.8% フェアウェイ率64.8% OB率2.3% バンカー率22.5%,難易度6位/18ホール中 平均スコア5.47 平均パット数2 パーオン率12.8% フェアウェイ率64.8% OB率2.3% バンカー率22.5%,難易度6位/18ホール中 平均スコア5.47 平均パット数2 パーオン率12.8% フェアウェイ率64.8% OB率2.3% バンカー率22.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：173yd,Hdcp：12,PAR：4,Reg.：402yd,Hdcp：6,PAR：5,Reg.：484yd,Hdcp：18
9,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度17位/18ホール中 平均スコア4.13 平均パット数2.02 パーオン率19.5% フェアウェイ率- OB率1.3% バンカー率26.5%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.02 パーオン率19.5% フェアウェイ率- OB率1.3% バンカー率26.5%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.02 パーオン率19.5% フェアウェイ率- OB率1.3% バンカー率26.5%,難易度13位/18ホール中 平均スコア5.22 平均パット数2.03 パーオン率22.8% フェアウェイ率67.0% OB率3.8% バンカー率12.0%,難易度13位/18ホール中 平均スコア5.22 平均パット数2.03 パーオン率22.8% フェアウェイ率67.0% OB率3.8% バンカー率12.0%,難易度13位/18ホール中 平均スコア5.22 平均パット数2.03 パーオン率22.8% フェアウェイ率67.0% OB率3.8% バンカー率12.0%,難易度12位/18ホール中 平均スコア6.18 平均パット数2.03 パーオン率30.5% フェアウェイ率60.5% OB率4.7% バンカー率19.8%,難易度12位/18ホール中 平均スコア6.18 平均パット数2.03 パーオン率30.5% フェアウェイ率60.5% OB率4.7% バンカー率19.8%,難易度12位/18ホール中 平均スコア6.18 平均パット数2.03 パーオン率30.5% フェアウェイ率60.5% OB率4.7% バンカー率19.8%
