,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：407yd,Hdcp：3,PAR：5,Reg.：502yd,Hdcp：9,PAR：3,Reg.：177yd,Hdcp：15
1,長いミドルホール,長いミドルホール,長いミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール
2,難易度1位/18ホール中 平均スコア5.79 平均パット数2.12 パーオン率11.3% フェアウェイ率62.3% OB率30.5% バンカー率50.8%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.12 パーオン率11.3% フェアウェイ率62.3% OB率30.5% バンカー率50.8%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.12 パーオン率11.3% フェアウェイ率62.3% OB率30.5% バンカー率50.8%,難易度2位/18ホール中 平均スコア6.74 平均パット数2.02 パーオン率24.0% フェアウェイ率50.8% OB率42.8% バンカー率25.5%,難易度2位/18ホール中 平均スコア6.74 平均パット数2.02 パーオン率24.0% フェアウェイ率50.8% OB率42.8% バンカー率25.5%,難易度2位/18ホール中 平均スコア6.74 平均パット数2.02 パーオン率24.0% フェアウェイ率50.8% OB率42.8% バンカー率25.5%,難易度15位/18ホール中 平均スコア3.86 平均パット数2.1 パーオン率39.0% フェアウェイ率- OB率19.3% バンカー率47.5%,難易度15位/18ホール中 平均スコア3.86 平均パット数2.1 パーオン率39.0% フェアウェイ率- OB率19.3% バンカー率47.5%,難易度15位/18ホール中 平均スコア3.86 平均パット数2.1 パーオン率39.0% フェアウェイ率- OB率19.3% バンカー率47.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：362yd,Hdcp：5,PAR：4,Reg.：349yd,Hdcp：11,PAR：4,Reg.：346yd,Hdcp：17
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
6,難易度10位/18ホール中 平均スコア5.33 平均パット数2.03 パーオン率30.0% フェアウェイ率58.5% OB率50.8% バンカー率20.7%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.03 パーオン率30.0% フェアウェイ率58.5% OB率50.8% バンカー率20.7%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.03 パーオン率30.0% フェアウェイ率58.5% OB率50.8% バンカー率20.7%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.16 パーオン率30.8% フェアウェイ率47.3% OB率59.8% バンカー率41.0%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.16 パーオン率30.8% フェアウェイ率47.3% OB率59.8% バンカー率41.0%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.16 パーオン率30.8% フェアウェイ率47.3% OB率59.8% バンカー率41.0%,難易度11位/18ホール中 平均スコア5.3 平均パット数2.09 パーオン率26.5% フェアウェイ率59.8% OB率61.3% バンカー率16.7%,難易度11位/18ホール中 平均スコア5.3 平均パット数2.09 パーオン率26.5% フェアウェイ率59.8% OB率61.3% バンカー率16.7%,難易度11位/18ホール中 平均スコア5.3 平均パット数2.09 パーオン率26.5% フェアウェイ率59.8% OB率61.3% バンカー率16.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：149yd,Hdcp：13,PAR：4,Reg.：260yd,Hdcp：1,PAR：5,Reg.：498yd,Hdcp：7
9,,,,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度13位/18ホール中 平均スコア4.01 平均パット数2.27 パーオン率40.5% フェアウェイ率- OB率9.0% バンカー率52.3%,難易度13位/18ホール中 平均スコア4.01 平均パット数2.27 パーオン率40.5% フェアウェイ率- OB率9.0% バンカー率52.3%,難易度13位/18ホール中 平均スコア4.01 平均パット数2.27 パーオン率40.5% フェアウェイ率- OB率9.0% バンカー率52.3%,難易度14位/18ホール中 平均スコア5.04 平均パット数2.18 パーオン率45.5% フェアウェイ率44.3% OB率53.0% バンカー率20.7%,難易度14位/18ホール中 平均スコア5.04 平均パット数2.18 パーオン率45.5% フェアウェイ率44.3% OB率53.0% バンカー率20.7%,難易度14位/18ホール中 平均スコア5.04 平均パット数2.18 パーオン率45.5% フェアウェイ率44.3% OB率53.0% バンカー率20.7%,難易度12位/18ホール中 平均スコア6.3 平均パット数2.11 パーオン率34.0% フェアウェイ率67.0% OB率30.0% バンカー率45.0%,難易度12位/18ホール中 平均スコア6.3 平均パット数2.11 パーオン率34.0% フェアウェイ率67.0% OB率30.0% バンカー率45.0%,難易度12位/18ホール中 平均スコア6.3 平均パット数2.11 パーオン率34.0% フェアウェイ率67.0% OB率30.0% バンカー率45.0%
