,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：512yd,Hdcp：4,PAR：4,Reg.：350yd,Hdcp：5,PAR：4,Reg.：419yd,Hdcp：1
1,フラットなロングホール,フラットなロングホール,フラットなロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
2,難易度1位/9ホール中 平均スコア6.69 平均パット数1.91 パーオン率12.5% フェアウェイ率40.5% OB率46.5% バンカー率18.3%,難易度1位/9ホール中 平均スコア6.69 平均パット数1.91 パーオン率12.5% フェアウェイ率40.5% OB率46.5% バンカー率18.3%,難易度1位/9ホール中 平均スコア6.69 平均パット数1.91 パーオン率12.5% フェアウェイ率40.5% OB率46.5% バンカー率18.3%,難易度4位/9ホール中 平均スコア5.46 平均パット数2.13 パーオン率21.3% フェアウェイ率53.0% OB率26.5% バンカー率22.3%,難易度4位/9ホール中 平均スコア5.46 平均パット数2.13 パーオン率21.3% フェアウェイ率53.0% OB率26.5% バンカー率22.3%,難易度4位/9ホール中 平均スコア5.46 平均パット数2.13 パーオン率21.3% フェアウェイ率53.0% OB率26.5% バンカー率22.3%,難易度2位/9ホール中 平均スコア5.7 平均パット数2.04 パーオン率11.3% フェアウェイ率59.5% OB率20.0% バンカー率1.0%,難易度2位/9ホール中 平均スコア5.7 平均パット数2.04 パーオン率11.3% フェアウェイ率59.5% OB率20.0% バンカー率1.0%,難易度2位/9ホール中 平均スコア5.7 平均パット数2.04 パーオン率11.3% フェアウェイ率59.5% OB率20.0% バンカー率1.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：380yd,Hdcp：3,PAR：3,Reg.：169yd,Hdcp：7,PAR：4,Reg.：386yd,Hdcp：2
5,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,長いショートホール,長いショートホール,長いショートホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度5位/9ホール中 平均スコア5.46 平均パット数2 パーオン率17.0% フェアウェイ率60.0% OB率22.8% バンカー率6.0%,難易度5位/9ホール中 平均スコア5.46 平均パット数2 パーオン率17.0% フェアウェイ率60.0% OB率22.8% バンカー率6.0%,難易度5位/9ホール中 平均スコア5.46 平均パット数2 パーオン率17.0% フェアウェイ率60.0% OB率22.8% バンカー率6.0%,難易度8位/9ホール中 平均スコア4.14 平均パット数2.01 パーオン率23.0% フェアウェイ率- OB率18.3% バンカー率11.5%,難易度8位/9ホール中 平均スコア4.14 平均パット数2.01 パーオン率23.0% フェアウェイ率- OB率18.3% バンカー率11.5%,難易度8位/9ホール中 平均スコア4.14 平均パット数2.01 パーオン率23.0% フェアウェイ率- OB率18.3% バンカー率11.5%,難易度6位/9ホール中 平均スコア5.36 平均パット数2.16 パーオン率22.0% フェアウェイ率60.0% OB率11.5% バンカー率12.0%,難易度6位/9ホール中 平均スコア5.36 平均パット数2.16 パーオン率22.0% フェアウェイ率60.0% OB率11.5% バンカー率12.0%,難易度6位/9ホール中 平均スコア5.36 平均パット数2.16 パーオン率22.0% フェアウェイ率60.0% OB率11.5% バンカー率12.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：357yd,Hdcp：9,PAR：3,Reg.：179yd,Hdcp：8,PAR：5,Reg.：501yd,Hdcp：6
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
10,難易度7位/9ホール中 平均スコア5.27 平均パット数2.02 パーオン率26.0% フェアウェイ率59.5% OB率32.8% バンカー率18.5%,難易度7位/9ホール中 平均スコア5.27 平均パット数2.02 パーオン率26.0% フェアウェイ率59.5% OB率32.8% バンカー率18.5%,難易度7位/9ホール中 平均スコア5.27 平均パット数2.02 パーオン率26.0% フェアウェイ率59.5% OB率32.8% バンカー率18.5%,難易度9位/9ホール中 平均スコア4.16 平均パット数2.03 パーオン率20.5% フェアウェイ率- OB率14.0% バンカー率30.5%,難易度9位/9ホール中 平均スコア4.16 平均パット数2.03 パーオン率20.5% フェアウェイ率- OB率14.0% バンカー率30.5%,難易度9位/9ホール中 平均スコア4.16 平均パット数2.03 パーオン率20.5% フェアウェイ率- OB率14.0% バンカー率30.5%,難易度3位/9ホール中 平均スコア6.59 平均パット数2.16 パーオン率25.5% フェアウェイ率47.8% OB率34.5% バンカー率19.3%,難易度3位/9ホール中 平均スコア6.59 平均パット数2.16 パーオン率25.5% フェアウェイ率47.8% OB率34.5% バンカー率19.3%,難易度3位/9ホール中 平均スコア6.59 平均パット数2.16 パーオン率25.5% フェアウェイ率47.8% OB率34.5% バンカー率19.3%
