,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：396yd,Hdcp：7,PAR：5,Reg.：498yd,Hdcp：4,PAR：3,Reg.：175yd,Hdcp：8
1,,,,,,,,,
2,難易度6位/9ホール中 平均スコア5.27 平均パット数1.99 パーオン率18.8% フェアウェイ率48.0% OB率9.7% バンカー率27.5%,難易度6位/9ホール中 平均スコア5.27 平均パット数1.99 パーオン率18.8% フェアウェイ率48.0% OB率9.7% バンカー率27.5%,難易度6位/9ホール中 平均スコア5.27 平均パット数1.99 パーオン率18.8% フェアウェイ率48.0% OB率9.7% バンカー率27.5%,難易度7位/9ホール中 平均スコア6.18 平均パット数2 パーオン率27.8% フェアウェイ率61.3% OB率24.3% バンカー率17.8%,難易度7位/9ホール中 平均スコア6.18 平均パット数2 パーオン率27.8% フェアウェイ率61.3% OB率24.3% バンカー率17.8%,難易度7位/9ホール中 平均スコア6.18 平均パット数2 パーオン率27.8% フェアウェイ率61.3% OB率24.3% バンカー率17.8%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.97 パーオン率25.5% フェアウェイ率- OB率15.8% バンカー率21.8%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.97 パーオン率25.5% フェアウェイ率- OB率15.8% バンカー率21.8%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.97 パーオン率25.5% フェアウェイ率- OB率15.8% バンカー率21.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：377yd,Hdcp：5,PAR：5,Reg.：527yd,Hdcp：2,PAR：4,Reg.：405yd,Hdcp：1
5,,,,,,,,,
6,難易度3位/9ホール中 平均スコア5.53 平均パット数1.95 パーオン率9.5% フェアウェイ率53.5% OB率7.7% バンカー率23.3%,難易度3位/9ホール中 平均スコア5.53 平均パット数1.95 パーオン率9.5% フェアウェイ率53.5% OB率7.7% バンカー率23.3%,難易度3位/9ホール中 平均スコア5.53 平均パット数1.95 パーオン率9.5% フェアウェイ率53.5% OB率7.7% バンカー率23.3%,難易度2位/9ホール中 平均スコア6.51 平均パット数1.93 パーオン率18.8% フェアウェイ率45.8% OB率28.3% バンカー率22.0%,難易度2位/9ホール中 平均スコア6.51 平均パット数1.93 パーオン率18.8% フェアウェイ率45.8% OB率28.3% バンカー率22.0%,難易度2位/9ホール中 平均スコア6.51 平均パット数1.93 パーオン率18.8% フェアウェイ率45.8% OB率28.3% バンカー率22.0%,難易度1位/9ホール中 平均スコア5.71 平均パット数1.96 パーオン率8.3% フェアウェイ率50.5% OB率35.3% バンカー率16.8%,難易度1位/9ホール中 平均スコア5.71 平均パット数1.96 パーオン率8.3% フェアウェイ率50.5% OB率35.3% バンカー率16.8%,難易度1位/9ホール中 平均スコア5.71 平均パット数1.96 パーオン率8.3% フェアウェイ率50.5% OB率35.3% バンカー率16.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：159yd,Hdcp：9,PAR：4,Reg.：339yd,Hdcp：3,PAR：4,Reg.：383yd,Hdcp：6
9,,,,,,,,,
10,難易度9位/9ホール中 平均スコア3.85 平均パット数1.97 パーオン率35.3% フェアウェイ率- OB率11.3% バンカー率26.8%,難易度9位/9ホール中 平均スコア3.85 平均パット数1.97 パーオン率35.3% フェアウェイ率- OB率11.3% バンカー率26.8%,難易度9位/9ホール中 平均スコア3.85 平均パット数1.97 パーオン率35.3% フェアウェイ率- OB率11.3% バンカー率26.8%,難易度5位/9ホール中 平均スコア5.33 平均パット数1.98 パーオン率20.3% フェアウェイ率64.5% OB率38.3% バンカー率8.3%,難易度5位/9ホール中 平均スコア5.33 平均パット数1.98 パーオン率20.3% フェアウェイ率64.5% OB率38.3% バンカー率8.3%,難易度5位/9ホール中 平均スコア5.33 平均パット数1.98 パーオン率20.3% フェアウェイ率64.5% OB率38.3% バンカー率8.3%,難易度4位/9ホール中 平均スコア5.33 平均パット数1.97 パーオン率16.8% フェアウェイ率60.5% OB率12.0% バンカー率25.3%,難易度4位/9ホール中 平均スコア5.33 平均パット数1.97 パーオン率16.8% フェアウェイ率60.5% OB率12.0% バンカー率25.3%,難易度4位/9ホール中 平均スコア5.33 平均パット数1.97 パーオン率16.8% フェアウェイ率60.5% OB率12.0% バンカー率25.3%
