,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：391yd,Hdcp：2,PAR：3,Reg.：174yd,Hdcp：8,PAR：4,Reg.：323yd,Hdcp：5
1,左は、即OB。フェアウェー右サイドがベストルート。,左は、即OB。フェアウェー右サイドがベストルート。,左は、即OB。フェアウェー右サイドがベストルート。,谷越え、打ち下ろしのショートホール。番手選びがカギ。,谷越え、打ち下ろしのショートホール。番手選びがカギ。,谷越え、打ち下ろしのショートホール。番手選びがカギ。,なだらかな、登りのミドルホール。ティーショットは、フェアウェー右サイドのバンカーを避けて打って行きたいホール。,なだらかな、登りのミドルホール。ティーショットは、フェアウェー右サイドのバンカーを避けて打って行きたいホール。,なだらかな、登りのミドルホール。ティーショットは、フェアウェー右サイドのバンカーを避けて打って行きたいホール。
2,難易度2位/9ホール中 平均スコア5.61 平均パット数1.98 パーオン率14.5% フェアウェイ率45.8% OB率46.5% バンカー率10.0%,難易度2位/9ホール中 平均スコア5.61 平均パット数1.98 パーオン率14.5% フェアウェイ率45.8% OB率46.5% バンカー率10.0%,難易度2位/9ホール中 平均スコア5.61 平均パット数1.98 パーオン率14.5% フェアウェイ率45.8% OB率46.5% バンカー率10.0%,難易度7位/9ホール中 平均スコア4.19 平均パット数1.97 パーオン率17.3% フェアウェイ率- OB率32.8% バンカー率18.3%,難易度7位/9ホール中 平均スコア4.19 平均パット数1.97 パーオン率17.3% フェアウェイ率- OB率32.8% バンカー率18.3%,難易度7位/9ホール中 平均スコア4.19 平均パット数1.97 パーオン率17.3% フェアウェイ率- OB率32.8% バンカー率18.3%,難易度6位/9ホール中 平均スコア5.28 平均パット数1.97 パーオン率22.0% フェアウェイ率58.5% OB率20.3% バンカー率30.8%,難易度6位/9ホール中 平均スコア5.28 平均パット数1.97 パーオン率22.0% フェアウェイ率58.5% OB率20.3% バンカー率30.8%,難易度6位/9ホール中 平均スコア5.28 平均パット数1.97 パーオン率22.0% フェアウェイ率58.5% OB率20.3% バンカー率30.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：343yd,Hdcp：7,PAR：4,Reg.：446yd,Hdcp：1,PAR：4,Reg.：366yd,Hdcp：4
5,かるい右ドックレッグのミドルホール。グリーン手前のガードバンカーは要注意。,かるい右ドックレッグのミドルホール。グリーン手前のガードバンカーは要注意。,かるい右ドックレッグのミドルホール。グリーン手前のガードバンカーは要注意。,距離のあるミドルホール。パーセーブするには、飛距離が必要な、超難関ホール。,距離のあるミドルホール。パーセーブするには、飛距離が必要な、超難関ホール。,距離のあるミドルホール。パーセーブするには、飛距離が必要な、超難関ホール。,軽い右ドックレッグのミドルホール。フェアウェー右サイドのバンカーを避けてティーショットしたいホール。,軽い右ドックレッグのミドルホール。フェアウェー右サイドのバンカーを避けてティーショットしたいホール。,軽い右ドックレッグのミドルホール。フェアウェー右サイドのバンカーを避けてティーショットしたいホール。
6,難易度3位/9ホール中 平均スコア5.45 平均パット数2.05 パーオン率17.3% フェアウェイ率49.5% OB率32.5% バンカー率22.5%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.05 パーオン率17.3% フェアウェイ率49.5% OB率32.5% バンカー率22.5%,難易度3位/9ホール中 平均スコア5.45 平均パット数2.05 パーオン率17.3% フェアウェイ率49.5% OB率32.5% バンカー率22.5%,難易度1位/9ホール中 平均スコア5.68 平均パット数1.92 パーオン率5.5% フェアウェイ率44.5% OB率33.8% バンカー率21.0%,難易度1位/9ホール中 平均スコア5.68 平均パット数1.92 パーオン率5.5% フェアウェイ率44.5% OB率33.8% バンカー率21.0%,難易度1位/9ホール中 平均スコア5.68 平均パット数1.92 パーオン率5.5% フェアウェイ率44.5% OB率33.8% バンカー率21.0%,難易度4位/9ホール中 平均スコア5.4 平均パット数1.97 パーオン率15.8% フェアウェイ率57.0% OB率31.8% バンカー率28.8%,難易度4位/9ホール中 平均スコア5.4 平均パット数1.97 パーオン率15.8% フェアウェイ率57.0% OB率31.8% バンカー率28.8%,難易度4位/9ホール中 平均スコア5.4 平均パット数1.97 パーオン率15.8% フェアウェイ率57.0% OB率31.8% バンカー率28.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：522yd,Hdcp：3,PAR：3,Reg.：151yd,Hdcp：9,PAR：5,Reg.：517yd,Hdcp：6
9,ティーショットが打ち上げのロングホール。曲げないショットがパーセーブの鍵。,ティーショットが打ち上げのロングホール。曲げないショットがパーセーブの鍵。,ティーショットが打ち上げのロングホール。曲げないショットがパーセーブの鍵。,打ち下ろしのショートホール。グリーン奥は危険ゾーン。手前から攻めたいホール。,打ち下ろしのショートホール。グリーン奥は危険ゾーン。手前から攻めたいホール。,打ち下ろしのショートホール。グリーン奥は危険ゾーン。手前から攻めたいホール。,左右OB無し。豪快に飛ばして、最終ホールを果敢に攻めよう。,左右OB無し。豪快に飛ばして、最終ホールを果敢に攻めよう。,左右OB無し。豪快に飛ばして、最終ホールを果敢に攻めよう。
10,難易度5位/9ホール中 平均スコア6.24 平均パット数1.93 パーオン率27.0% フェアウェイ率56.5% OB率36.3% バンカー率18.0%,難易度5位/9ホール中 平均スコア6.24 平均パット数1.93 パーオン率27.0% フェアウェイ率56.5% OB率36.3% バンカー率18.0%,難易度5位/9ホール中 平均スコア6.24 平均パット数1.93 パーオン率27.0% フェアウェイ率56.5% OB率36.3% バンカー率18.0%,難易度9位/9ホール中 平均スコア4.14 平均パット数1.92 パーオン率17.3% フェアウェイ率- OB率28.5% バンカー率19.5%,難易度9位/9ホール中 平均スコア4.14 平均パット数1.92 パーオン率17.3% フェアウェイ率- OB率28.5% バンカー率19.5%,難易度9位/9ホール中 平均スコア4.14 平均パット数1.92 パーオン率17.3% フェアウェイ率- OB率28.5% バンカー率19.5%,難易度8位/9ホール中 平均スコア6.1 平均パット数2.01 パーオン率30.5% フェアウェイ率41.3% OB率9.0% バンカー率21.5%,難易度8位/9ホール中 平均スコア6.1 平均パット数2.01 パーオン率30.5% フェアウェイ率41.3% OB率9.0% バンカー率21.5%,難易度8位/9ホール中 平均スコア6.1 平均パット数2.01 パーオン率30.5% フェアウェイ率41.3% OB率9.0% バンカー率21.5%
