,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：514yd,Hdcp：13,PAR：3,Reg.：192yd,Hdcp：17,PAR：4,Reg.：353yd,Hdcp：15
1,広いフェアウェイに気持ちよくティーショット,広いフェアウェイに気持ちよくティーショット,広いフェアウェイに気持ちよくティーショット,左サイドに大きな池がせり出す、打下ろしのショート,左サイドに大きな池がせり出す、打下ろしのショート,左サイドに大きな池がせり出す、打下ろしのショート,距離がない代わりにグリーン周りが難しいホール,距離がない代わりにグリーン周りが難しいホール,距離がない代わりにグリーン周りが難しいホール
2,難易度14位/18ホール中 平均スコア6.25 平均パット数2.11 パーオン率33.8% フェアウェイ率41.3% OB率7.7% バンカー率30.5%,難易度14位/18ホール中 平均スコア6.25 平均パット数2.11 パーオン率33.8% フェアウェイ率41.3% OB率7.7% バンカー率30.5%,難易度14位/18ホール中 平均スコア6.25 平均パット数2.11 パーオン率33.8% フェアウェイ率41.3% OB率7.7% バンカー率30.5%,難易度16位/18ホール中 平均スコア4.11 平均パット数2.06 パーオン率24.3% フェアウェイ率- OB率24.8% バンカー率28.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数2.06 パーオン率24.3% フェアウェイ率- OB率24.8% バンカー率28.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数2.06 パーオン率24.3% フェアウェイ率- OB率24.8% バンカー率28.3%,難易度13位/18ホール中 平均スコア5.31 平均パット数2.1 パーオン率19.5% フェアウェイ率33.0% OB率1.5% バンカー率33.8%,難易度13位/18ホール中 平均スコア5.31 平均パット数2.1 パーオン率19.5% フェアウェイ率33.0% OB率1.5% バンカー率33.8%,難易度13位/18ホール中 平均スコア5.31 平均パット数2.1 パーオン率19.5% フェアウェイ率33.0% OB率1.5% バンカー率33.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：417yd,Hdcp：5,PAR：4,Reg.：415yd,Hdcp：1,PAR：4,Reg.：386yd,Hdcp：9
5,比較的距離のあるミドルホール,比較的距離のあるミドルホール,比較的距離のあるミドルホール,中央が盛り上がったグリーンは傘のような形状,中央が盛り上がったグリーンは傘のような形状,中央が盛り上がったグリーンは傘のような形状,コースの中で唯一の打ち下ろしのミドルホール,コースの中で唯一の打ち下ろしのミドルホール,コースの中で唯一の打ち下ろしのミドルホール
6,難易度2位/18ホール中 平均スコア5.39 平均パット数2.04 パーオン率12.3% フェアウェイ率33.3% OB率6.0% バンカー率30.3%,難易度2位/18ホール中 平均スコア5.39 平均パット数2.04 パーオン率12.3% フェアウェイ率33.3% OB率6.0% バンカー率30.3%,難易度2位/18ホール中 平均スコア5.39 平均パット数2.04 パーオン率12.3% フェアウェイ率33.3% OB率6.0% バンカー率30.3%,難易度1位/18ホール中 平均スコア5.53 平均パット数2.19 パーオン率17.3% フェアウェイ率40.8% OB率22.7% バンカー率21.5%,難易度1位/18ホール中 平均スコア5.53 平均パット数2.19 パーオン率17.3% フェアウェイ率40.8% OB率22.7% バンカー率21.5%,難易度1位/18ホール中 平均スコア5.53 平均パット数2.19 パーオン率17.3% フェアウェイ率40.8% OB率22.7% バンカー率21.5%,難易度12位/18ホール中 平均スコア5.28 平均パット数2 パーオン率17.0% フェアウェイ率39.3% OB率5.7% バンカー率49.8%,難易度12位/18ホール中 平均スコア5.28 平均パット数2 パーオン率17.0% フェアウェイ率39.3% OB率5.7% バンカー率49.8%,難易度12位/18ホール中 平均スコア5.28 平均パット数2 パーオン率17.0% フェアウェイ率39.3% OB率5.7% バンカー率49.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：368yd,Hdcp：11,PAR：3,Reg.：214yd,Hdcp：3,PAR：5,Reg.：535yd,Hdcp：7
9,距離のないミドルホール 目標はケヤキの右側,距離のないミドルホール 目標はケヤキの右側,距離のないミドルホール 目標はケヤキの右側,距離のあるショートホール,距離のあるショートホール,距離のあるショートホール,難度の高いロング　景観の美しさが際だつホール,難度の高いロング　景観の美しさが際だつホール,難度の高いロング　景観の美しさが際だつホール
10,難易度10位/18ホール中 平均スコア5.33 平均パット数2.17 パーオン率26.3% フェアウェイ率38.0% OB率- バンカー率35.3%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.17 パーオン率26.3% フェアウェイ率38.0% OB率- バンカー率35.3%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.17 パーオン率26.3% フェアウェイ率38.0% OB率- バンカー率35.3%,難易度15位/18ホール中 平均スコア4.18 平均パット数1.98 パーオン率15.3% フェアウェイ率- OB率6.0% バンカー率24.0%,難易度15位/18ホール中 平均スコア4.18 平均パット数1.98 パーオン率15.3% フェアウェイ率- OB率6.0% バンカー率24.0%,難易度15位/18ホール中 平均スコア4.18 平均パット数1.98 パーオン率15.3% フェアウェイ率- OB率6.0% バンカー率24.0%,難易度3位/18ホール中 平均スコア6.42 平均パット数2 パーオン率23.3% フェアウェイ率32.3% OB率3.7% バンカー率23.5%,難易度3位/18ホール中 平均スコア6.42 平均パット数2 パーオン率23.3% フェアウェイ率32.3% OB率3.7% バンカー率23.5%,難易度3位/18ホール中 平均スコア6.42 平均パット数2 パーオン率23.3% フェアウェイ率32.3% OB率3.7% バンカー率23.5%
