Course,Green,Tee,CR,SR,Yards
日光-富士,Rグリーン,バック,76.6,138,6659
日光-富士,Rグリーン,レギュラー,74.6,133,6278
日光-富士,Rグリーン,フロント1,73.1,129,5990
日光-富士,Rグリーン,フロント2,69.5,119,5269
日光-富士,Lグリーン,バック,76.5,137,6640
日光-富士,Lグリーン,レギュラー,74.5,132,6259
日光-富士,Lグリーン,フロント1,73.0,128,5971
日光-富士,Lグリーン,フロント2,69.4,119,5250
富士-筑波,Rグリーン,バック,75.8,136,6571
富士-筑波,Rグリーン,レギュラー,73.8,131,6201
富士-筑波,Rグリーン,フロント1,72.9,128,6034
富士-筑波,Rグリーン,フロント2,69.7,120,5395
富士-筑波,Lグリーン,バック,75.5,135,6524
富士-筑波,Lグリーン,レギュラー,73.6,130,6154
富士-筑波,Lグリーン,フロント1,72.7,128,5987
富士-筑波,Lグリーン,フロント2,69.5,119,5348
筑波-日光,Rグリーン,バック,75.6,135,6524
筑波-日光,Rグリーン,レギュラー,73.7,130,6165
筑波-日光,Rグリーン,フロント1,72.7,128,5984
筑波-日光,Rグリーン,フロント2,70.1,120,5486
筑波-日光,Lグリーン,バック,75.3,134,6462
筑波-日光,Lグリーン,レギュラー,73.4,129,6103
筑波-日光,Lグリーン,フロント1,72.4,127,5922
筑波-日光,Lグリーン,フロント2,69.9,120,5424
