Course,Green,Tee,CR,SR,Yards
イーストアウト-イーストイン,ベント,バック,73.8,137,7003
イーストアウト-イーストイン,ベント,レギュラー,71.6,133,6521
イーストアウト-イーストイン,ベント,フロント,69.6,126,6135
イーストアウト-イーストイン,ベント,レディース,67.6,122,5700
ウエストアウト-ウエストイン,ベント(右),バック,73.3,132,6931
ウエストアウト-ウエストイン,ベント(右),レギュラー,71.2,130,6506
ウエストアウト-ウエストイン,ベント(右),フロント,69.5,127,6129
ウエストアウト-ウエストイン,ベント(右),レディース,67.5,124,5704
ウエストアウト-ウエストイン,ベント,バック,72.3,129,6746
ウエストアウト-ウエストイン,ベント,レギュラー,70.3,126,6320
ウエストアウト-ウエストイン,ベント,フロント,68.6,122,5944
ウエストアウト-ウエストイン,ベント,レディース,66.7,118,5519
