Course,Green,Tee,CR,SR,Yards
中-西,ベントB,バック,80.6,149,7043
中-西,ベントB,レギュラー,78.0,142,6569
中-西,ベントB,フロント,75.3,137,6086
中-西,ベントB,レディース,72.0,129,5487
中-西,ベントB,ピンク,67.5,119,4686
中-西,ベントA,バック,80.1,147,6930
中-西,ベントA,レギュラー,77.3,141,6452
中-西,ベントA,フロント,74.7,136,5967
中-西,ベントA,レディース,71.4,127,5384
中-西,ベントA,ピンク,66.9,117,4578
西-東,ベントB,バック,80.2,146,6939
西-東,ベントB,レギュラー,77.6,141,6471
西-東,ベントB,フロント,75.3,136,6064
西-東,ベントB,レディース,72.2,129,5489
西-東,ベントB,ピンク,67.2,118,4596
西-東,ベントA,バック,79.5,145,6827
西-東,ベントA,レギュラー,76.9,140,6358
西-東,ベントA,フロント,74.5,135,5949
西-東,ベントA,レディース,71.4,127,5376
西-東,ベントA,ピンク,66.4,117,4491
東-中,ベントB,バック,80.0,146,6914
東-中,ベントB,レギュラー,77.6,140,6510
東-中,ベントB,フロント,75.2,135,6052
東-中,ベントB,レディース,72.0,127,5494
東-中,ベントB,ピンク,66.3,115,4470
東-中,ベントA,バック,79.4,144,6813
東-中,ベントA,レギュラー,77.0,139,6404
東-中,ベントA,フロント,74.4,133,5946
東-中,ベントA,レディース,71.4,126,5396
東-中,ベントA,ピンク,65.7,114,4379
