Course,Green,Tee,CR,SR,Yards
クラウン-クイーン,ペンクロス,バック,76.9,139,6675
クラウン-クイーン,ペンクロス,レギュラー,75.2,134,6340
クラウン-クイーン,ペンクロス,フロント,73.1,129,5939
クラウン-クイーン,ペンクロス,レディス,71.2,123,5538
クラウン-クイーン,エルベント,バック,76.3,137,6637
クラウン-クイーン,エルベント,レギュラー,74.7,133,6300
クラウン-クイーン,エルベント,フロント,72.5,127,5888
クラウン-クイーン,エルベント,レディス,70.6,122,5488
クラウン-プリンス,ペンクロス,バック,76.6,138,6610
クラウン-プリンス,ペンクロス,レギュラー,75.0,134,6285
クラウン-プリンス,ペンクロス,フロント,72.7,128,5867
クラウン-プリンス,ペンクロス,レディス,70.6,122,5418
クラウン-プリンス,エルベント,バック,76.2,137,6580
クラウン-プリンス,エルベント,レギュラー,74.6,133,6258
クラウン-プリンス,エルベント,フロント,72.3,126,5825
クラウン-プリンス,エルベント,レディス,70.2,121,5365
クイーン-プリンス,ペンクロス,バック,76.2,137,6533
クイーン-プリンス,ペンクロス,レギュラー,74.6,133,6233
クイーン-プリンス,ペンクロス,フロント,72.4,127,5794
クイーン-プリンス,ペンクロス,レディス,70.2,121,5338
クイーン-プリンス,エルベント,バック,75.7,135,6497
クイーン-プリンス,エルベント,レギュラー,74.2,131,6198
クイーン-プリンス,エルベント,フロント,72.0,126,5753
クイーン-プリンス,エルベント,レディス,69.6,119,5287
