Course,Green,Tee,CR,SR,Yards
西アウト-西イン,コーライ,バック,72.5,127,6750
西アウト-西イン,コーライ,レギュラー,70.6,124,6377
西アウト-西イン,コーライ,フロント,69.0,122,6057
西アウト-西イン,コーライ,レディース,65.3,113,5286
西アウト-西イン,ベント,バック,72.1,129,6717
西アウト-西イン,ベント,レギュラー,70.4,125,6341
西アウト-西イン,ベント,フロント,68.8,123,6021
西アウト-西イン,ベント,レディース,65.0,114,5255
東アウト-東イン,コーライ,バック,72.4,132,6716
東アウト-東イン,コーライ,レギュラー,71.2,130,6447
東アウト-東イン,コーライ,フロント,69.7,128,6174
東アウト-東イン,コーライ,レディース,66.8,119,5532
東アウト-東イン,ベント,バック,72.0,131,6586
東アウト-東イン,ベント,レギュラー,70.8,129,6331
東アウト-東イン,ベント,フロント,69.2,126,6046
東アウト-東イン,ベント,レディース,66.3,117,5409
