Course,Green,Tee,CR,SR,Yards
南-西,ベント,バック,73.7,130,7195
南-西,ベント,レギュラー,71.5,127,6744
南-西,ベント,フロント,70.4,125,6506
南-西,ベント,レディース,66.5,117,5683
南-西,コーライ,バック,72.3,128,6901
南-西,コーライ,レギュラー,70.2,124,6461
南-西,コーライ,フロント,69.0,121,6181
南-西,コーライ,レディース,65.2,113,5376
西-東,ベント,バック,73.1,131,7067
西-東,ベント,レギュラー,71.3,128,6683
西-東,ベント,フロント,70.0,127,6449
西-東,ベント,レディース,66.7,119,5714
西-東,コーライ,バック,71.8,129,6831
西-東,コーライ,レギュラー,69.9,125,6449
西-東,コーライ,フロント,68.7,123,6157
西-東,コーライ,レディース,65.2,115,5430
東-南,ベント,バック,72.8,130,6990
東-南,ベント,レギュラー,71.0,127,6623
東-南,ベント,フロント,69.6,125,6321
東-南,ベント,レディース,66.0,117,5565
東-南,コーライ,バック,71.5,127,6718
東-南,コーライ,レギュラー,69.7,124,6342
東-南,コーライ,フロント,68.3,121,6024
東-南,コーライ,レディース,64.6,113,5268
