Course,Green,Tee,CR,SR,Yards
音羽-吾妻,茜グリーン,バック,73.4,136,7134
音羽-吾妻,茜グリーン,レギュラー,71.5,132,6727
音羽-吾妻,茜グリーン,フロント 1,69.7,128,6346
音羽-吾妻,茜グリーン,フロント 2,65.0,118,5342
音羽-吾妻,藍グリーン,バック,72.3,131,6900
音羽-吾妻,藍グリーン,レギュラー,70.4,127,6497
音羽-吾妻,藍グリーン,フロント 1,68.8,124,6130
音羽-吾妻,藍グリーン,フロント 2,64.1,114,5132
吾妻-烏帽子,茜グリーン,バック,72.0,137,6830
吾妻-烏帽子,茜グリーン,レギュラー,70.0,134,6416
吾妻-烏帽子,茜グリーン,フロント 1,68.2,129,6021
吾妻-烏帽子,茜グリーン,フロント 2,63.4,117,5086
吾妻-烏帽子,藍グリーン,バック,70.2,130,6506
吾妻-烏帽子,藍グリーン,レギュラー,68.2,127,6103
吾妻-烏帽子,藍グリーン,フロント 1,66.6,123,5723
吾妻-烏帽子,藍グリーン,フロント 2,62.5,111,4790
烏帽子-音羽,茜グリーン,バック,71.8,137,6822
烏帽子-音羽,茜グリーン,レギュラー,69.9,133,6415
烏帽子-音羽,茜グリーン,フロント 1,68.1,127,6009
烏帽子-音羽,茜グリーン,フロント 2,63.2,116,5090
烏帽子-音羽,藍グリーン,バック,70.7,131,6596
烏帽子-音羽,藍グリーン,レギュラー,68.8,128,6204
烏帽子-音羽,藍グリーン,フロント 1,67.2,123,5827
烏帽子-音羽,藍グリーン,フロント 2,63.0,112,4916
