Course,Green,Tee,CR,SR,Yards
日本海-立山,クレンショウ,バック,77.1,139,6695
日本海-立山,クレンショウ,レギュラー,74.5,132,6158
日本海-立山,クレンショウ,フロント1,72.9,128,5848
日本海-立山,クレンショウ,フロント2,69.8,120,5190
日本海-立山,ペンクロス,バック,77.1,139,6745
日本海-立山,ペンクロス,レギュラー,74.8,133,6231
日本海-立山,ペンクロス,フロント1,73.1,129,5923
日本海-立山,ペンクロス,フロント2,70.1,120,5269
白山-日本海,ペンクロス,バック,77.0,139,6688
白山-日本海,ペンクロス,レギュラー,75.2,134,6342
白山-日本海,ペンクロス,フロント1,73.5,130,6004
白山-日本海,ペンクロス,フロント2,70.7,122,5429
白山-日本海,クレンショウ,バック,76.4,137,6604
白山-日本海,クレンショウ,レギュラー,74.6,133,6243
白山-日本海,クレンショウ,フロント1,72.9,128,5902
白山-日本海,クレンショウ,フロント2,70.3,121,5329
立山-白山,ペンクロス,バック,75.7,135,6529
立山-白山,ペンクロス,レギュラー,73.4,129,5995
立山-白山,ペンクロス,フロント1,71.6,125,5679
立山-白山,ペンクロス,フロント2,69.8,120,5236
立山-白山,クレンショウ,バック,75.5,135,6399
立山-白山,クレンショウ,レギュラー,72.5,127,5837
立山-白山,クレンショウ,フロント1,71.0,123,5524
立山-白山,クレンショウ,フロント2,69.1,118,5073
