Course,Green,Tee,CR,SR,Yards
南-西,OLD,ブラック,81.0,141,7037
南-西,OLD,ブルー,78.6,137,6649
南-西,OLD,ホワイト,76.5,133,6283
南-西,OLD,フロント2,75.8,131,6136
南-西,OLD,ゴールド,74.0,129,5846
南-西,OLD,グリーン,68.6,117,4861
南-西,NEW,ブラック,79.4,138,6752
南-西,NEW,ブルー,77.1,134,6374
南-西,NEW,ホワイト,75.0,130,6010
南-西,NEW,フロント2,74.2,128,5862
南-西,NEW,ゴールド,72.4,125,5569
南-西,NEW,グリーン,67.0,113,4594
東-南,OLD,ブラック,80.6,138,6973
東-南,OLD,ブルー,78.3,135,6589
東-南,OLD,ホワイト,76.3,131,6244
東-南,OLD,フロント2,75.5,130,6114
東-南,OLD,ゴールド,74.4,128,5924
東-南,OLD,グリーン,68.8,116,4897
東-南,NEW,ブラック,79.5,135,6713
東-南,NEW,ブルー,77.1,131,6337
東-南,NEW,ホワイト,74.9,127,5991
東-南,NEW,フロント2,74.2,125,5863
東-南,NEW,ゴールド,73.0,124,5672
東-南,NEW,グリーン,67.1,112,4617
西-東,OLD,ブラック,80.6,140,7054
西-東,OLD,ブルー,78.5,136,6682
西-東,OLD,ホワイト,76.4,131,6309
西-東,OLD,フロント2,75.5,130,6158
西-東,OLD,ゴールド,73.8,126,5866
西-東,OLD,グリーン,68.6,115,4902
西-東,NEW,ブラック,78.9,138,6727
西-東,NEW,ブルー,76.8,134,6361
西-東,NEW,ホワイト,74.7,129,5989
西-東,NEW,フロント2,73.8,127,5839
西-東,NEW,ゴールド,72.0,123,5541
西-東,NEW,グリーン,66.9,113,4615
