Course,Green,Tee,CR,SR,Yards
南-東,Aグリーン,バック,75.9,136,6505
南-東,Aグリーン,レギュラー,74.1,131,6156
南-東,Aグリーン,フロント1,72.6,127,5868
南-東,Aグリーン,フロント2,68.4,116,4980
南-東,Bグリーン,バック,75.4,134,6420
南-東,Bグリーン,レギュラー,73.6,130,6071
南-東,Bグリーン,フロント1,72.1,126,5781
南-東,Bグリーン,フロント2,68.1,115,4935
東-西,Aグリーン,バック,75.1,134,6302
東-西,Aグリーン,レギュラー,73.5,130,6004
東-西,Aグリーン,フロント1,72.3,126,5765
東-西,Aグリーン,フロント2,69.2,118,5124
東-西,Bグリーン,バック,75.1,134,6302
東-西,Bグリーン,レギュラー,73.5,130,6004
東-西,Bグリーン,フロント1,72.2,126,5760
東-西,Bグリーン,フロント2,69.1,118,5109
西-南,Aグリーン,バック,74.9,133,6321
西-南,Aグリーン,レギュラー,73.3,129,6010
西-南,Aグリーン,フロント1,72.2,126,5803
西-南,Aグリーン,フロント2,68.0,115,4922
西-南,Bグリーン,バック,74.0,131,6172
西-南,Bグリーン,レギュラー,72.4,127,5861
西-南,Bグリーン,フロント1,71.3,124,5657
西-南,Bグリーン,フロント2,67.7,114,4828
