Course,Green,Tee,CR,SR,Yards
西-東,ベント,フルバック,74.1,136,7173
西-東,ベント,バック,72.7,132,6865
西-東,ベント,レギュラー,71.3,125,6528
西-東,ベント,フロント,69.5,123,6170
西-東,ベント,シニア&レディース,67.8,119,5792
西-東,ベント,フロントレディース,64.0,111,4948
東-南,ベント,フルバック,73.5,140,6966
東-南,ベント,バック,72.5,137,6744
東-南,ベント,レギュラー,70.7,130,6338
東-南,ベント,フロント,69.0,128,5980
東-南,ベント,シニア&レディース,67.7,124,5684
東-南,ベント,フロントレディース,64.1,116,4905
南-西,ベント,フルバック,73.2,139,6943
南-西,ベント,バック,72.8,137,6857
南-西,ベント,レギュラー,71.0,132,6472
南-西,ベント,フロント,69.1,127,6050
南-西,ベント,シニア&レディース,67.9,125,5780
南-西,ベント,フロントレディース,63.7,114,4851
