Course,Green,Tee,CR,SR,Yards
東アウト-東イン,White.F,チャンピオン1,74.5,129,7129
東アウト-東イン,White.F,チャンピオン2,74.2,128,7071
東アウト-東イン,White.F,バック,71.7,124,6568
東アウト-東イン,White.F,レギュラー,70.0,121,6211
東アウト-東イン,White.F,フロント1,66.4,114,5489
東アウト-東イン,Red.F,チャンピオン1,73.0,127,6808
東アウト-東イン,Red.F,チャンピオン2,72.7,126,6750
東アウト-東イン,Red.F,バック,70.3,123,6273
東アウト-東イン,Red.F,レギュラー,68.5,119,5895
東アウト-東イン,Red.F,フロント1,64.9,112,5177
西アウト-西イン,White.F,チャンピオン2,74.3,130,7121
西アウト-西イン,White.F,バック,71.9,127,6645
西アウト-西イン,White.F,レギュラー,70.4,124,6319
西アウト-西イン,White.F,フロント1,66.6,117,5569
西アウト-西イン,Red.F,チャンピオン2,72.1,128,6677
西アウト-西イン,Red.F,バック,69.7,124,6193
西アウト-西イン,Red.F,レギュラー,68.5,120,5929
西アウト-西イン,Red.F,フロント1,64.8,112,5186
